"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_38","1a - Rainout",-0.543936118186569,1.38564106633913,Inf,-0.392551961254765,0.694650426276963,"1a","Rainout",0.963666643949644
"2","ASV_8","1a - Rainout",0.0384241509858968,0.243055234503556,Inf,0.158088144303408,0.874387342610812,"1a","Rainout",0.963666643949644
"3","ASV_62","1a - Rainout",-3.12345202852911,3.495487981051,Inf,-0.893566805396357,0.37155371350137,"1a","Rainout",0.963666643949644
"4","ASV_21","1a - Rainout",-0.870037690514978,2.56541907069418,Inf,-0.339140571789526,0.734503835735482,"1a","Rainout",0.963666643949644
"5","ASV_13","1a - Rainout",0.139457738519194,0.658208629371029,Inf,0.211874673615958,0.832204809558611,"1a","Rainout",0.963666643949644
"6","ASV_4","1a - Rainout",0.0925649755792226,0.483600286182628,Inf,0.191408024817145,0.848205933405923,"1a","Rainout",0.963666643949644
"7","ASV_43","1a - Rainout",-0.450751007636774,0.446763187219684,Inf,-1.00892602732537,0.313010111776127,"1a","Rainout",0.963666643949644
"8","ASV_2","1a - Rainout",0.0888240019858974,0.120267756538416,Inf,0.738552081974897,0.460179030489321,"1a","Rainout",0.963666643949644
"9","ASV_6","1a - Rainout",0.250448049089249,0.22979552349298,Inf,1.08987348962392,0.275768875921093,"1a","Rainout",0.963666643949644
"10","ASV_39","1a - Rainout",-0.182578294114271,0.261796699495141,Inf,-0.697404873576947,0.48554945243416,"1a","Rainout",0.963666643949644
"11","ASV_34","1a - Rainout",-0.299659702806638,0.562689213010479,Inf,-0.532549222337869,0.594345659967532,"1a","Rainout",0.963666643949644
"12","ASV_7","1a - Rainout",-0.192426438995468,1.49157414582989,Inf,-0.129008966489161,0.897350553889603,"1a","Rainout",0.963666643949644
"13","ASV_57","1a - Rainout",-0.149901724072736,0.849416544901889,Inf,-0.176476105831033,0.85991991885449,"1a","Rainout",0.963666643949644
"14","ASV_49","1a - Rainout",-0.216943656495746,0.737308363618228,Inf,-0.294237346544027,0.768576544636415,"1a","Rainout",0.963666643949644
"15","ASV_20","1a - Rainout",-0.280517744577293,0.839690560897641,Inf,-0.334072761610438,0.738324653527621,"1a","Rainout",0.963666643949644
"16","ASV_15","1a - Rainout",0.0395714109990743,0.178405709587461,Inf,0.221805743160226,0.824465108423525,"1a","Rainout",0.963666643949644
"17","ASV_18","1a - Rainout",0.714009603846209,1.44757186790476,Inf,0.493246393962934,0.621838500348227,"1a","Rainout",0.963666643949644
"18","ASV_10","1a - Rainout",-0.296155424322979,1.1090001128573,Inf,-0.267047244530881,0.789432785616993,"1a","Rainout",0.963666643949644
"19","ASV_51","1a - Rainout",1.1067916295198,1.43450190798491,Inf,0.771551172821053,0.440380302898317,"1a","Rainout",0.963666643949644
"20","ASV_47","1a - Rainout",0.914394465072789,1.76554329693652,Inf,0.517911096634899,0.604520299425464,"1a","Rainout",0.963666643949644
"21","ASV_11","1a - Rainout",-0.0629199984853929,0.00399465206649892,Inf,-15.7510585247387,6.754122708546e-56,"1a","Rainout",3.10689644593116e-54
"22","ASV_22","1a - Rainout",-1.42480728445688,1.80213317762373,Inf,-0.790622636633109,0.429164233266161,"1a","Rainout",0.963666643949644
"23","ASV_160","1a - Rainout",0.736277884192324,0.612372466112665,Inf,1.20233669039075,0.229233107037203,"1a","Rainout",0.963666643949644
"24","ASV_29","1a - Rainout",-3.96396871144627,3.94491630761066,Inf,-1.00482960913489,0.314978903795217,"1a","Rainout",0.963666643949644
"25","ASV_154","1a - Rainout",-21.6784144387357,13623.5709080252,Inf,-0.00159124319057683,0.998730372161551,"1a","Rainout",0.998730372161551
"26","ASV_17","1a - Rainout",0.094998415375386,0.366665837769234,Inf,0.259087173087487,0.795567981380172,"1a","Rainout",0.963666643949644
"27","ASV_23","1a - Rainout",-0.00418584857352175,0.433691822794252,Inf,-0.00965166589158302,0.99229920436009,"1a","Rainout",0.998730372161551
