	input	filtered	denoisedF	denoisedR	merged	nonchim
1	10266	9465	9381	9226	9151	6386
10	12457	11666	11529	11438	11324	8097
100	10204	8914	8736	8753	8605	6619
101	10148	9566	9461	9352	9257	7125
102	7541	7169	7132	6998	6979	5540
103	9350	8763	8645	8548	8453	6534
104	10809	10183	10122	10007	9961	7646
105	10574	9848	9735	9706	9605	7740
106	8352	7787	7684	7689	7602	6230
107	10470	9641	9542	9425	9336	7087
108	9484	8174	8085	7976	7899	6036
109	9777	9063	8975	8881	8821	6891
11	9900	9143	8966	8895	8734	5787
110	8762	8231	8166	7987	7945	6249
111	10094	9548	9463	9416	9368	8063
112	7106	6610	6570	6480	6446	5874
113	10295	9671	9613	9552	9508	8024
114	9611	9153	9056	9046	8957	7345
115	10117	9602	9536	9407	9352	7030
116	11189	10549	10387	10365	10237	7375
117	11375	10639	10511	10490	10375	8102
118	10549	9803	9761	9548	9514	7598
119	8073	7208	7115	7041	6958	5920
12	8032	7465	7348	7254	7144	4857
120	12242	10600	10467	10283	10156	7962
121	10413	9805	9720	9511	9444	7522
122	8053	7571	7511	7409	7374	6049
123	9152	8561	8421	8319	8213	6665
124	10996	10194	10075	9947	9843	7818
125	11641	11006	10958	10805	10769	8730
126	8800	8350	8299	8214	8173	6281
127	9773	9258	9179	9042	8970	7188
128	9996	9468	9422	9322	9281	7515
129	7842	7404	7343	7285	7244	6200
13	9779	9200	9064	9012	8885	6735
130	9045	8449	8346	8342	8249	6880
131	10802	9856	9778	9617	9549	7757
132	10073	8787	8692	8552	8476	6742
133	9719	8993	8899	8816	8752	7211
134	9687	9150	9000	8994	8869	7449
135	10894	10305	10203	10160	10091	9023
136	11412	10785	10739	10693	10655	9498
137	9798	9140	9100	9016	8986	7918
138	9834	9312	9253	9157	9114	7959
139	9738	9127	9078	8963	8922	7293
14	11205	10499	10365	10299	10185	7322
140	10937	10091	9983	9907	9804	7750
141	11031	10019	9944	9737	9677	8024
142	11179	10360	10275	10207	10130	8477
143	10372	9673	9601	9507	9455	8088
144	13348	11635	11513	11441	11341	9459
145	9092	8568	8498	8357	8320	6655
146	9790	9262	9134	9082	9006	7133
147	8574	8057	7969	7860	7813	6228
148	10459	9789	9665	9570	9461	7637
149	9462	8955	8922	8702	8677	6850
15	13829	12816	12710	12576	12482	10239
150	10101	9500	9426	9253	9189	7195
151	11003	10418	10325	10226	10152	8129
152	10331	9730	9670	9567	9530	7807
153	10881	10314	10257	10207	10156	8750
154	10694	9752	9708	9535	9502	8147
155	10446	9727	9640	9541	9460	7609
156	10629	9347	9213	9083	8968	7214
157	9911	9324	9237	9133	9059	7147
158	10474	9937	9899	9701	9671	7858
159	11105	10473	10427	10363	10320	9270
16	16783	15767	15710	15639	15586	13028
160	10634	10031	9983	9916	9877	8513
161	10596	10043	9966	9941	9884	8481
162	10896	10346	10279	10243	10187	8604
163	9585	9122	9034	8930	8855	7298
164	9005	8510	8452	8359	8312	6677
165	8883	8336	8257	8149	8080	6947
166	10994	10268	10210	10063	10016	8437
167	14279	13354	13221	13157	13034	11045
168	10952	9764	9684	9580	9509	7756
169	9022	8395	8290	8174	8081	6687
17	14428	13337	13281	13212	13176	10788
170	9712	9077	8923	8913	8778	7114
171	9002	8427	8342	8282	8209	6573
172	8901	8279	8129	8091	7958	6295
173	10678	10089	9989	9846	9759	7604
174	9110	8549	8512	8331	8306	6356
175	9678	9175	9105	9059	8998	7461
176	11854	11196	11151	11022	10994	8994
177	9932	9296	9242	9146	9100	8077
178	11044	10202	10130	10012	9956	8213
179	12115	10981	10865	10702	10601	8493
