OTU_0 	 NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
OTU_1 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_2 	 NS-Gamma-2.3.1_OTU2_1-KC469632
OTU_3 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_4 	 NS-Alpha-2_OTU1_1-JF520968
OTU_5 	 NS-Beta-1.3_OTU1_1-EU885554
OTU_6 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_7 	 NS-Gamma-2.3.1_OTU2_1-KC469632
OTU_8 	 NS-Gamma-1.2_OTU1_1-EU671146
OTU_9 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_10 	 NS-Gamma-2.2.1.2-JX570746
OTU_11 	 NT-Alpha-1.1.2.2-JN179533
OTU_12 	 NS-Beta-1_OTU10_1-EU671395
OTU_13 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_14 	 NS-Alpha-3.2.2_OTU4_1-FJ601579
OTU_15 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_16 	 NS-Gamma-1.2_OTU1_1-EU671146
OTU_17 	 NS-Beta-1.3_OTU1_1-EU885554
OTU_18 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_19 	 NT-Alpha-1.1.2.2-JN179533
OTU_20 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_21 	 NS-Alpha-3.2.2_OTU4_1-FJ601579
OTU_22 	 NS-Beta-2.1_OTU1_1-FJ601605
OTU_23 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_24 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_25 	 NS-Delta-1.2.1_OTU6_1-EU590133
OTU_26 	 NS-Alpha-3.1.2_OTU2_1-KC137506
OTU_27 	 NS-Gamma-2.1_OTU1_1-JX010789
OTU_28 	 NS-Beta-1.3_OTU1_1-EU885554
OTU_29 	 NT-Alpha_OTU7_1-JN418180
OTU_30 	 NS-Alpha-3.2.2_OTU7_1-KF877801
OTU_31 	 NS-Zeta-1.2_OTU8_1-EU925258
OTU_32 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_33 	 NS-Alpha-1_OTU6_1-JF520980
OTU_34 	 NS-Alpha-1_OTU6_1-JF520980
OTU_35 	 NT-Alpha_OTU7_1-JN418180
OTU_36 	 NS-Zeta-1.2_OTU8_1-EU925258
OTU_37 	 NS-Alpha-1_OTU6_1-JF520980
OTU_38 	 NS-Alpha-3.1.1.3-JN688223
OTU_39 	 NT-Alpha_OTU7_1-JN418180
OTU_40 	 NS-Alpha-1_OTU6_1-JF520980
