,Irrigation,Treatment,Type,Date,var,var2,Mean.Rich,Mean.Sha,Mean.Simp
1,Control,D,BS,4/28/22,CDBS1,CDBS,32.25,2.828466565,0.90914117
2,Control,D,BS,6/1/22,CDBS2,CDBS,46.5,2.992043147,0.911830788
3,Control,D,BS,7/5/22,CDBS3,CDBS,56.75,3.217356708,0.92912313
4,Control,D,BS,7/20/22,CDBS4,CDBS,52.5,3.134794373,0.925080553
5,Control,D,BS,9/13/22,CDBS5,CDBS,59,3.202104877,0.919989296
6,Control,D,RS,4/28/22,CDRS1,CDRS,62.5,3.192816024,0.918014872
7,Control,D,RS,6/1/22,CDRS2,CDRS,67.5,3.255280536,0.929174749
8,Control,D,RS,7/5/22,CDRS3,CDRS,59.75,3.214071465,0.921167023
9,Control,K,BS,4/28/22,CKBS1,CKBS,58.25,3.310585019,0.929341152
10,Control,K,BS,6/1/22,CKBS2,CKBS,86,3.635527109,0.940856929
11,Control,K,BS,7/5/22,CKBS3,CKBS,72.75,3.45376892,0.938136747
12,Control,K,BS,7/20/22,CKBS4,CKBS,64.5,3.399735739,0.934467727
13,Control,K,BS,9/13/22,CKBS5,CKBS,80.25,3.46847989,0.931103667
14,Control,K,RS,4/28/22,CKRS1,CKRS,80.25,3.367752676,0.917014415
15,Control,K,RS,6/1/22,CKRS2,CKRS,92,3.654877279,0.943319695
16,Control,K,RS,7/5/22,CKRS3,CKRS,82.25,3.516604515,0.937083313
17,Control,M,BS,4/28/22,CMBS1,CMBS,54,3.298599005,0.939738971
18,Control,M,BS,6/1/22,CMBS2,CMBS,76.5,3.718179703,0.960020457
19,Control,M,BS,7/5/22,CMBS3,CMBS,78.5,3.521655782,0.940616493
20,Control,M,BS,7/20/22,CMBS4,CMBS,66.5,3.302683372,0.929637282
21,Control,M,BS,9/13/22,CMBS5,CMBS,75.5,3.628368703,0.953461457
22,Control,M,RS,4/28/22,CMRS1,CMRS,89.25,3.736735461,0.956179601
23,Control,M,RS,6/1/22,CMRS2,CMRS,97.75,3.799780572,0.956936905
24,Control,M,RS,7/5/22,CMRS3,CMRS,88.75,3.754217357,0.959890731
25,Rainout,D,BS,4/28/22,RDBS1,RDBS,39,2.96229439,0.91630873
26,Rainout,D,BS,6/1/22,RDBS2,RDBS,47.5,3.049949588,0.911253471
27,Rainout,D,BS,7/5/22,RDBS3,RDBS,42,2.914925994,0.908549589
28,Rainout,D,BS,7/20/22,RDBS4,RDBS,46.25,3.036604463,0.919527442
29,Rainout,D,BS,9/13/22,RDBS5,RDBS,49.5,3.045063221,0.918956917
30,Rainout,D,RS,4/28/22,RDRS1,RDRS,65.75,3.30433017,0.938896088
31,Rainout,D,RS,6/1/22,RDRS2,RDRS,59.5,3.119293468,0.921130346
32,Rainout,D,RS,7/5/22,RDRS3,RDRS,59,3.168573019,0.926343179
33,Rainout,K,BS,4/28/22,RKBS1,RKBS,62.75,3.357622873,0.936045501
34,Rainout,K,BS,6/1/22,RKBS2,RKBS,79.75,3.427786826,0.917199836
35,Rainout,K,BS,7/5/22,RKBS3,RKBS,79.25,3.512912628,0.941957227
36,Rainout,K,BS,7/20/22,RKBS4,RKBS,72.5,3.360791703,0.926070142
37,Rainout,K,BS,9/13/22,RKBS5,RKBS,74.75,3.537884472,0.944258345
38,Rainout,K,RS,4/28/22,RKRS1,RKRS,98,3.715103704,0.939250629
39,Rainout,K,RS,6/1/22,RKRS2,RKRS,93.5,3.654652518,0.943819584
40,Rainout,K,RS,7/5/22,RKRS3,RKRS,92,3.531784628,0.926093235
41,Rainout,M,BS,4/28/22,RMBS1,RMBS,55.75,3.304094254,0.933215289
42,Rainout,M,BS,6/1/22,RMBS2,RMBS,65.25,3.359073051,0.933418369
43,Rainout,M,BS,7/5/22,RMBS3,RMBS,86.75,3.613675864,0.949696671
44,Rainout,M,BS,7/20/22,RMBS4,RMBS,69.5,3.390538611,0.93618134
45,Rainout,M,BS,9/13/22,RMBS5,RMBS,69,3.405196994,0.93410232
46,Rainout,M,RS,4/28/22,RMRS1,RMRS,92.5,3.707343008,0.951669057
47,Rainout,M,RS,6/1/22,RMRS2,RMRS,93,3.783312841,0.958739493
48,Rainout,M,RS,7/5/22,RMRS3,RMRS,83.5,3.640795232,0.948981477
