	input	filtered	denoisedF	denoisedR	merged	nonchim
1	14490	5064	4815	4756	4671	4016
10	16760	8977	8710	8793	8650	7248
100	9799	5946	5728	5799	5690	4935
101	19867	13135	12725	12913	12641	10684
102	10742	6951	6664	6774	6604	5677
103	11944	7399	7126	7205	7047	5939
104	9919	6098	5913	5936	5874	4890
105	23226	17443	17028	17201	16950	13028
106	14419	9941	9650	9684	9574	8425
107	14361	10107	9820	9912	9744	8218
108	9490	5666	5439	5489	5376	4815
109	14491	10579	10332	10378	10249	8285
11	6079	1475	1371	1367	1312	1115
110	17912	12601	12372	12383	12284	10097
111	19912	15088	14792	14909	14704	10464
112	26909	21618	21325	21348	21145	15477
113	19816	14093	13841	13874	13767	10195
114	15824	10886	10649	10688	10566	8072
115	21806	15415	15053	15110	14922	11273
116	28352	19961	19645	19629	19480	14181
117	28130	19041	18665	18735	18527	14012
118	23362	18301	17989	17965	17826	13917
119	31807	21418	21090	21192	21006	15603
12	11562	4373	4137	4234	4119	3135
120	23457	17022	16748	16702	16580	13158
121	29569	19561	19241	19310	19110	15150
122	24799	17575	17258	17294	17071	13482
123	16753	12432	12199	12241	12133	9731
124	37933	25211	24791	24940	24647	17939
125	16539	10616	10355	10371	10215	7954
126	27873	19042	18798	18857	18692	12852
127	18070	12118	11818	11871	11709	9436
128	27395	20372	19927	20035	19772	15101
129	18677	12940	12539	12685	12458	9525
13	16965	4364	4151	4222	4138	3390
130	27117	18935	18552	18641	18419	13872
131	24333	14906	14618	14651	14507	11422
132	19784	13287	13031	12992	12900	10415
133	17732	12916	12686	12621	12550	10369
134	25652	17906	17619	17667	17507	13559
135	20968	14326	13990	14074	13937	10946
136	30873	21283	20854	20921	20678	16714
137	21062	12640	12373	12455	12276	9101
138	19318	13613	13297	13369	13215	10738
139	26218	18679	18308	18387	18179	14292
14	10352	5189	4982	5046	4969	3608
140	28018	17958	17619	17725	17543	13778
141	19418	13905	13602	13675	13548	11069
142	21521	16712	16448	16429	16316	13236
143	21803	15149	14755	14897	14688	11697
144	30924	21757	21475	21518	21352	16183
145	27984	18982	18614	18696	18504	14855
146	22001	15844	15551	15574	15419	12311
147	18913	13337	13047	13108	12969	10375
148	24314	18416	18116	18193	18028	14166
149	20007	12991	12700	12736	12590	9979
15	19570	8104	7876	7992	7839	6026
150	19644	13706	13406	13507	13339	11006
151	22099	15255	14881	14992	14806	11502
152	27360	16746	16399	16474	16298	12567
153	24038	17340	16949	17043	16842	13142
154	29091	20549	20031	20287	19955	15128
155	31337	21596	21149	21301	21056	16116
156	19304	14043	13741	13764	13627	10955
157	26342	19987	19586	19699	19502	15569
158	15178	11271	11046	11040	10952	9162
159	32239	23745	23363	23472	23261	18065
16	19010	9132	8938	8978	8889	6805
160	20547	15106	14627	14811	14535	11724
161	22258	15078	14831	14856	14735	11064
162	15831	11285	10950	11045	10882	8785
163	22475	15545	15199	15299	15108	12260
164	27575	18019	17744	17778	17619	12997
165	17210	12604	12310	12398	12261	9981
166	33434	25600	25202	25266	25062	19235
167	27915	18784	18436	18544	18360	13926
168	19210	13981	13629	13708	13517	10811
169	27823	18782	18458	18564	18326	13808
17	21200	11417	11177	11209	11072	8333
170	16636	11677	11419	11519	11369	9215
171	20317	14329	14078	14103	13984	10856
172	23454	17367	17030	17125	16938	13408
173	20435	13158	12836	12921	12752	10227
174	22584	15709	15358	15434	15232	12043
175	14643	9912	9679	9734	9618	8196
176	25367	17477	17185	17201	17024	12992
177	19306	13076	12722	12839	12648	9914
178	29927	22437	22035	22096	21867	15530
179	20310	14950	14625	14661	14522	11610
18	16011	5843	5705	5702	5650	4510
180	18045	13541	13291	13275	13174	9683
181	16043	11327	11014	11086	10943	8316
182	6861	4006	3892	3927	3871	3208
183	10218	5998	5856	5782	5720	4926
184	13563	8972	8735	8798	8700	7013
185	12347	7630	7370	7350	7255	5952
186	15550	9709	9423	9493	9336	7678
187	24650	15078	14836	14913	14760	11838
188	22828	14531	14267	14327	14180	11501
189	15068	8878	8612	8694	8571	7308
19	10120	5898	5662	5756	5633	4760
190	44730	34948	34360	34503	34053	24814
191	17746	10696	10449	10518	10402	8275
192	21562	14372	14028	14124	13944	10844
2	9726	3023	2890	2883	2844	2527
20	33646	22163	21766	21827	21633	16491
21	11580	6345	6117	6192	6087	4682
22	12065	5832	5672	5667	5618	4614
23	18222	11858	11616	11655	11517	9418
24	16862	10688	10436	10507	10384	8442
25	16469	8632	8354	8397	8250	5967
26	14579	8497	8286	8298	8206	6485
27	11524	5924	5778	5765	5718	4456
28	12328	6053	5918	5920	5860	4702
29	15525	8670	8410	8486	8358	6858
3	7194	2188	2090	2090	2052	1448
30	19468	10763	10530	10569	10440	8411
31	19727	11897	11472	11566	11347	8398
32	26953	18188	17777	17904	17675	14083
33	24815	9409	9128	9185	9048	7587
34	28561	18114	17643	17703	17475	13485
35	5236	1701	1623	1646	1609	1358
36	21652	14219	13884	13943	13781	11445
37	21023	13285	12929	12993	12847	10865
38	11993	6228	6051	6080	6019	5130
39	18442	9188	8982	9003	8902	7243
4	9527	3118	2948	2991	2911	2340
40	11297	6988	6852	6830	6796	5682
41	30092	18554	18069	18315	18001	13672
42	16232	9416	9072	9206	9006	7308
43	21715	13044	12768	12830	12697	10348
44	32077	23026	22693	22707	22534	17737
45	17862	9627	9344	9387	9280	7806
46	21063	12218	11933	11998	11851	9217
47	22753	14352	13999	14144	13933	11255
48	19171	10950	10693	10724	10629	8762
49	22608	13846	13557	13487	13346	10146
5	23004	9833	9544	9566	9409	7618
50	26776	12430	12161	12220	12065	9647
51	18313	11317	11130	11110	11040	8515
52	6232	2559	2475	2472	2420	1546
53	21521	11245	10985	10956	10825	8415
54	22730	9925	9622	9675	9521	7653
55	14682	5685	5490	5537	5416	4509
56	33332	24717	24358	24450	24230	18314
57	21825	15587	15282	15257	15121	12252
58	24896	15685	15287	15322	15120	12084
59	23980	15879	15544	15539	15415	12396
6	8409	2402	2232	2285	2203	1799
60	22882	17240	16940	16951	16820	12596
61	21982	13765	13381	13452	13287	10097
62	17668	9756	9495	9590	9433	7572
63	21616	7796	7631	7594	7531	6188
64	17687	11011	10722	10736	10602	8539
65	22085	8204	7968	8045	7929	6288
66	16650	10055	9763	9869	9718	8186
67	22679	13591	13281	13377	13225	10524
68	21928	14345	14004	14133	13930	10755
69	15856	10098	9834	9893	9784	8195
7	13566	2768	2586	2577	2508	2238
70	19054	12663	12374	12461	12320	10104
71	19809	13141	12807	12924	12748	10394
72	24371	17168	16851	16906	16746	12999
73	23979	13775	13500	13566	13421	9676
74	25003	9908	9727	9684	9604	7750
75	15267	9125	8948	8980	8912	6949
76	19720	12693	12495	12516	12434	9451
77	18086	10234	9906	10066	9856	7125
78	17907	12186	11874	11999	11799	8211
79	18859	11556	11172	11293	11089	9063
8	10432	7335	7079	7148	7013	5815
80	26459	20045	19646	19780	19540	15390
81	23060	13529	13258	13335	13185	10103
82	19733	12571	12368	12413	12327	9911
83	19311	9320	9074	9146	9028	6701
84	21180	15821	15539	15604	15455	12391
85	23037	8484	8218	8282	8153	6373
86	15041	6570	6402	6454	6370	5429
87	11234	2612	2475	2472	2407	2010
88	10783	3821	3706	3719	3667	3277
89	16758	6209	5988	6016	5920	4626
9	6962	3313	3111	3176	3092	2777
90	11826	4765	4590	4623	4564	3825
91	15113	6368	6158	6224	6121	4453
92	16120	11695	11434	11483	11344	9104
93	16678	8831	8594	8619	8501	7178
94	11261	5530	5346	5412	5327	4440
95	23961	14923	14596	14633	14492	11874
96	29311	15426	15113	15145	14967	12080
97	12216	7741	7508	7555	7463	6313
98	10828	7336	7106	7150	7031	5832
99	9414	6033	5765	5876	5720	4891
