"","Irrigation","Treatment","Type","Date","Mean.Rich","Mean.Sha","Mean.Simp","Mean.invsimp"
"1","Control","Biodynamic","Bulk Soil","22-04-28",32.25,2.82846656486058,0.90914116963068,11.6306138852537
"2","Control","Biodynamic","Bulk Soil","22-06-01",46.5,2.99204314724841,0.911830787704914,11.8373719878194
"3","Control","Biodynamic","Bulk Soil","22-07-05",56.75,3.21735670777488,0.929123130172081,14.2777019354268
"4","Control","Biodynamic","Bulk Soil","22-07-20",52.5,3.13479437288749,0.92508055270293,13.6442337945124
"5","Control","Biodynamic","Bulk Soil","22-09-13",59,3.20210487693628,0.919989295863422,14.3350744280296
"6","Control","Biodynamic","Rhizosphere","22-04-28",62.5,3.19281602398346,0.9180148716862,13.3821340056114
"7","Control","Biodynamic","Rhizosphere","22-06-01",67.5,3.25528053638322,0.929174749104819,14.3234403877259
"8","Control","Biodynamic","Rhizosphere","22-07-05",59.75,3.21407146478964,0.921167022565624,13.3760973888255
"9","Control","Conventional","Bulk Soil","22-04-28",58.25,3.31058501870584,0.92934115224325,19.0641180275909
"10","Control","Conventional","Bulk Soil","22-06-01",86,3.63552710925889,0.940856928619166,18.8120328230341
"11","Control","Conventional","Bulk Soil","22-07-05",72.75,3.45376892043682,0.93813674670318,16.8113025453394
"12","Control","Conventional","Bulk Soil","22-07-20",64.5,3.39973573871932,0.934467727299895,15.8743439982296
"13","Control","Conventional","Bulk Soil","22-09-13",80.25,3.4684798897853,0.931103667117653,15.9996232566014
"14","Control","Conventional","Rhizosphere","22-04-28",80.25,3.36775267625497,0.917014415266164,12.1890900592216
"15","Control","Conventional","Rhizosphere","22-06-01",92,3.654877279429,0.943319695067947,18.1457100932753
"16","Control","Conventional","Rhizosphere","22-07-05",82.25,3.51660451471821,0.937083312957439,17.7067008758049
"17","Control","Mineral fertilized","Bulk Soil","22-04-28",54,3.2985990047238,0.939738971207503,17.393283081736
"18","Control","Mineral fertilized","Bulk Soil","22-06-01",76.5,3.71817970309261,0.96002045739808,26.3815232295577
"19","Control","Mineral fertilized","Bulk Soil","22-07-05",78.5,3.52165578165441,0.940616493064045,20.563731012634
"20","Control","Mineral fertilized","Bulk Soil","22-07-20",66.5,3.30268337214554,0.929637281910009,20.0503859222958
"21","Control","Mineral fertilized","Bulk Soil","22-09-13",75.5,3.6283687027284,0.95346145695796,22.9375785812779
"22","Control","Mineral fertilized","Rhizosphere","22-04-28",89.25,3.73673546143103,0.956179601284496,23.4776567068486
"23","Control","Mineral fertilized","Rhizosphere","22-06-01",97.75,3.79978057169271,0.956936905363479,24.9608759147016
"24","Control","Mineral fertilized","Rhizosphere","22-07-05",88.75,3.75421735659871,0.959890730869752,25.2103250321976
"25","Rainout","Biodynamic","Bulk Soil","22-04-28",39,2.96229439012322,0.916308730119919,12.4534746605145
"26","Rainout","Biodynamic","Bulk Soil","22-06-01",47.5,3.04994958841675,0.91125347069403,12.536851343491
"27","Rainout","Biodynamic","Bulk Soil","22-07-05",42,2.91492599363797,0.908549589493645,11.8508623338009
"28","Rainout","Biodynamic","Bulk Soil","22-07-20",46.25,3.03660446291925,0.919527442254715,12.7910270693155
"29","Rainout","Biodynamic","Bulk Soil","22-09-13",49.5,3.04506322075586,0.918956917208665,12.9532280850318
"30","Rainout","Biodynamic","Rhizosphere","22-04-28",65.75,3.30433016970665,0.938896088371613,16.8584804446401
"31","Rainout","Biodynamic","Rhizosphere","22-06-01",59.5,3.11929346752237,0.921130345955521,12.7494886856117
"32","Rainout","Biodynamic","Rhizosphere","22-07-05",59,3.16857301892209,0.926343178965557,14.0692474342261
"33","Rainout","Conventional","Bulk Soil","22-04-28",62.75,3.35762287260573,0.936045500730815,16.8822862211572
"34","Rainout","Conventional","Bulk Soil","22-06-01",79.75,3.42778682565111,0.91719983590613,16.8402692328898
"35","Rainout","Conventional","Bulk Soil","22-07-05",79.25,3.51291262771564,0.941957226922262,18.4736347853774
"36","Rainout","Conventional","Bulk Soil","22-07-20",72.5,3.36079170284689,0.926070141979233,13.741181595204
"37","Rainout","Conventional","Bulk Soil","22-09-13",74.75,3.53788447207857,0.944258344607995,18.2566819872721
"38","Rainout","Conventional","Rhizosphere","22-04-28",98,3.71510370367668,0.939250628935944,24.9454678555948
"39","Rainout","Conventional","Rhizosphere","22-06-01",93.5,3.65465251793726,0.943819583679724,18.2135066833535
"40","Rainout","Conventional","Rhizosphere","22-07-05",92,3.53178462758353,0.926093234659668,15.2341429611344
"41","Rainout","Mineral fertilized","Bulk Soil","22-04-28",55.75,3.30409425363314,0.93321528898452,17.7796967566538
"42","Rainout","Mineral fertilized","Bulk Soil","22-06-01",65.25,3.35907305099078,0.933418368733054,15.4003025991637
"43","Rainout","Mineral fertilized","Bulk Soil","22-07-05",86.75,3.61367586353983,0.949696670850517,20.1945315246266
"44","Rainout","Mineral fertilized","Bulk Soil","22-07-20",69.5,3.39053861129069,0.936181340027494,16.3911275698028
"45","Rainout","Mineral fertilized","Bulk Soil","22-09-13",69,3.40519699420046,0.93410231959183,17.2507292785578
"46","Rainout","Mineral fertilized","Rhizosphere","22-04-28",92.5,3.70734300805001,0.951669057438288,23.1106991960677
"47","Rainout","Mineral fertilized","Rhizosphere","22-06-01",93,3.78331284077808,0.958739492830402,25.6318988380587
"48","Rainout","Mineral fertilized","Rhizosphere","22-07-05",83.5,3.64079523213326,0.948981476953505,20.9548979929148
