	input	filtered	denoisedF	denoisedR	merged	nonchim
1	28934	23998	23278	23246	19050	9632
10	38106	33131	32152	32125	27758	11875
100	52931	46961	46026	45953	38810	17556
101	32707	29091	28121	28217	24617	11866
102	32657	24983	24127	24076	18126	10480
103	41390	36425	35342	35527	30935	14888
104	39195	31812	30868	30840	25632	14573
105	42397	36499	35519	35449	31427	13201
106	34071	28664	27496	27533	21178	10259
107	33387	28643	27699	27788	22963	10239
108	33122	26970	26041	26006	20358	10828
109	37094	32737	31885	31787	26744	11891
11	37683	29727	28943	28989	24470	12114
110	38720	33399	32639	32484	27171	12679
111	37211	32483	31251	31354	26881	12265
112	45163	35814	34222	34170	23291	13962
113	32245	27361	26061	26187	22075	11116
114	33719	25085	23895	23787	17613	11668
115	36470	31367	30349	30373	24720	10285
116	39961	33864	32605	32570	27586	12889
117	36233	31736	30692	30635	25817	12826
118	30758	25802	24687	24695	20034	11389
119	28911	24223	23318	23349	19304	9865
12	31301	25630	24739	24749	20406	10600
120	35792	29193	27959	27970	19950	12492
121	26421	22183	21278	21363	16511	8632
122	32176	27136	26015	25894	19683	10664
123	37843	30970	29847	29778	24451	12916
124	41088	35844	34658	34576	27564	12771
125	32554	27085	25723	25791	19554	10630
126	23210	17642	16679	16624	13076	7488
127	29750	24561	23641	23613	20294	10481
128	42478	34633	33349	33290	24155	11483
129	37058	31566	30262	30304	25588	11357
13	33177	28855	28116	28098	23822	9367
130	29274	25305	24418	24317	21039	8929
131	31483	25963	24745	24817	18908	9060
132	40076	33673	32589	32400	25635	11940
133	31108	26906	25894	26165	21993	10473
134	32564	27825	26810	26714	21514	10378
135	27539	22503	21373	21371	17258	8145
136	41244	35576	34367	34489	30090	11844
137	25370	20126	18954	18873	11505	6854
138	35700	29508	28251	28103	21508	12090
139	32596	27724	26734	26748	22436	10915
14	37566	32767	31724	31812	26855	11669
140	39247	34387	33412	33244	27992	11716
141	35845	29425	28158	28254	24193	13050
142	29934	23912	22925	22715	17428	10426
143	31038	24809	23265	23326	14590	8184
144	34136	28978	27853	27748	21873	11262
145	36085	30669	29697	29774	23694	11686
146	32319	27337	26143	26197	21067	10477
147	40329	35249	34171	34010	28368	12640
148	36674	31584	30407	30216	24046	11906
149	34813	28529	27299	27314	23492	11310
15	33440	27085	26102	25918	22077	10553
150	33739	26846	25614	25555	20404	10532
151	40660	35357	34328	34342	28763	12176
152	38863	32166	30956	30710	25096	11485
153	40038	33640	32108	32092	26173	12438
154	30595	25419	24099	24220	18984	9134
155	41892	35360	34022	33776	26758	12584
156	31203	25587	24708	24707	19588	9435
157	49383	42590	41140	41147	34470	15139
158	38372	33765	32838	32850	28013	10813
159	38648	32651	31346	31218	25699	11268
16	44220	39145	37583	37629	30875	13689
160	38613	33298	31931	31984	26398	11195
161	28310	23808	22652	22659	18020	8854
162	34811	29623	28551	28517	23962	11818
163	34128	29614	28563	28639	24184	11799
164	34525	29648	28650	28680	23906	10845
165	36293	30504	29202	29290	24588	12829
166	35461	29432	28099	27905	21491	12043
167	26553	20025	18740	18583	11420	7206
168	33104	26109	25025	24885	19845	9503
169	41267	33627	32418	32323	25545	13318
17	51653	46505	45100	44866	37297	17923
170	33962	27644	26362	26107	19283	9546
171	44617	38113	37020	36837	30602	13827
172	36000	31877	30801	30695	24968	10795
173	32690	27368	26105	26163	22139	10603
174	36610	29299	27723	27733	20841	10595
175	38246	32266	31197	31234	25857	13189
176	41078	34540	33413	33447	28014	13279
177	35641	29187	27628	27643	22759	11507
178	51920	43972	41961	41989	31545	14591
179	35604	28813	27721	27697	22594	9913
18	34891	29347	28485	28414	24485	12423
180	38754	32064	30903	30797	24285	12302
181	52669	44844	43613	43585	36195	15841
182	34491	25416	24564	24556	20046	9026
183	44036	37572	36166	36389	29937	13931
184	42862	36193	34863	34841	29177	12002
185	33034	28336	27154	27146	23095	11246
186	35981	28787	27552	27569	22363	11428
187	41063	35190	34250	34125	29675	13971
188	39778	33663	32663	32659	28065	11875
189	37588	30938	29870	29834	25911	14052
19	34905	30617	29495	29557	25512	11882
190	44206	29421	27957	27876	22291	11498
191	32070	25286	23700	23567	14960	9629
192	33987	26909	25906	25709	19950	11557
2	39375	32577	31502	31625	26425	13244
20	32242	28349	27490	27447	23545	10034
21	35920	31478	30434	30384	26118	12972
22	36546	29820	28903	28855	24817	11513
23	28922	21963	20799	20865	15913	10061
24	29178	24725	23725	23779	19784	9839
25	42055	35241	34156	34060	27747	12866
26	44	15	9	7	7	0
27	34379	28905	28013	28063	23534	11436
28	37653	28652	27563	27573	21376	10308
29	29556	25410	24502	24310	20527	10227
3	41116	35505	34640	34573	28957	13172
30	25417	20072	18998	18908	14694	8364
31	39889	34566	33222	33326	28359	12777
32	31780	27281	26145	26050	21560	10515
33	31970	27210	26362	26264	22853	9174
34	27285	22954	21939	21953	18201	8178
35	33651	28189	27200	27314	22813	10104
36	26242	21382	20570	20412	16342	8887
37	38992	34336	33118	33035	26948	12197
38	31367	27077	26221	25980	21856	9847
39	26926	22000	21196	21191	18538	9027
4	38428	33642	32659	32746	27198	12155
40	27191	21434	20230	20196	17279	8231
41	38007	32970	31615	31656	26745	12281
42	27186	22019	20916	20897	17693	10384
43	33756	29820	28691	28741	24387	11243
44	34146	29895	28779	28849	23758	10759
45	30351	26465	25618	25572	22073	10228
46	32864	26019	25111	24948	21170	11023
47	30823	25191	24123	24071	19982	11146
48	28510	24203	23090	22934	18208	8911
49	27007	23011	22199	22287	17634	7990
5	45551	39708	38524	38312	31205	15529
50	30874	25796	24696	24683	19051	8258
51	34386	29044	28120	27993	22858	10229
52	22465	7248	6982	6994	4594	2431
53	28157	23323	22389	22355	18959	9099
54	30469	24660	23349	23185	17771	9845
55	29409	24776	23827	23875	20283	9947
56	31636	27127	26172	26142	21758	9919
57	27276	23460	22538	22514	18915	8033
58	33963	29098	28054	27906	23779	10338
59	43683	37419	36255	36299	30386	11625
6	40352	33554	32543	32538	27325	14907
60	36634	31314	29976	30001	24027	11185
61	31628	27210	26455	26385	21792	8279
62	34172	29624	28549	28609	23264	9589
63	23490	19658	18805	18827	16070	7102
64	42655	38252	36883	36664	31434	13579
65	31886	27760	26679	26717	22962	10728
66	23500	19240	18066	18164	14251	8051
67	38999	33639	32448	32592	27725	11519
68	34363	29733	28771	28723	24445	10505
69	31769	26963	25962	25923	22357	9523
7	39370	32929	31845	31804	25490	12715
70	34134	28301	27079	27076	22391	11005
71	33339	27910	26505	26601	21397	11400
72	22395	17771	16820	16780	12987	7104
73	34284	28156	27009	27029	21142	9950
74	30850	23483	22344	22371	16686	9237
75	30634	25363	24410	24260	19207	9235
76	34878	29059	27905	27763	21738	12532
77	35145	30070	28706	28657	23474	11847
78	28891	21970	20684	20587	14182	7608
79	40393	34912	33649	33524	28359	12688
8	34485	29544	28626	28666	24901	11928
80	34209	28817	27655	27522	21980	11874
81	22915	19661	18961	18942	16431	7226
82	29100	24262	22952	22991	17871	9322
83	37835	31730	30512	30661	25000	11101
84	33311	27979	26863	26875	20073	9996
85	37521	31753	31040	30879	26158	11626
86	37088	31004	29875	29780	24679	11203
87	28095	23814	23110	23041	20322	8625
88	28061	22560	21517	21466	16362	9267
89	29616	25825	24760	25004	21612	10228
9	39302	34646	33712	33841	29719	12160
90	35563	27403	26284	26164	21537	11575
91	42349	36381	35138	35109	30407	13178
92	41662	35109	34102	33966	28997	14126
93	44999	38998	37779	38009	32994	14262
94	36479	30367	29308	29183	24636	12101
95	33173	26578	25406	25377	21315	11238
96	29453	23253	22062	22132	17258	10152
97	35315	29502	28833	28723	24234	12621
98	42815	35622	34683	34588	29102	14264
99	26324	22608	22047	21864	18174	8985
