OTU_0 	 Nitrospira-sp.LPPL-bin249
OTU_1 	 Nitrospira-sp.Smid-bin44
OTU_2 	 Nitrospira-sp.RSF48
OTU_3 	 Nitrospira-sp.Smid-bin44
OTU_4 	 Nitrospira-sp.LPPL-bin249
OTU_5 	 Nitrospira-sp.LPPL-bin249
OTU_6 	 Nitrospira-sp.GGF-bin22
OTU_7 	 Nitrospira-sp.CTRL-LIN-TMP1
OTU_8 	 Nitrospira-sp.GGF-bin22
OTU_9 	 Nitrospira-sp.RSF3
OTU_10 	 Nitrospira-sp.Smid-bin44
OTU_11 	 Nitrospira-sp.GGF-bin22
OTU_12 	 Nitrospira-sp.LM-bin98
OTU_13 	 Nitrospira-sp.Smid-bin44
OTU_14 	 Nitrospira-sp.LM-bin98
OTU_15 	 Nitrospira-sp.LPPL-bin249
OTU_16 	 Nitrospira-sp.Smid-bin44
OTU_17 	 Nitrospira-sp.EFPC-84
OTU_18 	 Nitrospira-sp.CTRL-LIN-TMP1
OTU_19 	 Nitrospira-sp.Smid-bin44
OTU_20 	 Nitrospira-sp.LPPL-bin249
OTU_21 	 Nitrospira-sp.Smid-bin44
OTU_22 	 Nitrospira-sp.ACE10
OTU_23 	 Nitrospira-sp.Smid-bin44
OTU_24 	 Nitrospira-sp.GGF-bin22
OTU_25 	 Nitrospira-sp.GGF-bin22
OTU_26 	 Nitrospira-sp.Smid-bin44
OTU_27 	 Nitrospira-sp.GGF-bin22
OTU_28 	 Nitrospira-sp.LPPL-bin249
OTU_29 	 Nitrospira-sp.Smid-bin44
OTU_30 	 Nitrospira-sp.CTRL-LIN-TMP1
OTU_31 	 Nitrospira-sp.Smid-bin44
OTU_32 	 Nitrospira-sp.RCB
OTU_33 	 Nitrospira-sp.RSF48
OTU_34 	 Nitrospira-sp.Smid-bin44
OTU_35 	 Nitrospira-sp.GGF-bin22
OTU_36 	 Nitrospira-sp.LPPL-bin249
OTU_37 	 Nitrospira-sp.Smid-bin44
OTU_38 	 Nitrospira-sp.Smid-bin44
OTU_39 	 Nitrospira-sp.Smid-bin44
OTU_40 	 Nitrospira-sp.CTRL-LIN-TMP1
OTU_41 	 Nitrospira-sp.GGF-bin22
OTU_42 	 Nitrospira-sp.LM-bin98
OTU_43 	 Nitrospira-sp.LM-bin98
OTU_44 	 Nitrospira-sp.CTRL-LIN-TMP1
OTU_45 	 Nitrospira-sp.Smid-bin44
OTU_46 	 Nitrospira-sp.LPPL-bin249
OTU_47 	 Nitrospira-sp.LPPL-bin249
OTU_48 	 Nitrospira-sp.RSF48
OTU_49 	 Nitrospira-sp.LPPL-bin249
OTU_50 	 Nitrospira-sp.GGF-bin22
