ASVid;Domain;Genus;Clade;Species
ASV_1;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_3;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_4;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_6;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_7;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_8;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_9;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_10;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_11;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_12;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_13;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_14;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_15;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF3
ASV_16;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_17;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_18;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_19;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_20;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_21;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_22;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_23;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_24;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_25;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_26;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_27;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_28;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_30;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_31;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_32;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_33;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_36;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_37;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_38;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_39;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_40;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_41;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_42;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_43;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_44;Bacteria;Nitrospira;Clade B;Nitrospira-sp.EFPC-84
ASV_45;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_46;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_47;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_48;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_50;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_53;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_54;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_55;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_56;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_57;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_58;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_59;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_60;Bacteria;Nitrospira;Clade A;Nitrospira-sp.ACE10
ASV_62;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_63;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_64;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_65;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_66;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_67;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_68;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_70;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_71;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_72;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_74;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_75;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_76;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_78;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_79;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_81;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_83;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_85;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_87;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF3
ASV_88;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_89;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_90;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_93;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_94;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_96;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_98;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_99;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_100;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_101;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_103;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_105;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_107;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_109;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_111;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_113;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_115;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_116;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_119;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_120;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_123;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_128;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_129;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_130;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_131;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_136;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_137;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_138;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_139;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_140;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_141;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_143;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_144;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_145;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_146;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_149;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_151;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_153;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_154;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_155;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_157;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_160;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_161;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_162;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_163;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_164;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_165;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_166;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_167;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RCB
ASV_168;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_169;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_170;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_171;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_173;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_174;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_177;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_178;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_180;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_181;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_184;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_185;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_187;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_189;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_190;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_191;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_194;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_198;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_199;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_203;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_204;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_206;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_208;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_210;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_211;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_212;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_213;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_214;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_215;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_217;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_218;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_225;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_226;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_227;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_229;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_231;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_232;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_234;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_238;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_242;Bacteria;Nitrospira;Clade B;Nitrospira-sp.EFPC-84
ASV_249;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_254;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_255;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_257;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_258;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_261;Bacteria;Nitrospira;Clade A;Nitrospira-sp.ACE10
ASV_263;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_264;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_265;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_266;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_267;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_269;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_270;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_271;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_273;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_275;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_280;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_284;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_285;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_286;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_294;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_295;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_297;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_300;Bacteria;Nitrospira;Clade A;Nitrospira-sp.KgW63
ASV_304;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_307;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_312;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_314;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_315;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_316;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_322;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_324;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_327;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_329;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_331;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_332;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_333;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_337;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_338;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_339;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_340;Bacteria;Nitrospira;Clade A;Nitrospira-sp.ACE10
ASV_344;Bacteria;Nitrospira;Clade A;Nitrospira-sp.KgW63
ASV_346;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_347;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_348;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_349;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_350;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_351;Bacteria;Nitrospira;Clade A;Nitrospira-sp.ACE10
ASV_357;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_361;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RCB
ASV_363;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_368;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_376;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_378;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_380;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_383;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RCB
ASV_390;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_397;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_399;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_400;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_401;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_402;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
