,source,classified,treatment,date ,combination,correct_of_4_reps,not_correct,rate
S1,Control,Control,M,4/28/22,control_M_4.28.22,3,1,75
S3,Control,Control,D,4/28/22,control_D_4.28.22,4,,100
S5,Control,Control,K,4/28/22,control_K_4.28.22,4,,100
S7,Control,Control,K,4/28/22,,,,
S9,Control,Control,M,4/28/22,,,,
S11,Control,Control,D,4/28/22,,,,
S13,Control,Control,D,4/28/22,,,,
S15,Control,Rainout,M,4/28/22,,,,
S17,Control,Control,K,4/28/22,,,,
S19,Control,Control,K,4/28/22,,,,
S21,Control,Control,D,4/28/22,,,,
S23,Control,Control,M,4/28/22,,,,
S25,Control,Control,M,6/1/22,control_M_6.1.22,2,2,50
S27,Control,Control,D,6/1/22,control_D_6.1.22,4,,100
S29,Control,Control,K,6/1/22,control_K_6.1.22,4,,100
S31,Control,Control,K,6/1/22,,,,
S33,Control,Rainout,M,6/1/22,,,,
S35,Control,Control,D,6/1/22,,,,
S37,Control,Control,D,6/1/22,,,,
S39,Control,Rainout,M,6/1/22,,,,
S41,Control,Control,K,6/1/22,,,,
S43,Control,Control,K,6/1/22,,,,
S45,Control,Control,D,6/1/22,,,,
S47,Control,Control,M,6/1/22,,,,
S49,Control,Control,M,7/5/22,control_M_7.5.22,2,2,50
S51,Control,Control,D,7/5/22,control_D_7.5.22,4,,100
S53,Control,Control,K,7/5/22,control_K_7.5.22,4,,100
S55,Control,Control,K,7/5/22,,,,
S57,Control,Rainout,M,7/5/22,,,,
S59,Control,Control,D,7/5/22,,,,
S61,Control,Control,D,7/5/22,,,,
S63,Control,Rainout,M,7/5/22,,,,
S65,Control,Control,K,7/5/22,,,,
S67,Control,Control,K,7/5/22,,,,
S69,Control,Control,D,7/5/22,,,,
S71,Control,Control,M,7/5/22,,,,
S73,Control,Control,M,7/20/22,control_M_7.20.22,1,3,25
S75,Control,Control,D,7/20/22,control_D_7.20.22,4,,100
S77,Control,Control,K,7/20/22,control_K_7.20.22,3,1,75
S79,Control,Control,K,7/20/22,,,,
S81,Control,Rainout,M,7/20/22,,,,
S83,Control,Control,D,7/20/22,,,,
S85,Control,Control,D,7/20/22,,,,
S87,Control,Rainout,M,7/20/22,,,,
S89,Control,Control,K,7/20/22,,,,
S91,Control,Rainout,K,7/20/22,,,,
S93,Control,Control,D,7/20/22,,,,
S95,Control,Rainout,M,7/20/22,,,,
S97,Control,Control,M,9/13/22,control_M_9.13.22,3,1,75
S99,Control,Rainout,D,9/13/22,control_D_9.13.22,3,1,75
S101,Control,Control,K,9/13/22,control_K_9.13.22,4,,100
S103,Control,Control,K,9/13/22,,,,
S105,Control,Control,M,9/13/22,,,,
S107,Control,Control,D,9/13/22,,,,
S109,Control,Control,D,9/13/22,,,,
S111,Control,Control,M,9/13/22,,,,
S113,Control,Control,K,9/13/22,,,,
S115,Control,Control,K,9/13/22,,,,
S117,Control,Control,D,9/13/22,,,,
S119,Control,Rainout,M,9/13/22,,,,
S2,Rainout,Rainout,M,4/28/22,,,,
S4,Rainout,Rainout,D,4/28/22,,,,
S6,Rainout,Rainout,K,4/28/22,,,,
S8,Rainout,Control,K,4/28/22,,,,
S10,Rainout,Control,M,4/28/22,,,,
S12,Rainout,Rainout,D,4/28/22,,,,
S14,Rainout,Control,D,4/28/22,,,,
S16,Rainout,Control,M,4/28/22,,,,
S18,Rainout,Rainout,K,4/28/22,,,,
S20,Rainout,Rainout,K,4/28/22,,,,
S22,Rainout,Rainout,D,4/28/22,,,,
S24,Rainout,Rainout,M,4/28/22,,,,
S26,Rainout,Rainout,M,6/1/22,,,,
S28,Rainout,Rainout,D,6/1/22,,,,
S30,Rainout,Rainout,K,6/1/22,,,,
S32,Rainout,Rainout,K,6/1/22,,,,
S34,Rainout,Rainout,M,6/1/22,,,,
S36,Rainout,Control,D,6/1/22,,,,
S38,Rainout,Rainout,D,6/1/22,,,,
S40,Rainout,Control,M,6/1/22,,,,
S42,Rainout,Control,K,6/1/22,,,,
S44,Rainout,Rainout,K,6/1/22,,,,
S46,Rainout,Rainout,D,6/1/22,,,,
S48,Rainout,Rainout,M,6/1/22,,,,
S50,Rainout,Rainout,M,7/5/22,,,,
S52,Rainout,Control,D,7/5/22,,,,
S54,Rainout,Rainout,K,7/5/22,,,,
S56,Rainout,Control,K,7/5/22,,,,
