"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24"
"ASV_95",0,0,0,0,12,0,4,13,31,8,0,0,0,0,11,17,0,16,5,16,0,0,0,0
"ASV_38",2,192,0,0,20,10,7,23,82,85,0,0,9,0,128,219,43,72,4,20,0,0,10,0
"ASV_8",76,105,146,167,131,96,132,110,62,87,140,92,103,156,81,48,105,73,146,133,118,99,73,70
"ASV_62",68,8,19,7,0,4,5,0,0,5,0,48,15,2,0,0,0,0,18,0,0,0,0,19
"ASV_58",66,12,19,6,0,0,0,0,0,0,0,41,33,11,0,0,0,0,21,7,0,18,9,45
"ASV_21",113,39,130,91,6,32,26,5,0,2,62,138,144,107,0,0,0,0,97,42,29,59,17,60
"ASV_76",0,9,39,24,0,0,0,0,0,0,24,24,30,32,1,0,0,0,20,0,0,0,0,0
"ASV_13",51,72,77,66,87,112,62,50,34,34,67,60,35,62,22,14,47,47,88,60,104,83,177,144
"ASV_4",109,181,104,127,211,162,248,197,63,100,168,85,89,155,106,59,134,118,184,170,265,174,371,232
"ASV_43",0,28,0,0,0,14,18,23,16,20,0,0,0,17,20,23,0,0,17,0,30,58,43,24
"ASV_2",133,202,78,91,298,288,271,238,255,284,241,108,89,130,297,286,250,320,166,214,288,237,403,237
"ASV_78",0,37,0,0,16,0,23,17,0,0,0,0,0,0,0,0,0,0,34,38,0,0,0,0
"ASV_6",220,219,113,100,212,130,160,200,179,165,138,122,99,101,162,136,190,164,114,150,137,130,211,134
"ASV_80",0,2,17,9,17,0,13,0,0,0,16,0,0,16,0,0,7,0,10,16,8,0,0,0
"ASV_39",17,26,12,23,25,36,25,23,15,19,16,20,16,11,14,15,26,14,15,16,25,16,23,28
"ASV_37",82,31,54,44,0,8,7,0,0,0,25,67,83,33,0,0,0,0,44,28,8,32,16,47
"ASV_85",14,0,30,21,0,0,0,0,0,0,16,19,14,0,0,0,0,0,0,0,9,0,0,0
"ASV_44",47,14,58,43,0,6,3,2,0,0,37,65,46,32,0,0,0,0,19,7,16,43,0,25
"ASV_34",3,22,16,56,96,49,18,17,42,50,65,21,1,0,17,18,21,41,8,17,0,0,7,3
"ASV_7",0,5,0,0,135,31,23,68,523,285,27,3,14,3,170,304,390,432,4,3,5,0,44,14
"ASV_57",0,0,0,0,24,0,12,7,7,21,13,0,0,0,10,18,15,43,0,0,0,0,29,10
"ASV_49",0,12,0,0,31,5,19,12,29,18,32,20,0,12,21,2,4,7,0,9,11,27,6,22
"ASV_20",0,12,0,0,62,58,54,59,83,88,63,0,0,0,64,64,76,81,0,0,43,0,97,46
"ASV_15",18,77,36,81,67,85,76,65,70,55,60,17,21,62,83,68,47,65,47,78,81,31,90,47
"ASV_32",16,22,26,0,27,32,13,0,0,0,23,45,38,52,0,0,0,9,0,24,76,65,58,118
"ASV_61",34,23,33,19,0,0,9,5,0,0,23,29,15,0,0,0,0,0,9,0,0,0,0,22
"ASV_114",2,1,1,3,0,0,4,0,0,0,8,4,0,0,0,0,0,0,0,9,15,0,7,7
"ASV_18",47,82,69,73,43,78,62,40,7,0,66,80,62,67,7,3,4,0,86,84,58,88,85,119
"ASV_40",23,20,38,62,0,31,21,0,0,0,30,0,29,30,0,0,0,0,25,24,0,33,29,49
"ASV_10",3,43,11,27,192,78,45,108,366,372,105,26,9,6,111,256,228,194,4,19,0,0,31,4
"ASV_123",0,0,0,0,14,0,9,0,7,23,0,0,0,0,0,1,5,1,0,0,0,0,0,0
"ASV_124",0,4,12,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,6,6,0,0,0,0
"ASV_51",18,16,19,30,0,0,19,16,2,0,15,10,20,35,5,0,1,0,19,14,24,20,20,27
"ASV_30",114,35,41,29,0,13,0,0,0,0,42,81,77,31,0,0,0,0,82,42,21,36,7,56
"ASV_47",17,10,43,37,0,8,0,0,0,0,22,23,34,29,14,0,0,0,26,12,35,59,5,28
"ASV_11",125,47,157,156,0,33,34,10,10,16,88,135,175,167,0,0,0,0,116,50,188,325,72,196
"ASV_56",0,0,26,23,0,0,0,0,0,0,27,36,0,20,0,0,0,0,0,0,35,50,0,64
"ASV_93",0,0,8,0,0,12,7,0,0,0,3,7,13,1,0,0,0,0,17,8,4,3,4,4
"ASV_22",55,32,97,84,19,39,23,17,0,5,111,99,81,77,0,2,0,0,50,39,75,67,18,61
"ASV_19",111,38,119,114,37,48,46,18,0,0,136,111,91,52,0,0,6,5,65,61,39,39,9,44
"ASV_72",27,9,21,26,0,0,0,0,0,0,0,18,29,14,0,0,0,0,14,10,0,0,0,0
"ASV_41",54,9,33,12,0,2,8,0,0,0,8,96,56,37,0,0,0,0,10,13,12,19,4,54
"ASV_75",16,2,21,16,0,0,0,0,0,0,11,35,27,10,0,0,0,0,13,0,0,4,0,21
"ASV_55",19,8,19,4,0,0,0,0,0,0,0,25,43,19,0,0,0,0,9,9,19,60,8,40
"ASV_160",0,1,1,0,0,3,0,1,3,0,2,0,0,3,3,3,0,0,1,5,0,0,2,0
"ASV_24",207,63,121,62,16,6,0,0,0,0,24,131,187,85,0,0,0,0,81,13,15,71,15,146
"ASV_59",37,7,33,10,0,5,0,0,0,0,12,38,43,25,0,0,0,0,18,9,11,14,0,15
"ASV_106",11,0,14,4,0,0,0,0,0,0,21,6,8,7,0,0,0,0,3,17,17,0,0,3
"ASV_46",68,20,49,43,0,0,0,0,0,0,0,63,64,43,0,0,0,0,30,0,0,34,0,32
"ASV_33",117,17,65,37,0,0,0,0,0,0,20,99,90,59,0,0,0,0,48,22,17,48,0,63
"ASV_14",231,47,259,169,0,33,18,0,0,0,72,207,292,197,20,0,0,0,182,110,47,103,0,52
"ASV_52",80,14,51,33,0,0,0,0,0,0,10,44,57,40,0,0,0,0,42,14,0,0,0,15
"ASV_66",0,0,57,36,0,0,0,0,0,0,19,41,31,16,0,0,0,0,17,0,0,0,0,0
"ASV_29",112,22,102,86,0,0,0,0,0,0,31,96,276,151,0,2,1,0,85,49,34,117,0,42
"ASV_77",24,0,53,30,0,0,0,0,0,0,0,28,27,20,0,0,0,0,20,0,0,0,0,0
"ASV_111",6,0,3,10,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,18,0,17,0,0
"ASV_86",6,13,18,22,0,8,6,0,0,0,6,0,4,10,0,0,0,0,8,12,0,0,0,0
"ASV_133",0,0,2,3,5,0,0,7,7,1,2,7,1,0,2,0,0,0,2,3,0,0,0,0
"ASV_63",11,11,22,28,0,13,12,0,0,0,12,21,18,20,0,0,0,0,20,19,10,7,0,0
"ASV_154",0,3,0,6,0,0,0,0,0,10,3,0,0,2,0,0,0,0,0,0,0,0,0,7
"ASV_122",0,4,6,10,0,0,0,0,0,0,9,0,8,10,0,0,0,0,6,13,3,0,0,0
"ASV_17",38,74,90,130,55,63,68,48,38,40,111,59,56,86,29,14,25,14,91,95,68,75,33,26
"ASV_23",12,18,17,38,49,47,62,40,30,44,100,55,24,23,21,22,20,38,24,24,76,31,97,59
"ASV_68",0,8,0,25,0,15,20,0,0,17,16,0,0,17,0,0,4,0,0,0,27,16,31,24
"ASV_70",0,10,13,19,15,15,14,4,0,12,10,6,10,12,0,0,1,4,10,17,23,12,11,0
"ASV_121",0,5,0,4,1,4,9,12,19,10,8,1,0,3,2,5,3,4,1,4,0,0,3,0
"ASV_3",30,109,19,53,488,281,339,292,179,252,169,30,31,54,214,186,357,375,34,96,44,0,65,13
"ASV_26",0,33,0,0,94,65,66,94,84,60,23,0,0,0,51,64,99,74,13,30,0,0,39,11
"ASV_50",0,0,0,0,0,0,22,49,19,14,0,0,0,0,36,32,35,33,0,0,0,0,18,0
"ASV_125",0,3,0,0,10,12,1,3,1,1,4,0,0,0,1,4,2,2,6,9,0,0,0,0
"ASV_54",0,0,0,0,0,0,9,23,17,24,0,0,0,0,19,25,40,33,8,23,0,0,0,0
"ASV_1",108,564,69,294,607,809,853,1179,789,865,395,165,109,383,1091,1091,966,933,433,820,189,64,427,73
"ASV_16",17,63,0,29,50,67,83,126,121,87,0,0,0,28,147,174,83,64,61,95,28,0,51,0
"ASV_5",33,126,22,72,286,299,256,268,205,223,126,34,21,88,291,268,234,263,87,178,63,0,145,24
"ASV_9",83,125,157,208,66,91,100,90,71,85,179,128,141,118,17,22,35,35,149,177,165,173,85,70
"ASV_27",37,54,90,100,37,45,37,33,20,42,72,38,40,34,13,9,14,0,67,60,62,31,16,13
"ASV_90",6,6,0,2,0,7,0,0,5,0,0,6,0,15,0,0,0,0,11,7,12,15,0,0
"ASV_45",22,22,28,39,0,11,0,0,0,0,29,28,40,14,0,0,0,0,36,22,46,37,28,40
"ASV_28",34,40,63,59,35,24,17,22,22,27,44,41,46,33,12,4,27,10,94,47,56,72,51,66
"ASV_36",62,42,33,51,15,16,11,21,0,0,32,31,39,34,0,0,0,0,56,44,38,27,14,27
"ASV_25",0,30,12,19,19,18,26,30,18,18,38,0,0,75,14,6,19,16,12,0,207,126,200,136
"ASV_35",53,56,51,34,10,31,13,0,0,0,27,22,28,26,0,0,0,0,29,19,38,48,26,52
"ASV_48",11,2,9,7,10,2,10,20,17,13,13,19,31,38,8,0,0,0,5,23,31,55,24,36
"ASV_83",0,2,1,2,0,4,3,0,2,0,2,6,2,10,0,0,0,0,2,0,26,30,5,23
