"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_95","cont.D - cont.K",-21.3130351955067,12861.6808724229,Inf,-0.00165709563212725,1,"cont.D","cont.K",1
"2","ASV_95","cont.D - cont.M",-21.2119295861819,12861.6808755971,Inf,-0.0016492346366973,1,"cont.D","cont.M",1
"3","ASV_95","cont.D - rain.D",-0.0323918773212042,18048.9893925601,Inf,-1.79466432256625e-06,1,"cont.D","rain.D",1
"4","ASV_95","cont.D - rain.K",-22.0791484011934,12861.6808708484,Inf,-0.00171666119093631,1,"cont.D","rain.K",1
"5","ASV_95","cont.D - rain.M",-20.8723884376879,12861.6808765807,Inf,-0.00162283519844545,1,"cont.D","rain.M",1
"6","ASV_95","cont.K - cont.M",0.101105609324719,1.39455847620098,Inf,0.0725000859054317,0.999999720343075,"cont.K","cont.M",1
"7","ASV_95","cont.K - rain.D",21.2806433181855,12662.6689561024,Inf,0.00168058119437213,1,"cont.K","rain.D",1
"8","ASV_95","cont.K - rain.K",-0.766113205686771,1.35005262413596,Inf,-0.567469143046987,0.993096250769722,"cont.K","rain.K",1
"9","ASV_95","cont.K - rain.M",0.440646757818797,1.403600889016,Inf,0.313940209975012,0.999595668690888,"cont.K","rain.M",1
"10","ASV_95","cont.M - rain.D",21.1795377088607,12662.6689593265,Inf,0.00167259665216639,1,"cont.M","rain.D",1
"11","ASV_95","cont.M - rain.K",-0.867218815011491,1.37996110201347,Inf,-0.628437144892094,0.988945762829306,"cont.M","rain.K",1
"12","ASV_95","cont.M - rain.M",0.339541148494078,1.43239168916037,Inf,0.237044902636309,0.999898416492993,"cont.M","rain.M",1
"13","ASV_95","rain.D - rain.K",-22.0467565238722,12662.6689545032,Inf,-0.00174108291096339,1,"rain.D","rain.K",1
"14","ASV_95","rain.D - rain.M",-20.8399965603667,12662.6689603256,Inf,-0.00164578230905839,1,"rain.D","rain.M",1
"15","ASV_95","rain.K - rain.M",1.20675996350557,1.38909851902883,Inf,0.868736052176674,0.95394086428336,"rain.K","rain.M",1
"16","ASV_38","cont.D - cont.K",-3.24017973336951,1.36025907114812,Inf,-2.3820313366002,0.162457598121381,"cont.D","cont.K",1
"17","ASV_38","cont.D - cont.M",-3.89353870393255,1.36057791299353,Inf,-2.8616800748779,0.0483359353981831,"cont.D","cont.M",1
"18","ASV_38","cont.D - rain.D",21.9553831199422,42926.3207057957,Inf,0.000511466688944015,1,"cont.D","rain.D",1
"19","ASV_38","cont.D - rain.K",-3.88915023072324,1.35501707311524,Inf,-2.87018540790923,0.0471826183763473,"cont.D","rain.K",1
"20","ASV_38","cont.D - rain.M",-4.55146104737179,1.36463963300183,Inf,-3.33528422984449,0.0110215639121822,"cont.D","rain.M",0.362905153206
"21","ASV_38","cont.K - cont.M",-0.653358970563036,1.14599949603494,Inf,-0.570121516478502,0.992944963670325,"cont.K","cont.M",1
"22","ASV_38","cont.K - rain.D",25.1955628533117,42926.3206995308,Inf,0.000586949042981621,1,"cont.K","rain.D",1
"23","ASV_38","cont.K - rain.K",-0.648970497353726,1.13939187991678,Inf,-0.569576200070101,0.992976269530901,"cont.K","rain.K",1
"24","ASV_38","cont.K - rain.M",-1.31128131400228,1.15081880222121,Inf,-1.13943334213115,0.864953494774265,"cont.K","rain.M",1
"25","ASV_38","cont.M - rain.D",25.8489218238748,42926.3206995409,Inf,0.000602169517504239,1,"cont.M","rain.D",1
"26","ASV_38","cont.M - rain.K",0.00438847320931091,1.13977250919005,Inf,0.00385030624438334,1,"cont.M","rain.K",1
"27","ASV_38","cont.M - rain.M",-0.65792234343924,1.15119565332351,Inf,-0.571512185213531,0.99286465175073,"cont.M","rain.M",1
"28","ASV_38","rain.D - rain.K",-25.8445333506655,42926.320699365,Inf,-0.00060206728481735,1,"rain.D","rain.K",1
"29","ASV_38","rain.D - rain.M",-26.506844167314,42926.3206996698,Inf,-0.000617496299130009,1,"rain.D","rain.M",1
"30","ASV_38","rain.K - rain.M",-0.662310816648551,1.14461803381692,Inf,-0.578630422622266,0.99244274555944,"rain.K","rain.M",1
"31","ASV_8","cont.D - cont.K",0.00853074622287614,0.132092678125142,Inf,0.0645815221854634,0.999999843059092,"cont.D","cont.K",1
"32","ASV_8","cont.D - cont.M",0.525134337160126,0.137556094017371,Inf,3.81760140044256,0.00187300072505303,"cont.D","cont.M",0.0898574268735818
"33","ASV_8","cont.D - rain.D",0.000663596071024891,0.132317866491553,Inf,0.00501516604386342,0.999999999999688,"cont.D","rain.D",1
"34","ASV_8","cont.D - rain.K",0.251075088119915,0.134036486467781,Inf,1.87318464349829,0.418780354146961,"cont.D","rain.K",1
"35","ASV_8","cont.D - rain.M",0.511036257172615,0.137147946315757,Inf,3.72616776919176,0.00267353321226316,"cont.D","rain.M",0.111756383860096
"36","ASV_8","cont.K - cont.M",0.51660359093725,0.137439951525895,Inf,3.75875853564976,0.00235751088034875,"cont.K","cont.M",0.106087989615694
"37","ASV_8","cont.K - rain.D",-0.00786715015185125,0.132202111465244,Inf,-0.0595085060643646,0.999999895710194,"cont.K","rain.D",1
"38","ASV_8","cont.K - rain.K",0.242544341897038,0.133920585801623,Inf,1.81110574184854,0.458458486719939,"cont.K","rain.K",1
"39","ASV_8","cont.K - rain.M",0.502505510949739,0.137038597148039,Inf,3.66689036087326,0.00335082452077962,"cont.K","rain.M",0.133047444207426
"40","ASV_8","cont.M - rain.D",-0.524470741089101,0.137658071687335,Inf,-3.80995269409511,0.00193027065135842,"cont.M","rain.D",0.0898574268735818
"41","ASV_8","cont.M - rain.K",-0.274059249040211,0.139310312690755,Inf,-1.96725743950181,0.361291457836274,"cont.M","rain.K",1
"42","ASV_8","cont.M - rain.M",-0.0140980799875104,0.142307752792376,Inf,-0.0990675469949919,0.999998671104482,"cont.M","rain.M",1
"43","ASV_8","rain.D - rain.K",0.25041149204889,0.134107235713101,Inf,1.86724818178045,0.422521916339709,"rain.D","rain.K",1
"44","ASV_8","rain.D - rain.M",0.51037266110159,0.137176693032335,Inf,3.72054938648568,0.00273182271658012,"rain.D","rain.M",0.111756383860096
"45","ASV_8","rain.K - rain.M",0.259961169052701,0.138859542564277,Inf,1.87211598318759,0.419453001316384,"rain.K","rain.M",1
"46","ASV_62","cont.D - cont.K",0.431283778065989,2.13211871025165,Inf,0.202279439691744,0.999953644480944,"cont.D","cont.K",1
"47","ASV_62","cont.D - cont.M",1.36868862480141,2.28017616898814,Inf,0.600255648408422,0.991045602272794,"cont.D","cont.M",1
"48","ASV_62","cont.D - rain.D",-0.807937522741628,2.07185138463265,Inf,-0.38995920688823,0.99883908526211,"cont.D","rain.D",1
"49","ASV_62","cont.D - rain.K",2.66926939652201,2.26961758488282,Inf,1.1760877313875,0.848414565247489,"cont.D","rain.K",1
"50","ASV_62","cont.D - rain.M",-0.849943353344565,2.06731335106349,Inf,-0.411134264144005,0.998501779887061,"cont.D","rain.M",1
"51","ASV_62","cont.K - cont.M",0.937404846735419,2.29003335089875,Inf,0.409341133118224,0.998532983434777,"cont.K","cont.M",1
"52","ASV_62","cont.K - rain.D",-1.23922130080762,2.08512901966538,Inf,-0.594313967682674,0.99144726726996,"cont.K","rain.D",1
"53","ASV_62","cont.K - rain.K",2.23798561845602,2.27988297607658,Inf,0.981623022733973,0.923931936921963,"cont.K","rain.K",1
"54","ASV_62","cont.K - rain.M",-1.28122713141055,2.08067312553855,Inf,-0.615775306406635,0.989929991249933,"cont.K","rain.M",1
"55","ASV_62","cont.M - rain.D",-2.17662614754304,2.28151259217428,Inf,-0.954027672259619,0.932183572050079,"cont.M","rain.D",1
"56","ASV_62","cont.M - rain.K",1.3005807717206,2.36752019391199,Inf,0.549343053151145,0.994065687120336,"cont.M","rain.K",1
"57","ASV_62","cont.M - rain.M",-2.21863197814597,2.27981378657284,Inf,-0.973163681706283,0.926525958042814,"cont.M","rain.M",1
"58","ASV_62","rain.D - rain.K",3.47720691926364,2.25911606947871,Inf,1.53918913961158,0.638775143423176,"rain.D","rain.K",1
"59","ASV_62","rain.D - rain.M",-0.0420058306029373,1.98409351869484,Inf,-0.0211712957111866,0.999999999404589,"rain.D","rain.M",1
"60","ASV_62","rain.K - rain.M",-3.51921274986658,2.25677019628681,Inf,-1.55940235104883,0.625470833101273,"rain.K","rain.M",1
"61","ASV_58","cont.D - cont.K",2.24282546784544,2.37760439173285,Inf,0.94331314143091,0.935224828927634,"cont.D","cont.K",1
"62","ASV_58","cont.D - cont.M",0.00279151073875588,2.21648994366736,Inf,0.00125942856033765,1,"cont.D","cont.M",1
"63","ASV_58","cont.D - rain.D",-2.20528928721698,2.14899989200946,Inf,-1.02619329829509,0.909313915844651,"cont.D","rain.D",1
"64","ASV_58","cont.D - rain.K",2.72939922940302,2.36253149316965,Inf,1.15528586065161,0.857928138608125,"cont.D","rain.K",1
"65","ASV_58","cont.D - rain.M",0.0616349130219535,2.21677112325181,Inf,0.027803913708304,0.999999997674353,"cont.D","rain.M",1
"66","ASV_58","cont.K - cont.M",-2.24003395710669,2.37902607310037,Inf,-0.941576043421605,0.935709392951499,"cont.K","cont.M",1
"67","ASV_58","cont.K - rain.D",-4.44811475506242,2.40315222191931,Inf,-1.85095006237677,0.432854775377096,"cont.K","rain.D",1
"68","ASV_58","cont.K - rain.K",0.486573761557581,2.45461611324423,Inf,0.198228048342144,0.999958066735911,"cont.K","rain.K",1
"69","ASV_58","cont.K - rain.M",-2.18119055482349,2.37917710085236,Inf,-0.916783603054208,0.942369027481204,"cont.K","rain.M",1
"70","ASV_58","cont.M - rain.D",-2.20808079795574,2.1511718854489,Inf,-1.02645484207551,0.909223395653474,"cont.M","rain.D",1
"71","ASV_58","cont.M - rain.K",2.72660771866427,2.36400112430752,Inf,1.1533868112956,0.858780050466114,"cont.M","rain.K",1
"72","ASV_58","cont.M - rain.M",0.0588434022831976,2.21856136607041,Inf,0.0265232249975682,0.999999998162774,"cont.M","rain.M",1
"73","ASV_58","rain.D - rain.K",4.93468851662,2.37658642994302,Inf,2.0763766276063,0.299665755858435,"rain.D","rain.K",1
"74","ASV_58","rain.D - rain.M",2.26692420023893,2.15157973175854,Inf,1.05360920015087,0.899523350603095,"rain.D","rain.M",1
"75","ASV_58","rain.K - rain.M",-2.66776431638107,2.36416396746003,Inf,-1.12841763646674,0.869719438718656,"rain.K","rain.M",1
"76","ASV_21","cont.D - cont.K",2.09287877764537,1.25733252955245,Inf,1.66453879817325,0.555420635103256,"cont.D","cont.K",1
"77","ASV_21","cont.D - cont.M",2.81231244383292,1.31039592627057,Inf,2.14615475174504,0.263562040655169,"cont.D","cont.M",1
"78","ASV_21","cont.D - rain.D",-0.216116617817903,1.22073327921354,Inf,-0.177038360056128,0.99997606773015,"cont.D","rain.D",1
"79","ASV_21","cont.D - rain.K",2.33335069991394,1.2598822776147,Inf,1.85203867168575,0.432161912963692,"cont.D","rain.K",1
"80","ASV_21","cont.D - rain.M",2.38111286971956,1.26861680670829,Inf,1.87693624830487,0.416422130758065,"cont.D","rain.M",1
"81","ASV_21","cont.K - cont.M",0.719433666187546,1.32623328901739,Inf,0.542463887873433,0.99440524489336,"cont.K","cont.M",1
"82","ASV_21","cont.K - rain.D",-2.30899539546328,1.25688860713994,Inf,-1.83707242021821,0.441719782177159,"cont.K","rain.D",1
"83","ASV_21","cont.K - rain.K",0.240471922268566,1.28621056946448,Inf,0.18696155044713,0.999968628230314,"cont.K","rain.K",1
"84","ASV_21","cont.K - rain.M",0.288234092074185,1.29316876857925,Inf,0.222889772068077,0.999925064807334,"cont.K","rain.M",1
"85","ASV_21","cont.M - rain.D",-3.02842906165082,1.31004203459622,Inf,-2.31170373291438,0.189172012276436,"cont.M","rain.D",1
"86","ASV_21","cont.M - rain.K",-0.47896174391898,1.32868015756236,Inf,-0.360479338231179,0.999206783493674,"cont.M","rain.K",1
"87","ASV_21","cont.M - rain.M",-0.431199574113361,1.33367205166838,Inf,-0.32331754539952,0.999533106985738,"cont.M","rain.M",1
"88","ASV_21","rain.D - rain.K",2.54946731773184,1.25943939132174,Inf,2.02428742129168,0.328337586267491,"rain.D","rain.K",1
"89","ASV_21","rain.D - rain.M",2.59722948753746,1.26818945849843,Inf,2.04798223966681,0.315119317272138,"rain.D","rain.M",1
