,S1_con,S2_rain,S9_con,S10_rain,S15_con,S16_rain,S23_con,S24_rain,,,c,r
ASV_38,2,192,82,85,128,219,10,0,,,125,47
ASV_8,76,105,62,87,81,48,73,70,,,10,16
ASV_62,68,8,0,5,0,0,0,19,,,0,0
ASV_21,113,39,0,2,0,0,17,60,,,72,196
ASV_13,51,72,34,34,22,14,177,144,,,,
ASV_4,109,181,63,100,106,59,371,232,,,,
ASV_43,0,28,16,20,20,23,43,24,,,,
ASV_2,133,202,255,284,297,286,403,237,,,,
ASV_6,220,219,179,165,162,136,211,134,,,,
ASV_39,17,26,15,19,14,15,23,28,,,,
ASV_34,3,22,42,50,17,18,7,3,,,,
ASV_7,0,5,523,285,170,304,44,14,,,,
ASV_57,0,0,7,21,10,18,29,10,,,,
ASV_49,0,12,29,18,21,2,6,22,,,,
ASV_20,0,12,83,88,64,64,97,46,,,,
ASV_15,18,77,70,55,83,68,90,47,,,,
ASV_18,47,82,7,0,7,3,85,119,,,,
ASV_10,3,43,366,372,111,256,31,4,,,,
ASV_51,18,16,2,0,5,0,20,27,,,,
ASV_47,17,10,0,0,14,0,5,28,,,,
ASV_11,125,47,10,16,0,0,72,196,,,,
ASV_22,55,32,0,5,0,2,18,61,,,,
ASV_160,0,1,3,0,3,3,2,0,,,,
ASV_29,112,22,0,0,0,2,0,42,,,,
ASV_154,0,3,0,10,0,0,0,7,,,,
ASV_17,38,74,38,40,29,14,33,26,,,,
ASV_23,12,18,30,44,21,22,97,59,,,,
ASV_68,0,8,0,17,0,0,31,24,,,,
ASV_121,0,5,19,10,2,5,3,0,,,,
ASV_3,30,109,179,252,214,186,65,13,,,,
ASV_26,0,33,84,60,51,64,39,11,,,,
ASV_50,0,0,19,14,36,32,18,0,,,,
ASV_125,0,3,1,1,1,4,0,0,,,,
ASV_1,108,564,789,865,1091,1091,427,73,,,,
ASV_16,17,63,121,87,147,174,51,0,,,,
ASV_5,33,126,205,223,291,268,145,24,,,,
ASV_9,83,125,71,85,17,22,85,70,,,,
ASV_27,37,54,20,42,13,9,16,13,,,,
ASV_28,34,40,22,27,12,4,51,66,,,,
ASV_25,0,30,18,18,14,6,200,136,,,,
ASV_48,11,2,17,13,8,0,24,36,,,,
ASV_64,0,4,4,0,1,0,21,22,,,,
ASV_84,0,3,5,5,7,0,9,13,,,,
ASV_12,113,208,47,33,14,8,103,150,,,,
ASV_89,2,5,5,0,3,8,3,5,,,,
ASV_31,5,12,11,7,10,10,54,125,,,,
