OTU,contrast,estimate,SE,df,z.ratio,p.value,a,b,p.adjust
ASV_11,1a - Rainout,-0.062919998,0.003994652,Inf,-15.75105852,6.75E-56,1a,Rainout,3.11E-54
ASV_125,1a - Rainout,-1.343163654,0.790569329,Inf,-1.698982751,0.089322434,1a,Rainout,0.963666644
ASV_160,1a - Rainout,0.736277884,0.612372466,Inf,1.20233669,0.229233107,1a,Rainout,0.963666644
ASV_68,1a - Rainout,-3.121804741,2.612881056,Inf,-1.194774915,0.232174984,1a,Rainout,0.963666644
ASV_6,1a - Rainout,0.250448049,0.229795523,Inf,1.08987349,0.275768876,1a,Rainout,0.963666644
ASV_48,1a - Rainout,0.923690507,0.855790058,Inf,1.079342414,0.280435112,1a,Rainout,0.963666644
ASV_43,1a - Rainout,-0.450751008,0.446763187,Inf,-1.008926027,0.313010112,1a,Rainout,0.963666644
ASV_29,1a - Rainout,-3.963968711,3.944916308,Inf,-1.004829609,0.314978904,1a,Rainout,0.963666644
ASV_62,1a - Rainout,-3.123452029,3.495487981,Inf,-0.893566805,0.371553714,1a,Rainout,0.963666644
ASV_50,1a - Rainout,1.298710596,1.49079817,Inf,0.871151187,0.383671608,1a,Rainout,0.963666644
ASV_22,1a - Rainout,-1.424807284,1.802133178,Inf,-0.790622637,0.429164233,1a,Rainout,0.963666644
ASV_51,1a - Rainout,1.10679163,1.434501908,Inf,0.771551173,0.440380303,1a,Rainout,0.963666644
ASV_2,1a - Rainout,0.088824002,0.120267757,Inf,0.738552082,0.46017903,1a,Rainout,0.963666644
ASV_16,1a - Rainout,0.700321573,0.976521612,Inf,0.717159317,0.473275798,1a,Rainout,0.963666644
ASV_39,1a - Rainout,-0.182578294,0.261796699,Inf,-0.697404874,0.485549452,1a,Rainout,0.963666644
ASV_89,1a - Rainout,-0.282544131,0.405504697,Inf,-0.696771539,0.48594578,1a,Rainout,0.963666644
ASV_34,1a - Rainout,-0.299659703,0.562689213,Inf,-0.532549222,0.59434566,1a,Rainout,0.963666644
ASV_47,1a - Rainout,0.914394465,1.765543297,Inf,0.517911097,0.604520299,1a,Rainout,0.963666644
ASV_25,1a - Rainout,-0.579720432,1.153743187,Inf,-0.502469214,0.615337503,1a,Rainout,0.963666644
ASV_18,1a - Rainout,0.714009604,1.447571868,Inf,0.493246394,0.6218385,1a,Rainout,0.963666644
ASV_26,1a - Rainout,-0.313586232,0.703618671,Inf,-0.445676394,0.655831019,1a,Rainout,0.963666644
ASV_38,1a - Rainout,-0.543936118,1.385641066,Inf,-0.392551961,0.694650426,1a,Rainout,0.963666644
ASV_5,1a - Rainout,0.173631526,0.478186925,Inf,0.363103877,0.716527288,1a,Rainout,0.963666644
ASV_31,1a - Rainout,-0.271375702,0.777606591,Inf,-0.348988428,0.727097997,1a,Rainout,0.963666644
ASV_21,1a - Rainout,-0.870037691,2.565419071,Inf,-0.339140572,0.734503836,1a,Rainout,0.963666644
ASV_20,1a - Rainout,-0.280517745,0.839690561,Inf,-0.334072762,0.738324654,1a,Rainout,0.963666644
ASV_49,1a - Rainout,-0.216943656,0.737308364,Inf,-0.294237347,0.768576545,1a,Rainout,0.963666644
ASV_10,1a - Rainout,-0.296155424,1.109000113,Inf,-0.267047245,0.789432786,1a,Rainout,0.963666644
ASV_17,1a - Rainout,0.094998415,0.366665838,Inf,0.259087173,0.795567981,1a,Rainout,0.963666644
ASV_64,1a - Rainout,0.35856077,1.592676427,Inf,0.225130958,0.821877398,1a,Rainout,0.963666644
ASV_15,1a - Rainout,0.039571411,0.17840571,Inf,0.221805743,0.824465108,1a,Rainout,0.963666644
ASV_13,1a - Rainout,0.139457739,0.658208629,Inf,0.211874674,0.83220481,1a,Rainout,0.963666644
ASV_4,1a - Rainout,0.092564976,0.483600286,Inf,0.191408025,0.848205933,1a,Rainout,0.963666644
ASV_28,1a - Rainout,0.119326009,0.646445935,Inf,0.184587763,0.853552385,1a,Rainout,0.963666644
ASV_27,1a - Rainout,-0.093115339,0.509171749,Inf,-0.182876091,0.854895243,1a,Rainout,0.963666644
ASV_57,1a - Rainout,-0.149901724,0.849416545,Inf,-0.176476106,0.859919919,1a,Rainout,0.963666644
ASV_9,1a - Rainout,-0.086612548,0.533447705,Inf,-0.162363709,0.871019448,1a,Rainout,0.963666644
ASV_8,1a - Rainout,0.038424151,0.243055235,Inf,0.158088144,0.874387343,1a,Rainout,0.963666644
ASV_84,1a - Rainout,0.102011832,0.707101797,Inf,0.144267533,0.885289215,1a,Rainout,0.963666644
ASV_121,1a - Rainout,-0.106034089,0.773388613,Inf,-0.137103245,0.890949187,1a,Rainout,0.963666644
ASV_1,1a - Rainout,0.072373049,0.554460586,Inf,0.130528753,0.896148107,1a,Rainout,0.963666644
ASV_7,1a - Rainout,-0.192426439,1.491574146,Inf,-0.129008966,0.897350554,1a,Rainout,0.963666644
ASV_3,1a - Rainout,0.070412519,0.564985883,Inf,0.124627041,0.900818819,1a,Rainout,0.963666644
ASV_12,1a - Rainout,0.034365916,0.871100252,Inf,0.039451161,0.968530691,1a,Rainout,0.998730372
ASV_23,1a - Rainout,-0.004185849,0.433691823,Inf,-0.009651666,0.992299204,1a,Rainout,0.998730372
ASV_154,1a - Rainout,-21.67841444,13623.57091,Inf,-0.001591243,0.998730372,1a,Rainout,0.998730372
