,S1_con,S2_rain,S9_con,S10_rain,S15_con,S16_rain,S23_con,S24_rain,,,c,r
ASV_38,5,540,142,167,319,720,21,0,,,0,12
ASV_8,116,328,123,173,199,130,181,151,,,28,25
ASV_62,113,29,0,6,0,0,0,36,,,13,15
ASV_21,205,141,0,7,0,0,46,150,,,4,0
ASV_13,82,277,68,75,59,59,448,337,,,,
ASV_4,171,582,143,228,277,211,860,545,,,,
ASV_43,0,87,34,45,49,60,88,57,,,,
ASV_2,228,655,440,590,737,914,935,485,,,,
ASV_6,349,653,348,359,449,468,518,303,,,,
ASV_39,25,77,25,30,39,54,85,47,,,,
ASV_34,5,53,78,108,42,56,21,9,,,,
ASV_7,0,13,963,624,456,963,114,37,,,,
ASV_57,0,0,21,41,24,64,79,27,,,,
ASV_49,0,47,52,47,54,9,15,51,,,,
ASV_20,0,59,149,177,183,219,238,104,,,,
ASV_15,31,260,119,121,218,253,255,103,,,,
ASV_18,83,228,11,0,27,7,198,260,,,,
ASV_10,11,155,727,777,324,868,62,13,,,,
ASV_51,31,41,3,0,10,0,60,76,,,,
ASV_47,33,30,0,0,28,0,9,67,,,,
ASV_11,193,167,21,35,0,0,176,447,,,,
ASV_22,106,95,0,12,0,10,43,143,,,,
ASV_160,0,5,4,0,7,5,5,0,,,,
ASV_29,169,61,0,0,0,6,0,97,,,,
ASV_133,2,1,10,1,8,0,0,0,,,,
ASV_154,0,4,0,14,0,0,0,17,,,,
ASV_17,63,208,68,90,62,51,74,71,,,,
ASV_23,18,52,54,91,56,65,269,131,,,,
ASV_68,0,24,0,30,0,0,75,48,,,,
ASV_121,0,12,28,25,13,15,4,0,,,,
ASV_3,46,339,335,505,579,674,161,27,,,,
ASV_26,0,86,170,142,144,219,97,27,,,,
ASV_50,0,0,33,43,95,128,41,0,,,,
ASV_125,0,11,4,2,5,12,1,0,,,,
ASV_1,179,1652,1493,1817,3003,3732,1079,190,,,,
ASV_16,27,183,241,169,406,624,121,0,,,,
ASV_5,55,389,343,492,748,947,347,46,,,,
ASV_9,143,343,128,184,55,68,193,170,,,,
ASV_27,61,179,37,87,29,25,42,23,,,,
ASV_28,56,155,33,54,37,21,99,146,,,,
ASV_25,0,74,35,32,45,22,455,285,,,,
ASV_48,21,12,26,31,20,0,52,84,,,,
ASV_83,0,8,3,1,5,0,13,60,,,,
ASV_64,0,18,6,0,7,0,38,55,,,,
ASV_84,0,7,9,9,10,0,20,30,,,,
ASV_12,180,617,80,77,34,34,224,340,,,,
ASV_89,4,19,9,0,12,20,4,10,,,,
ASV_31,10,33,20,10,23,37,135,271,,,,
