OTU,contrast,estimate,SE,df,z.ratio,p.value,a,b,p.adjust
ASV_84,1a - Rainout,0.163496847,0.005125174,Inf,31.90074096,2.61E-223,1a,Rainout,1.25E-221
ASV_57,1a - Rainout,0.064135271,0.004713615,Inf,13.60638715,3.67E-42,1a,Rainout,8.81E-41
ASV_11,1a - Rainout,-0.049116355,0.003753174,Inf,-13.08661951,3.93E-39,1a,Rainout,6.28E-38
ASV_121,1a - Rainout,-0.057142796,0.005472114,Inf,-10.44254463,1.59E-25,1a,Rainout,1.90E-24
ASV_133,1a - Rainout,2.528554419,0.949152598,Inf,2.664012534,0.007721469,1a,Rainout,0.074126098
ASV_160,1a - Rainout,0.72125903,0.403112912,Inf,1.789223339,0.073578854,1a,Rainout,0.588630836
ASV_6,1a - Rainout,0.259458988,0.210290881,Inf,1.233809981,0.217273719,1a,Rainout,0.996859147
ASV_68,1a - Rainout,-4.076777261,3.35166252,Inf,-1.216344795,0.223853604,1a,Rainout,0.996859147
ASV_29,1a - Rainout,-5.076243328,4.205120947,Inf,-1.207157509,0.227371491,1a,Rainout,0.996859147
ASV_43,1a - Rainout,-0.583007503,0.519167032,Inf,-1.122967111,0.261451463,1a,Rainout,0.996859147
ASV_62,1a - Rainout,-4.306844658,4.074487756,Inf,-1.057027267,0.290499143,1a,Rainout,0.996859147
ASV_22,1a - Rainout,-1.984817916,1.987915804,Inf,-0.99844164,0.31806525,1a,Rainout,0.996859147
ASV_48,1a - Rainout,0.994290024,1.011185445,Inf,0.983291471,0.325464007,1a,Rainout,0.996859147
ASV_51,1a - Rainout,1.729578413,1.817859219,Inf,0.95143694,0.341382616,1a,Rainout,0.996859147
ASV_125,1a - Rainout,-0.567285125,0.601951408,Inf,-0.942410164,0.345982685,1a,Rainout,0.996859147
ASV_16,1a - Rainout,0.99564554,1.195950613,Inf,0.832513926,0.405118921,1a,Rainout,0.996859147
ASV_50,1a - Rainout,1.625658169,2.051482059,Inf,0.792431092,0.428109356,1a,Rainout,0.996859147
ASV_2,1a - Rainout,0.079907093,0.108430788,Inf,0.736940996,0.461158232,1a,Rainout,0.996859147
ASV_18,1a - Rainout,1.102882478,1.556904099,Inf,0.708381768,0.478708212,1a,Rainout,0.996859147
ASV_49,1a - Rainout,-0.468864492,0.792077369,Inf,-0.591942796,0.553888895,1a,Rainout,0.996859147
ASV_47,1a - Rainout,1.27935074,2.251189888,Inf,0.56829979,0.569831422,1a,Rainout,0.996859147
ASV_20,1a - Rainout,-0.49744724,0.903837148,Inf,-0.550372643,0.582063808,1a,Rainout,0.996859147
ASV_26,1a - Rainout,-0.442506227,0.847186651,Inf,-0.522324362,0.60144451,1a,Rainout,0.996859147
ASV_25,1a - Rainout,-0.534885552,1.183579955,Inf,-0.451921773,0.651325338,1a,Rainout,0.996859147
ASV_21,1a - Rainout,-1.358334608,3.048918649,Inf,-0.445513562,0.655948661,1a,Rainout,0.996859147
ASV_34,1a - Rainout,-0.223193405,0.521923574,Inf,-0.427636182,0.668916019,1a,Rainout,0.996859147
ASV_64,1a - Rainout,0.743624901,1.839246939,Inf,0.40430944,0.685985184,1a,Rainout,0.996859147
ASV_8,1a - Rainout,0.101665362,0.265135323,Inf,0.383447067,0.701388311,1a,Rainout,0.996859147
ASV_5,1a - Rainout,0.161127258,0.513793105,Inf,0.313603388,0.753822286,1a,Rainout,0.996859147
ASV_89,1a - Rainout,-0.122825707,0.48858957,Inf,-0.251388312,0.801513903,1a,Rainout,0.996859147
ASV_10,1a - Rainout,-0.238126939,0.992196773,Inf,-0.239999711,0.81033048,1a,Rainout,0.996859147
ASV_7,1a - Rainout,-0.297239184,1.580136166,Inf,-0.188109855,0.850790536,1a,Rainout,0.996859147
ASV_38,1a - Rainout,-0.263815604,1.49236554,Inf,-0.1767768,0.859683713,1a,Rainout,0.996859147
ASV_31,1a - Rainout,-0.138326817,0.788776243,Inf,-0.175368893,0.860789781,1a,Rainout,0.996859147
ASV_3,1a - Rainout,0.093460843,0.595741125,Inf,0.156881637,0.875338132,1a,Rainout,0.996859147
ASV_39,1a - Rainout,0.042496915,0.281945016,Inf,0.150727669,0.880190546,1a,Rainout,0.996859147
ASV_1,1a - Rainout,0.075584616,0.533989452,Inf,0.141547021,0.887437816,1a,Rainout,0.996859147
ASV_4,1a - Rainout,0.060461472,0.451596907,Inf,0.133883716,0.893494527,1a,Rainout,0.996859147
ASV_12,1a - Rainout,-0.105170834,0.840144156,Inf,-0.12518189,0.900379554,1a,Rainout,0.996859147
ASV_23,1a - Rainout,0.058254608,0.466399801,Inf,0.12490273,0.900600557,1a,Rainout,0.996859147
ASV_83,1a - Rainout,-0.151385311,1.371612349,Inf,-0.110370333,0.91211568,1a,Rainout,0.996859147
ASV_28,1a - Rainout,-0.049112035,0.60371909,Inf,-0.081349151,0.935164287,1a,Rainout,0.996859147
ASV_15,1a - Rainout,-0.014111645,0.214031693,Inf,-0.065932503,0.947431563,1a,Rainout,0.996859147
ASV_13,1a - Rainout,0.041103036,0.642884364,Inf,0.063935349,0.949021705,1a,Rainout,0.996859147
ASV_9,1a - Rainout,-0.030339865,0.524943165,Inf,-0.057796477,0.953910745,1a,Rainout,0.996859147
ASV_17,1a - Rainout,-0.020713276,0.369726954,Inf,-0.05602317,0.955323349,1a,Rainout,0.996859147
ASV_27,1a - Rainout,-0.008806345,0.565071957,Inf,-0.015584466,0.987565898,1a,Rainout,0.999351892
ASV_154,1a - Rainout,-23.2104746,28574.36686,Inf,-0.000812283,0.999351892,1a,Rainout,0.999351892
