"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24"
"ASV_470",0,0,6,2,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
"ASV_73",32,0,75,10,8,0,18,0,12,0,66,19,0,0,0,0,0,0,0,0,16,0,0
"ASV_44",96,27,49,49,34,16,46,34,0,0,63,8,22,0,3,3,1,27,4,10,0,0,0
"ASV_1",165,315,364,204,89,299,432,264,57,33,131,224,387,28,144,161,151,237,308,269,217,53,160
"ASV_47",0,0,35,0,19,53,0,4,0,6,0,0,0,11,9,4,0,3,1,0,0,9,4
"ASV_62",0,0,0,0,54,1,0,4,0,70,0,7,0,0,2,43,27,1,0,0,0,0,0
"ASV_27",0,34,0,0,15,21,0,17,26,33,0,0,0,11,8,40,38,12,3,0,0,4,0
"ASV_103",0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,16,0
"ASV_69",26,0,0,0,7,0,0,0,0,9,0,0,0,40,2,27,9,0,1,0,0,14,21
"ASV_90",33,55,0,0,0,0,0,0,0,1,0,0,4,5,1,2,0,0,4,0,0,9,18
"ASV_58",0,0,0,0,0,20,0,0,0,16,0,0,0,0,2,3,11,0,1,0,0,50,13
"ASV_17",3,0,0,0,0,0,0,16,39,24,0,24,0,0,41,21,58,7,2,0,0,26,6
"ASV_8",0,0,0,0,31,63,0,29,44,30,0,0,0,10,25,17,11,20,18,14,0,160,21
"ASV_12",34,0,0,0,72,63,39,22,69,175,0,13,0,19,18,26,28,23,18,32,0,36,10
"ASV_57",2,10,0,0,17,1,0,1,6,24,0,0,7,4,2,8,3,0,2,0,0,20,11
"ASV_85",0,0,0,0,7,0,0,11,17,0,0,0,0,9,2,19,11,0,0,0,0,5,0
"ASV_3",0,72,0,15,24,81,0,71,22,48,0,0,14,52,41,42,32,31,45,22,0,135,20
"ASV_33",12,0,0,0,0,0,0,0,1,7,0,0,0,0,10,16,16,1,5,0,0,12,2
"ASV_56",0,0,0,0,17,0,0,0,20,14,0,0,0,0,8,0,14,16,0,18,0,69,10
"ASV_20",0,0,0,0,103,0,0,31,0,25,0,0,0,3,37,7,0,44,27,0,0,19,1
"ASV_65",0,0,0,0,50,26,0,6,43,42,31,0,0,0,12,9,14,0,0,0,0,7,0
"ASV_35",1,50,0,0,13,81,0,16,9,21,0,0,0,1,23,16,40,8,3,2,0,6,0
"ASV_7",0,0,0,0,103,0,0,96,91,72,0,8,0,18,54,37,87,45,24,0,0,36,7
"ASV_51",0,0,0,0,0,0,0,15,116,20,0,17,0,7,23,19,0,0,2,0,0,9,82
"ASV_13",0,0,0,0,0,0,0,12,4,0,0,3,0,5,36,25,0,31,12,0,0,51,0
"ASV_76",50,0,0,0,12,0,0,0,0,21,0,0,0,0,10,12,0,0,2,0,0,9,3
"ASV_32",0,0,0,0,3,0,0,1,15,14,0,0,0,10,20,6,14,0,5,0,0,11,0
"ASV_43",25,0,0,0,10,0,0,0,0,25,0,0,0,0,2,11,23,0,1,1,0,27,15
"ASV_61",0,0,0,0,9,13,0,11,41,19,24,0,0,2,9,5,0,0,9,23,0,12,11
"ASV_78",0,0,0,0,13,0,0,5,13,13,0,0,0,5,6,22,42,0,0,0,0,1,3
"ASV_82",13,0,0,0,8,0,0,9,24,8,0,0,0,14,5,9,4,0,0,0,0,0,0
"ASV_134",0,0,0,0,3,0,0,1,3,5,0,0,0,13,5,2,8,0,0,0,0,1,0
"ASV_26",0,0,0,0,22,0,0,12,32,15,0,0,0,25,26,37,21,0,12,0,0,0,0
"ASV_66",0,0,0,0,5,0,0,1,22,23,0,2,0,0,0,2,53,0,7,0,0,7,0
"ASV_59",0,0,0,0,81,0,0,32,16,0,0,0,0,22,11,7,6,0,10,0,0,0,0
"ASV_37",22,0,0,0,0,0,37,0,0,5,0,0,0,0,10,11,0,0,0,0,0,46,18
"ASV_2",160,127,106,134,76,157,210,126,177,67,125,143,65,47,49,58,127,64,56,148,162,39,73
"ASV_30",17,0,30,3,0,0,22,10,0,0,35,8,4,0,0,0,0,7,0,0,37,0,2
"ASV_5",33,0,0,54,0,0,0,0,0,0,83,61,124,0,0,0,0,30,10,16,0,0,24
"ASV_4",27,64,157,0,24,0,35,6,0,0,113,63,48,0,0,0,0,34,64,41,14,11,13
"ASV_9",0,19,0,51,7,0,22,10,0,12,40,38,29,0,3,0,2,20,17,64,48,27,59
"ASV_29",0,0,83,17,0,0,0,0,0,0,21,16,23,0,0,0,0,0,12,0,24,0,15
"ASV_16",30,0,0,21,0,16,0,15,0,0,26,49,57,0,0,0,0,8,5,75,55,12,35
"ASV_18",54,1,0,38,0,0,0,0,0,3,10,32,19,0,0,0,19,11,9,40,45,0,38
"ASV_11",25,0,65,23,5,0,0,11,0,0,22,26,51,0,0,0,0,28,18,15,77,0,8
"ASV_14",18,25,0,0,0,0,0,0,55,0,0,31,66,0,0,0,0,17,16,47,0,20,26
"ASV_39",11,0,63,36,0,0,0,0,0,0,29,9,41,0,0,0,0,0,4,12,0,0,1
"ASV_70",0,0,0,0,0,0,0,0,0,0,30,9,26,0,0,0,0,0,1,0,27,0,7
"ASV_49",14,15,0,3,0,0,8,20,0,0,0,22,1,0,0,0,0,0,5,3,30,0,18
"ASV_117",2,1,0,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,13,0,11
"ASV_38",9,0,38,11,0,0,0,0,0,0,138,29,7,0,0,0,0,0,0,0,0,0,12
"ASV_40",0,0,19,9,18,0,43,13,16,13,0,0,0,4,6,8,11,9,5,0,8,14,16
"ASV_87",0,0,0,7,0,20,0,11,0,0,0,0,1,0,21,1,5,0,2,3,0,0,0
"ASV_21",0,0,0,42,0,18,0,12,0,0,0,0,29,0,0,21,53,54,25,16,0,0,0
"ASV_23",0,0,0,52,0,18,0,11,0,0,0,0,36,0,2,25,14,44,15,20,0,0,0
"ASV_64",0,0,0,0,0,13,0,8,0,0,0,0,12,0,0,11,9,3,5,5,0,0,0
"ASV_77",0,0,0,0,0,0,0,22,0,0,0,0,14,0,20,1,50,4,2,0,0,0,0
"ASV_10",0,0,0,39,0,0,0,17,0,0,0,0,43,0,64,48,21,18,7,19,0,0,0
"ASV_52",0,0,0,18,0,76,0,19,0,0,0,0,15,0,39,22,6,6,4,5,0,0,0
"ASV_88",0,0,0,11,0,13,0,21,0,0,0,0,6,0,3,10,19,9,0,0,0,0,0
"ASV_211",0,0,20,0,0,0,0,0,0,0,35,12,0,0,0,1,0,0,0,1,0,0,0
"ASV_6",0,47,57,42,0,0,0,0,0,0,43,26,37,0,0,11,0,21,0,149,85,20,113
"ASV_156",0,0,0,4,0,13,0,3,0,0,0,0,12,0,0,0,0,6,1,0,0,0,0
