"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_470","cont.D - cont.K",21.4772470557328,2132.11691856577,Inf,0.0100732032416778,0.99999999998549,"cont.D","cont.K",1
"2","ASV_470","cont.D - cont.M",20.8399401852355,1478.1937357963,Inf,0.0140982468539613,0.999999999922023,"cont.D","cont.M",1
"3","ASV_470","cont.D - rain.D",-0.390048833909577,1.15435311244235,Inf,-0.337893864282413,0.999421018373061,"cont.D","rain.D",1
"4","ASV_470","cont.D - rain.K",21.7963763502386,2161.36559821863,Inf,0.0100845393154231,0.999999999985408,"cont.D","rain.K",1
"5","ASV_470","cont.D - rain.M",20.4197405491326,1206.94009102556,Inf,0.0169186032521146,0.999999999805937,"cont.D","rain.M",1
"6","ASV_470","cont.K - cont.M",-0.63730687049739,2661.31507936437,Inf,-0.000239470656984217,1,"cont.K","cont.M",1
"7","ASV_470","cont.K - rain.D",-21.8672958896424,2132.11700173261,Inf,-0.0102561425437124,0.999999999984124,"cont.K","rain.D",1
"8","ASV_470","cont.K - rain.K",0.319129294505771,3380.47289099122,Inf,9.44037431438169e-05,1,"cont.K","rain.K",1
"9","ASV_470","cont.K - rain.M",-1.05750650660022,2323.75831773122,Inf,-0.000455084549254119,1,"cont.K","rain.M",1
"10","ASV_470","cont.M - rain.D",-21.229989019145,1478.19446459368,Inf,-0.0143621083204236,0.999999999914448,"cont.M","rain.D",1
"11","ASV_470","cont.M - rain.K",0.956436165003161,2398.22249401403,Inf,0.000398810438727194,1,"cont.M","rain.K",1
"12","ASV_470","cont.M - rain.M",-0.420199636102829,1985.73618853135,Inf,-0.000211608993445201,1,"cont.M","rain.M",1
"13","ASV_470","rain.D - rain.K",22.1864251841482,2161.36638275452,Inf,0.0102649996600174,0.999999999984055,"rain.D","rain.K",1
"14","ASV_470","rain.D - rain.M",20.8097893830422,1206.94065199002,Inf,0.017241766899417,0.999999999786683,"rain.D","rain.M",1
"15","ASV_470","rain.K - rain.M",-1.37663580110599,2371.89665833013,Inf,-0.000580394510979737,1,"rain.K","rain.M",1
"16","ASV_73","cont.D - cont.K",1.63721324106373,1.94063250445631,Inf,0.843649293363974,0.959306575999734,"cont.D","cont.K",1
