"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120"
"ASV_470",0,0,6,2,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_73",32,0,75,10,8,0,18,0,12,0,66,19,0,0,0,0,0,0,0,0,16,0,0,4,0,5,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,7,0,8,6,0,0,6,0,0,28,0,0,0,0,3,0,6,2,4,0,0,0,0,0,0,5,0,7,0,1,0,0,5,0,0,0,0,1,0,0,6,7,25,0,0,0,0,0,0,4,13,17,0,3,10,0,6,16,0,0,5,8,3,0,11,9,19,4,0,0,0,0,0,0,3,19,0,0
"ASV_44",96,27,49,49,34,16,46,34,0,0,63,8,22,0,3,3,1,27,4,10,0,0,0,18,8,26,29,12,12,15,6,6,1,36,4,24,10,0,0,2,11,12,4,12,0,0,0,8,0,5,0,2,4,9,0,6,3,8,6,8,3,4,7,2,10,3,0,10,0,0,0,2,0,4,3,2,19,12,0,0,0,18,0,19,30,0,5,7,0,3,0,4,0,4,0,8,14,23,17,12,8,6,7,0,2,15,13,12,7,0,0,0,1,4,5,0,2,0,0
"ASV_549",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV_112",0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,12,9,0,0,0,0,0,0,6,0,87,0,0,0,0,0,0,0,0,20,0,0,0,0,0,7,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_54",0,0,0,18,0,0,9,0,0,0,0,0,0,0,0,0,0,22,3,0,6,0,0,0,0,29,19,3,3,0,7,0,0,0,33,17,0,0,0,2,2,4,3,10,0,0,0,3,0,25,0,9,0,8,2,0,6,6,20,16,13,0,3,10,0,7,4,13,7,0,0,0,0,11,0,0,6,8,0,0,0,12,31,21,0,0,0,0,2,0,0,0,0,0,0,7,0,40,0,0,0,0,0,0,0,15,30,0,12,0,0,0,0,0,5,0,6,0,0
"ASV_94",10,0,0,0,0,18,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,9,8,0,0,0,0,7,0,1,0,1,6,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,4,6,2,19,0,0,1,0,0,7,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,5,0,8,0,0,2,0,6,12,14,0,0,6,0,0,0,0,11,0,0,0,0,0,0,3,0,4,0,0,0
"ASV_1",165,315,364,204,89,299,432,264,57,33,131,224,387,28,144,161,151,237,308,269,217,53,160,212,195,319,337,262,192,353,225,55,321,252,209,269,339,42,24,160,436,239,163,271,258,86,193,209,162,219,387,288,196,272,142,279,180,236,213,284,290,78,174,179,240,204,193,256,249,88,148,146,300,225,264,217,308,250,223,36,186,305,206,231,329,64,89,314,261,195,318,241,232,88,197,156,209,278,233,154,241,229,218,52,116,362,206,272,336,34,58,321,195,218,230,160,196,79,105
"ASV_47",0,0,35,0,19,53,0,4,0,6,0,0,0,11,9,4,0,3,1,0,0,9,4,12,15,0,0,2,6,1,3,10,13,0,0,0,0,4,13,10,1,3,9,0,0,38,3,8,0,0,0,0,0,2,6,1,7,0,5,0,12,5,0,5,6,2,3,0,0,10,11,2,7,0,0,9,6,1,0,12,8,0,0,4,0,0,4,0,4,3,0,0,0,10,3,0,0,0,0,1,0,0,9,7,5,0,0,0,0,9,4,5,5,18,2,0,0,14,1
"ASV_199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0
