"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_470","cont.D - cont.K",20.4419925827122,15285.212362969,Inf,0.00133737053154959,1,"cont.D","cont.K",1
"2","ASV_470","cont.D - cont.M",20.0462820506515,13258.6668981403,Inf,0.00151193798024018,1,"cont.D","cont.M",1
"3","ASV_470","cont.D - rain.D",-0.390063068622038,1.11363278596042,Inf,-0.350261839934642,0.999310251521506,"cont.D","rain.D",1
"4","ASV_470","cont.D - rain.K",21.0221195235787,19508.9876993132,Inf,0.0010775607554624,1,"cont.D","rain.K",1
"5","ASV_470","cont.D - rain.M",19.473972717093,9630.72860929636,Inf,0.00202206639882835,1,"cont.D","rain.M",1
"6","ASV_470","cont.K - cont.M",-0.395710532060676,20234.3757842781,Inf,-1.95563498612168e-05,1,"cont.K","cont.M",1
"7","ASV_470","cont.K - rain.D",-20.8320556513342,15285.2123538968,Inf,-0.00136288951497774,1,"cont.K","rain.D",1
"8","ASV_470","cont.K - rain.K",0.580126940866492,24783.8317561167,Inf,2.34074757517395e-05,1,"cont.K","rain.K",1
"9","ASV_470","cont.K - rain.M",-0.968019865619148,18066.2295183433,Inf,-5.3581731851479e-05,1,"cont.K","rain.M",1
"10","ASV_470","cont.M - rain.D",-20.4363451192735,13258.6668876814,Inf,-0.00154135746017278,1,"cont.M","rain.D",1
"11","ASV_470","cont.M - rain.K",0.975837472927168,23587.9809956316,Inf,4.13701144285257e-05,1,"cont.M","rain.K",1
"12","ASV_470","cont.M - rain.M",-0.572309333558472,16387.2871441322,Inf,-3.4923982751068e-05,1,"cont.M","rain.M",1
"13","ASV_470","rain.D - rain.K",21.4121825922007,19508.9876922052,Inf,0.0010975547747542,1,"rain.D","rain.K",1
"14","ASV_470","rain.D - rain.M",19.8640357857151,9630.7285948976,Inf,0.00206256832907108,1,"rain.D","rain.M",1
"15","ASV_470","rain.K - rain.M",-1.54814680648564,21756.6434240293,Inf,-7.11574288511701e-05,1,"rain.K","rain.M",1
"16","ASV_73","cont.D - cont.K",1.63720322681425,1.94062657903577,Inf,0.843646709006595,0.959307105562096,"cont.D","cont.K",1
"17","ASV_73","cont.D - cont.M",1.17977466329941,1.93815119095271,Inf,0.60871136823928,0.990449893064807,"cont.D","cont.M",1
"18","ASV_73","cont.D - rain.D",-0.0429830104205084,1.8740772750893,Inf,-0.0229355592706071,0.999999999111601,"cont.D","rain.D",1
"19","ASV_73","cont.D - rain.K",22.2963233886317,13083.2093500902,Inf,0.00170419373351065,1,"cont.D","rain.K",1
"20","ASV_73","cont.D - rain.M",19.7676559443556,3955.68233028089,Inf,0.0049972809477226,0.999999999999693,"cont.D","rain.M",1
"21","ASV_73","cont.K - cont.M",-0.457428563514841,1.8628520476527,Inf,-0.245552814616291,0.999879105084025,"cont.K","cont.M",1
"22","ASV_73","cont.K - rain.D",-1.68018623723476,1.79609391331817,Inf,-0.935466806482699,0.937394806032401,"cont.K","rain.D",1
"23","ASV_73","cont.K - rain.K",20.6591201618174,13083.2093391521,Inf,0.0015790559966043,1,"cont.K","rain.K",1
"24","ASV_73","cont.K - rain.M",18.1304527175414,3955.68229410353,Inf,0.00458339456244179,0.99999999999989,"cont.K","rain.M",1
"25","ASV_73","cont.M - rain.D",-1.22275767371992,1.79341904338889,Inf,-0.681802548170432,0.983999058191722,"cont.M","rain.D",1
"26","ASV_73","cont.M - rain.K",21.1165487253323,13083.2093387851,Inf,0.00161401902075604,1,"cont.M","rain.K",1
"27","ASV_73","cont.M - rain.M",18.5878812810562,3955.68229288989,Inf,0.00469903291133032,0.999999999999774,"cont.M","rain.M",1
"28","ASV_73","rain.D - rain.K",22.3393063990522,13083.2093294501,Inf,0.00170747909297505,1,"rain.D","rain.K",1
"29","ASV_73","rain.D - rain.M",19.8106389547761,3955.68226201477,Inf,0.00500814717729272,0.99999999999969,"rain.D","rain.M",1
"30","ASV_73","rain.K - rain.M",-2.52866744427607,13668.1302870634,Inf,-0.000185004634223409,1,"rain.K","rain.M",1
"31","ASV_44","cont.D - cont.K",-0.332713757459082,1.39580539704373,Inf,-0.238366865584385,0.999895588463624,"cont.D","cont.K",1
"32","ASV_44","cont.D - cont.M",2.43666506638312,1.60939946250833,Inf,1.51402129996083,0.655212652735878,"cont.D","cont.M",1
"33","ASV_44","cont.D - rain.D",0.0489393077343854,1.41777068113627,Inf,0.034518493283528,0.999999993142398,"cont.D","rain.D",1
"34","ASV_44","cont.D - rain.K",0.76045971528464,1.41134934515172,Inf,0.538817492562686,0.994579150538421,"cont.D","rain.K",1
"35","ASV_44","cont.D - rain.M",2.17303620783188,1.50541176447241,Inf,1.44348294540759,0.700281045819937,"cont.D","rain.M",1
"36","ASV_44","cont.K - cont.M",2.7693788238422,1.51848042210831,Inf,1.82378302908713,0.45026288824811,"cont.K","cont.M",1
"37","ASV_44","cont.K - rain.D",0.381653065193468,1.31654349373615,Inf,0.289890206445359,0.999726377392195,"cont.K","rain.D",1
"38","ASV_44","cont.K - rain.K",1.09317347274372,1.31021182571749,Inf,0.834348653619487,0.961181921540023,"cont.K","rain.K",1
"39","ASV_44","cont.K - rain.M",2.50574996529097,1.40935665071535,Inf,1.77793886594931,0.480090256531018,"cont.K","rain.M",1
"40","ASV_44","cont.M - rain.D",-2.38772575864873,1.51122847289134,Inf,-1.57998992308585,0.611843563953431,"cont.M","rain.D",1
"41","ASV_44","cont.M - rain.K",-1.67620535109848,1.52449295045489,Inf,-1.09951662983966,0.881766326108248,"cont.M","rain.K",1
"42","ASV_44","cont.M - rain.M",-0.263628858551234,1.55515325773348,Inf,-0.169519535930146,0.99998070818204,"cont.M","rain.M",1
"43","ASV_44","rain.D - rain.K",0.711520407550254,1.33068160743369,Inf,0.53470372144278,0.994770391677738,"rain.D","rain.K",1
"44","ASV_44","rain.D - rain.M",2.1240969000975,1.41456176239036,Inf,1.50159360769667,0.663268525764078,"rain.D","rain.M",1
"45","ASV_44","rain.K - rain.M",1.41257649254724,1.41974478815442,Inf,0.994950997061598,0.919728568645051,"rain.K","rain.M",1
"46","ASV_1","cont.D - cont.K",0.222271132589011,0.390006935300341,Inf,0.569915846285765,0.992956783224791,"cont.D","cont.K",1
"47","ASV_1","cont.D - cont.M",1.20293303274314,0.394164678577266,Inf,3.05185395374621,0.0275756693546474,"cont.D","cont.M",1
"48","ASV_1","cont.D - rain.D",0.208480097990161,0.389692180032869,Inf,0.534986609104078,0.994757407198194,"cont.D","rain.D",1
"49","ASV_1","cont.D - rain.K",0.083481583887494,0.389477270879254,Inf,0.214342633394325,0.999938244362511,"cont.D","rain.K",1
"50","ASV_1","cont.D - rain.M",0.610251637192934,0.391533533360266,Inf,1.55861908418306,0.625987868397131,"cont.D","rain.M",1
"51","ASV_1","cont.K - cont.M",0.980661900154124,0.366419961609313,Inf,2.6763331775023,0.0799864567450388,"cont.K","cont.M",1
"52","ASV_1","cont.K - rain.D",-0.0137910345988508,0.361618315872104,Inf,-0.0381369913899172,0.999999988712914,"cont.K","rain.D",1
"53","ASV_1","cont.K - rain.K",-0.138789548701517,0.361387879178918,Inf,-0.384045942594562,0.998921765695849,"cont.K","rain.K",1
"54","ASV_1","cont.K - rain.M",0.387980504603922,0.363561351892128,Inf,1.06716652522252,0.894456604320177,"cont.K","rain.M",1
"55","ASV_1","cont.M - rain.D",-0.994452934752974,0.366096722600918,Inf,-2.71636666858946,0.0720063506038343,"cont.M","rain.D",1
"56","ASV_1","cont.M - rain.K",-1.11945144885564,0.36586968407036,Inf,-3.05969993578468,0.0269189930836938,"cont.M","rain.K",1
"57","ASV_1","cont.M - rain.M",-0.592681395550201,0.367994979155247,Inf,-1.61056924447919,0.591495330876937,"cont.M","rain.M",1
"58","ASV_1","rain.D - rain.K",-0.124998514102667,0.361049874322457,Inf,-0.346208440972976,0.999348236118307,"rain.D","rain.K",1
"59","ASV_1","rain.D - rain.M",0.401771539202773,0.363253836034531,Inf,1.10603522756627,0.879107330743628,"rain.D","rain.M",1
"60","ASV_1","rain.K - rain.M",0.52677005330544,0.363027674644692,Inf,1.45104654575166,0.695532123003116,"rain.K","rain.M",1
"61","ASV_47","cont.D - cont.K",-1.05033200961478,1.75603228764266,Inf,-0.598127959836534,0.99119102259538,"cont.D","cont.K",1
"62","ASV_47","cont.D - cont.M",-0.672388766522193,1.7889815711328,Inf,-0.375850024042691,0.999028690227376,"cont.D","cont.M",1
"63","ASV_47","cont.D - rain.D",36.7069472851046,33554432,Inf,1.09395227685882e-06,1,"cont.D","rain.D",1
"64","ASV_47","cont.D - rain.K",-0.961627011659305,1.76435731063515,Inf,-0.545029629691691,0.994280368009127,"cont.D","rain.K",1
"65","ASV_47","cont.D - rain.M",-1.08111397937309,1.75417734142454,Inf,-0.61630825677815,0.989889929710539,"cont.D","rain.M",1
"66","ASV_47","cont.K - cont.M",0.377943243092591,1.55560356251446,Inf,0.242956015401306,0.999885283327835,"cont.K","cont.M",1
"67","ASV_47","cont.K - rain.D",37.7572792947194,33554432,Inf,1.12525461002348e-06,1,"cont.K","rain.D",1
"68","ASV_47","cont.K - rain.K",0.088704997955479,1.52722103883054,Inf,0.0580826191494877,0.999999907611477,"cont.K","rain.K",1
"69","ASV_47","cont.K - rain.M",-0.0307819697583041,1.51544895229835,Inf,-0.0203121125997808,0.999999999515979,"cont.K","rain.M",1
"70","ASV_47","cont.M - rain.D",37.3793360516268,33554432,Inf,1.11399102364858e-06,1,"cont.M","rain.D",1
"71","ASV_47","cont.M - rain.K",-0.289238245137112,1.56499513355662,Inf,-0.184817344754157,0.999970373317635,"cont.M","rain.K",1
"72","ASV_47","cont.M - rain.M",-0.408725212850895,1.5535093155921,Inf,-0.263098012189977,0.999830125674867,"cont.M","rain.M",1
"73","ASV_47","rain.D - rain.K",-37.6685742967639,33554432,Inf,-1.12261099507701e-06,1,"rain.D","rain.K",1
"74","ASV_47","rain.D - rain.M",-37.7880612644777,33554432,Inf,-1.12617198420994e-06,1,"rain.D","rain.M",1
"75","ASV_47","rain.K - rain.M",-0.119486967713783,1.52508781759294,Inf,-0.0783475983057623,0.99999958804605,"rain.K","rain.M",1
"76","ASV_62","cont.D - cont.K",-2.91042801033442,2.2773805610223,Inf,-1.27797174532303,0.797220883173006,"cont.D","cont.K",1
"77","ASV_62","cont.D - cont.M",17.0350507864491,5383.86922638721,Inf,0.00316409074406146,1,"cont.D","cont.M",1
"78","ASV_62","cont.D - rain.D",20.2552821701731,24272.4121275888,Inf,0.000834498115131715,1,"cont.D","rain.D",1
"79","ASV_62","cont.D - rain.K",-1.87055424434519,2.29242199257079,Inf,-0.815972910051998,0.964710434104398,"cont.D","rain.K",1
"80","ASV_62","cont.D - rain.M",-1.52521251512817,2.33462861275649,Inf,-0.653299846834037,0.986807937204594,"cont.D","rain.M",1
