"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"3","ASV_470","cont.D - rain.D",-0.390063068622038,1.11363278596042,Inf,-0.350261839934642,0.999310251521506,"cont.D","rain.D",1
"8","ASV_470","cont.K - rain.K",0.580126940866492,24783.8317561167,Inf,2.34074757517395e-05,1,"cont.K","rain.K",1
"12","ASV_470","cont.M - rain.M",-0.572309333558472,16387.2871441322,Inf,-3.4923982751068e-05,1,"cont.M","rain.M",1
"18","ASV_73","cont.D - rain.D",-0.0429830104205084,1.8740772750893,Inf,-0.0229355592706071,0.999999999111601,"cont.D","rain.D",1
"23","ASV_73","cont.K - rain.K",20.6591201618174,13083.2093391521,Inf,0.0015790559966043,1,"cont.K","rain.K",1
"27","ASV_73","cont.M - rain.M",18.5878812810562,3955.68229288989,Inf,0.00469903291133032,0.999999999999774,"cont.M","rain.M",1
"33","ASV_44","cont.D - rain.D",0.0489393077343854,1.41777068113627,Inf,0.034518493283528,0.999999993142398,"cont.D","rain.D",1
"38","ASV_44","cont.K - rain.K",1.09317347274372,1.31021182571749,Inf,0.834348653619487,0.961181921540023,"cont.K","rain.K",1
"42","ASV_44","cont.M - rain.M",-0.263628858551234,1.55515325773348,Inf,-0.169519535930146,0.99998070818204,"cont.M","rain.M",1
"48","ASV_1","cont.D - rain.D",0.208480097990161,0.389692180032869,Inf,0.534986609104078,0.994757407198194,"cont.D","rain.D",1
"53","ASV_1","cont.K - rain.K",-0.138789548701517,0.361387879178918,Inf,-0.384045942594562,0.998921765695849,"cont.K","rain.K",1
"57","ASV_1","cont.M - rain.M",-0.592681395550201,0.367994979155247,Inf,-1.61056924447919,0.591495330876937,"cont.M","rain.M",1
"63","ASV_47","cont.D - rain.D",36.7069472851046,33554432,Inf,1.09395227685882e-06,1,"cont.D","rain.D",1
"68","ASV_47","cont.K - rain.K",0.088704997955479,1.52722103883054,Inf,0.0580826191494877,0.999999907611477,"cont.K","rain.K",1
"72","ASV_47","cont.M - rain.M",-0.408725212850895,1.5535093155921,Inf,-0.263098012189977,0.999830125674867,"cont.M","rain.M",1
"78","ASV_62","cont.D - rain.D",20.2552821701731,24272.4121275888,Inf,0.000834498115131715,1,"cont.D","rain.D",1
"83","ASV_62","cont.K - rain.K",1.03987376598923,1.90702095999974,Inf,0.545287014564001,0.99426772537783,"cont.K","rain.K",1
"87","ASV_62","cont.M - rain.M",-18.5602633015773,5383.86910060025,Inf,-0.00344738383396208,1,"cont.M","rain.M",1
"93","ASV_27","cont.D - rain.D",-0.736174698222275,1376.30011924687,Inf,-0.000534894016157696,1,"cont.D","rain.D",1
"98","ASV_27","cont.K - rain.K",-0.402154213499649,0.997322722007698,Inf,-0.403233782431105,0.998635491404988,"cont.K","rain.K",1
"102","ASV_27","cont.M - rain.M",-0.428143685535786,1.01556506799351,Inf,-0.421581737132496,0.998309588518101,"cont.M","rain.M",1
"108","ASV_103","cont.D - rain.D",-0.142481996287657,10108.8196674162,Inf,-1.40948202634299e-05,1,"cont.D","rain.D",1
"113","ASV_103","cont.K - rain.K",-1.73210446768289,1.91842294544552,Inf,-0.902879352957615,0.945896583130256,"cont.K","rain.K",1
"117","ASV_103","cont.M - rain.M",0.961642843867315,1.7024782336506,Inf,0.564848833224304,0.993243296286839,"cont.M","rain.M",1
"123","ASV_69","cont.D - rain.D",1.37913242384359,965.436513121546,Inf,0.00142850659271674,1,"cont.D","rain.D",1
"128","ASV_69","cont.K - rain.K",1.21952843064763,1.66557417991606,Inf,0.732197007706428,0.978001331715774,"cont.K","rain.K",1
"132","ASV_69","cont.M - rain.M",1.22174138850133,1.49865170619923,Inf,0.815227036040159,0.96484877242821,"cont.M","rain.M",1
"138","ASV_90","cont.D - rain.D",-15.2397107956746,2491.35457497039,Inf,-0.00611703807590524,0.999999999998901,"cont.D","rain.D",1
"143","ASV_90","cont.K - rain.K",-0.411372769991759,1.97984500783729,Inf,-0.207780290054689,0.999947055380619,"cont.K","rain.K",1
"147","ASV_90","cont.M - rain.M",-0.043476105966139,1.37613377506579,Inf,-0.0315929357696789,0.999999995595367,"cont.M","rain.M",1
"153","ASV_58","cont.D - rain.D",18.1568714857114,1024.43598176029,Inf,0.0177237736754544,0.999999999755154,"cont.D","rain.D",1
"158","ASV_58","cont.K - rain.K",-2.9740941120312,0.00468772925438173,Inf,-634.442381511527,0,"cont.K","rain.K",0
"162","ASV_58","cont.M - rain.M",-1.83306540021474,0.00468779160958118,Inf,-391.029626075573,0,"cont.M","rain.M",0
"168","ASV_17","cont.D - rain.D",31.2879366929157,3609315.01375802,Inf,8.66866332632428e-06,1,"cont.D","rain.D",1
"173","ASV_17","cont.K - rain.K",-1.08829098000444,1.67059933633372,Inf,-0.651437455011084,0.986977855115172,"cont.K","rain.K",1
"177","ASV_17","cont.M - rain.M",-0.122149011386377,1.61128824374017,Inf,-0.0758082930604899,0.999999650539391,"cont.M","rain.M",1
"183","ASV_8","cont.D - rain.D",14.8947247965746,591.207706303701,Inf,0.0251937257206915,0.999999998579277,"cont.D","rain.D",1
"188","ASV_8","cont.K - rain.K",-0.905840380810899,1.17697245012165,Inf,-0.769636010356296,0.972606455604574,"cont.K","rain.K",1
"192","ASV_8","cont.M - rain.M",0.568496229744892,1.19029629181424,Inf,0.477609006811567,0.996931246347997,"cont.M","rain.M",1
"198","ASV_12","cont.D - rain.D",18.524626912303,512.000385307084,Inf,0.0361808847100622,0.999999991324777,"cont.D","rain.D",1
"203","ASV_12","cont.K - rain.K",0.307807742086063,0.704324600801156,Inf,0.43702540240102,0.997991099024238,"cont.K","rain.K",1
"207","ASV_12","cont.M - rain.M",0.96651069607981,0.725546737539068,Inf,1.33211362697054,0.767172018640767,"cont.M","rain.M",1
"213","ASV_57","cont.D - rain.D",-13.3062831565084,362.039441254533,Inf,-0.0367536838262696,0.999999990616193,"cont.D","rain.D",1
"218","ASV_57","cont.K - rain.K",0.881092286677569,0.8845849046925,Inf,0.996051687072203,0.919375048792431,"cont.K","rain.K",1
"222","ASV_57","cont.M - rain.M",-0.325798648468446,0.761149281426779,Inf,-0.428035152129073,0.998181663092839,"cont.M","rain.M",1
"228","ASV_85","cont.D - rain.D",3.19065056359088,8756241.66087502,Inf,3.64385850364029e-07,1,"cont.D","rain.D",1
"233","ASV_85","cont.K - rain.K",0.131061198517131,1.54290752234269,Inf,0.0849442993952958,0.999999383218062,"cont.K","rain.K",1
"237","ASV_85","cont.M - rain.M",3.51725021536123,1.82311643531063,Inf,1.92925155367926,0.38408314005579,"cont.M","rain.M",1
"243","ASV_3","cont.D - rain.D",-0.654865478646299,1.41742889585725,Inf,-0.462009403477159,0.997379791285725,"cont.D","rain.D",1
"248","ASV_3","cont.K - rain.K",-1.37629715379036,1.13343372848401,Inf,-1.21427227653724,0.830100831880176,"cont.K","rain.K",1
"252","ASV_3","cont.M - rain.M",-0.595100298285283,1.13072660176376,Inf,-0.526299016364362,0.995145154221354,"cont.M","rain.M",1
"258","ASV_33","cont.D - rain.D",1.12925613729669,1773.62024196791,Inf,0.000636695562317065,1,"cont.D","rain.D",1
"263","ASV_33","cont.K - rain.K",-0.505527168522537,1.41927321160556,Inf,-0.356187353068305,0.99925162743274,"cont.K","rain.K",1
"267","ASV_33","cont.M - rain.M",0.121740431577527,1.31849508628874,Inf,0.092332867102446,0.999999064753254,"cont.M","rain.M",1
"273","ASV_56","cont.D - rain.D",16.48287822954,1024.00373593317,Inf,0.016096502045004,0.999999999848719,"cont.D","rain.D",1
"278","ASV_56","cont.K - rain.K",2.23313765320783,2.43567796337179,Inf,0.916844380410792,0.942353283275543,"cont.K","rain.K",1
"282","ASV_56","cont.M - rain.M",-0.466647953893761,2.21955783650461,Inf,-0.210243655839419,0.99994387363837,"cont.M","rain.M",1
"288","ASV_20","cont.D - rain.D",0.923406598640828,6220.33236455311,Inf,0.000148449720131179,1,"cont.D","rain.D",1
"293","ASV_20","cont.K - rain.K",1.59442306684201,1.91150612972502,Inf,0.834118730799661,0.961227514102482,"cont.K","rain.K",1
"297","ASV_20","cont.M - rain.M",-1.25573708233385,1.9597733758528,Inf,-0.640756272029366,0.98792139219403,"cont.M","rain.M",1
"303","ASV_65","cont.D - rain.D",-14.8923186495688,1024.00321994186,Inf,-0.0145432342003909,0.999999999908916,"cont.D","rain.D",1
"308","ASV_65","cont.K - rain.K",-1.02041705606596,2.28097284438652,Inf,-0.447360457875337,0.997753338003055,"cont.K","rain.K",1
"312","ASV_65","cont.M - rain.M",-0.127874864938965,2.34644909095331,Inf,-0.0544971827566958,0.999999932802256,"cont.M","rain.M",1
"318","ASV_35","cont.D - rain.D",13.3701366908063,457.947662158142,Inf,0.0291957745297742,0.999999997031104,"cont.D","rain.D",1
"323","ASV_35","cont.K - rain.K",-1.12749025606373,0.83261115738086,Inf,-1.35416183901555,0.754433649204123,"cont.K","rain.K",1
"327","ASV_35","cont.M - rain.M",-1.44736532752786,0.868637797028081,Inf,-1.66624723501534,0.554277841853091,"cont.M","rain.M",1
"333","ASV_7","cont.D - rain.D",15.6194590402413,2032.68811357738,Inf,0.00768413950763565,0.999999999996293,"cont.D","rain.D",1
"338","ASV_7","cont.K - rain.K",0.0373663137919014,1.66346953740239,Inf,0.0224628783105047,0.999999999199441,"cont.K","rain.K",1
"342","ASV_7","cont.M - rain.M",0.372874436143899,1.6702950014333,Inf,0.223238670907792,0.999924482980099,"cont.M","rain.M",1
"348","ASV_51","cont.D - rain.D",18.1660150015799,1024.00228161444,Inf,0.0177402094973258,0.999999999754017,"cont.D","rain.D",1
"353","ASV_51","cont.K - rain.K",-1.04677263128961,2.3401258049955,Inf,-0.447314682422225,0.997754436817129,"cont.K","rain.K",1
"357","ASV_51","cont.M - rain.M",-0.311096328892132,1.98396203357241,Inf,-0.156805585806477,0.999986905732933,"cont.M","rain.M",1
"363","ASV_13","cont.D - rain.D",22.6707033726984,132261.279506158,Inf,0.000171408468580881,1,"cont.D","rain.D",1
"368","ASV_13","cont.K - rain.K",0.643072616517806,2.34452960169136,Inf,0.274286413809358,0.999791494262861,"cont.K","rain.K",1
"372","ASV_13","cont.M - rain.M",3.08964405040325,2.53393462295776,Inf,1.21930693176165,0.827605953540792,"cont.M","rain.M",1
