"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_470","cont.D - cont.K",21.2053229150859,12894.7681555633,Inf,0.00164449043668437,1,"cont.D","cont.K",1
"2","ASV_470","cont.D - cont.M",21.3902166062964,15151.5702377818,Inf,0.00141174916332816,1,"cont.D","cont.M",1
"3","ASV_470","cont.D - rain.D",-0.529240207591902,1.42319043606203,Inf,-0.371868861806232,0.999077545033386,"cont.D","rain.D",1
"4","ASV_470","cont.D - rain.K",22.6774365357493,24262.842617881,Inf,0.000934657034746486,1,"cont.D","rain.K",1
"5","ASV_470","cont.D - rain.M",22.5879857622824,25189.545483159,Inf,0.000896720656487595,1,"cont.D","rain.M",1
"6","ASV_470","cont.K - cont.M",0.184893691210473,19895.8569630295,Inf,9.2930750132574e-06,1,"cont.K","cont.M",1
"7","ASV_470","cont.K - rain.D",-21.7345631226778,12894.7681502369,Inf,-0.0016855334558519,1,"cont.K","rain.D",1
"8","ASV_470","cont.K - rain.K",1.4721136206634,27476.5459168899,Inf,5.35770989962201e-05,1,"cont.K","rain.K",1
"9","ASV_470","cont.K - rain.M",1.38266284719651,28298.2021561623,Inf,4.88604484329551e-05,1,"cont.K","rain.M",1
"10","ASV_470","cont.M - rain.D",-21.9194568138883,15151.5702332488,Inf,-0.00144667889046826,1,"cont.M","rain.D",1
"11","ASV_470","cont.M - rain.K",1.28721992945292,28605.1675472748,Inf,4.49995591644614e-05,1,"cont.M","rain.K",1
"12","ASV_470","cont.M - rain.M",1.19776915598603,29395.29350348,Inf,4.07469704578467e-05,1,"cont.M","rain.M",1
"13","ASV_470","rain.D - rain.K",23.2066767433412,24262.8426150503,Inf,0.000956469821427524,1,"rain.D","rain.K",1
"14","ASV_470","rain.D - rain.M",23.1172259698743,25189.5454804324,Inf,0.000917730968501682,1,"rain.D","rain.M",1
"15","ASV_470","rain.K - rain.M",-0.0894507734668899,34974.2581248747,Inf,-2.5576174667525e-06,1,"rain.K","rain.M",1
"16","ASV_73","cont.D - cont.K",1.14846546419974,2.77192103232615,Inf,0.414321133541084,0.99844505334242,"cont.D","cont.K",1
"17","ASV_73","cont.D - cont.M",0.67539545022003,2.7654964464061,Inf,0.24422213635376,0.999882303058676,"cont.D","cont.M",1
"18","ASV_73","cont.D - rain.D",-1.48614980483528,2.6904868421268,Inf,-0.552372076891665,0.993911327267728,"cont.D","rain.D",1
"19","ASV_73","cont.D - rain.K",31.3338876627428,1454232.92752298,Inf,2.1546677337388e-05,1,"cont.D","rain.K",1
"20","ASV_73","cont.D - rain.M",27.0009285286283,180903.30109338,Inf,0.000149256140520568,1,"cont.D","rain.M",1
"21","ASV_73","cont.K - cont.M",-0.473070013979713,2.76360702429378,Inf,-0.171178467061757,0.999979751915098,"cont.K","cont.M",1
"22","ASV_73","cont.K - rain.D",-2.63461526903502,2.68854470621163,Inf,-0.979941030159546,0.924452272952951,"cont.K","rain.D",1
"23","ASV_73","cont.K - rain.K",30.185422198543,1454232.92752298,Inf,2.0756937645442e-05,1,"cont.K","rain.K",1
