"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_73","1a - Rainout",-1.85535588925669,2.29577741423484,Inf,-0.808160180404538,0.418998377300708,"1a","Rainout",0.558664503067611
"2","ASV_44","1a - Rainout",1.76926385369149,1.15126841180934,Inf,1.53679527340709,0.124343451266513,"1a","Rainout",0.373030353799538
"3","ASV_549","1a - Rainout",2.26581626970138,1.16121729247284,Inf,1.95124227342177,0.0510282324375116,"1a","Rainout",0.245400754627633
"4","ASV_112","1a - Rainout",-4.50503672957043,2.68675966316523,Inf,-1.67675463917868,0.0935904712272182,"1a","Rainout",0.335971092585992
"5","ASV_442","1a - Rainout",-1.50328715035776,1.23833774539164,Inf,-1.21395568854467,0.224764645584107,"1a","Rainout",0.469074042958136
"6","ASV_54","1a - Rainout",0.629273024907408,0.508907711136799,Inf,1.23651697770847,0.216266458899486,"1a","Rainout",0.469074042958136
"7","ASV_1","1a - Rainout",-0.0589064263873284,0.123919881555184,Inf,-0.475358962969119,0.634531138947423,"1a","Rainout",0.763817906916517
"8","ASV_27","1a - Rainout",-3.69735618835462,2.23449837886544,Inf,-1.6546694431848,0.0979915686709142,"1a","Rainout",0.335971092585992
"9","ASV_36","1a - Rainout",-0.515222491848476,1.27232061642173,Inf,-0.404947059097012,0.685516426075343,"1a","Rainout",0.783447344086107
"10","ASV_2","1a - Rainout",0.235312665045809,0.150674646931752,Inf,1.56172700475876,0.118352314235796,"1a","Rainout",0.373030353799538
"11","ASV_63","1a - Rainout",0.179251999157187,0.511621763894287,Inf,0.350360386924871,0.726068251281983,"1a","Rainout",0.802698847702538
"12","ASV_142","1a - Rainout",-2.13370579001498,1.80405056184026,Inf,-1.1827305925608,0.236915935715725,"1a","Rainout",0.47383187143145
"13","ASV_95","1a - Rainout",-2.73025198373031,2.00969337279043,Inf,-1.35854156693535,0.174291902270753,"1a","Rainout",0.440316384684007
"14","ASV_30","1a - Rainout",0.123843275506961,0.590912043996579,Inf,0.20957988039871,0.833995584014271,"1a","Rainout",0.870256261580109
"15","ASV_5","1a - Rainout",-0.458898121346613,0.20134604724856,Inf,-2.27915137951582,0.0226580681703405,"1a","Rainout",0.245400754627633
"16","ASV_4","1a - Rainout",-0.0714725963957496,0.211826668273716,Inf,-0.337410756531349,0.73580727706066,"1a","Rainout",0.802698847702538
"17","ASV_9","1a - Rainout",1.11321813568934,0.66864655664674,Inf,1.66488277644339,0.0959361450751566,"1a","Rainout",0.335971092585992
"18","ASV_29","1a - Rainout",0.560821306868053,0.673906492598723,Inf,0.832194544832785,0.405299142550563,"1a","Rainout",0.555838824069344
"19","ASV_16","1a - Rainout",0.67937933680623,0.697944721846271,Inf,0.973399920568308,0.33035457837968,"1a","Rainout",0.537517203482467
"20","ASV_18","1a - Rainout",0.0325285725318504,0.10900544065967,Inf,0.298412375886898,0.765388444535664,"1a","Rainout",0.816414340838042
"21","ASV_11","1a - Rainout",-0.432879294697983,0.442853540120454,Inf,-0.977477327109641,0.328332897075592,"1a","Rainout",0.537517203482467
"22","ASV_14","1a - Rainout",0.469095107867024,0.718816774600067,Inf,0.652593434715012,0.514018419217693,"1a","Rainout",0.666834706012142
"23","ASV_39","1a - Rainout",-0.672856470108267,0.495084150745629,Inf,-1.35907495542909,0.174122838032275,"1a","Rainout",0.440316384684007
"24","ASV_50","1a - Rainout",-2.36654700526023,2.45951217274337,Inf,-0.962201785982848,0.335948252176542,"1a","Rainout",0.537517203482467
"25","ASV_86","1a - Rainout",-2.52548028239182,2.20256131573845,Inf,-1.14661065930194,0.251542569063138,"1a","Rainout",0.481728070565548
"26","ASV_141","1a - Rainout",-0.432197211153734,0.474341609756682,Inf,-0.911151799175774,0.362215396803176,"1a","Rainout",0.553609994165466
"27","ASV_49","1a - Rainout",0.447553234801367,0.784088529126372,Inf,0.570794263882459,0.568139111688421,"1a","Rainout",0.717649404238006
"28","ASV_117","1a - Rainout",0.591242641090078,1.25110302488267,Inf,0.472577101430577,0.636514922430431,"1a","Rainout",0.763817906916517
"29","ASV_38","1a - Rainout",0.399553296500895,0.947628136015409,Inf,0.421635113306089,0.673291372579321,"1a","Rainout",0.783447344086107
"30","ASV_40","1a - Rainout",0.490297664630279,0.243432376627261,Inf,2.01410211502397,0.0439988135269791,"1a","Rainout",0.245400754627633
