"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_44","1a - Rainout",0.804430103919577,0.656142141391575,Inf,1.22599975397633,0.220198767613517,"1a","Rainout",0.598114730157405
"2","ASV_1","1a - Rainout",-0.18013069476003,0.30554035951518,Inf,-0.589547957087747,0.5554937514161,"1a","Rainout",0.740542575505046
"3","ASV_47","1a - Rainout",-0.129303699936473,1.47795447891837,Inf,-0.0874882831513884,0.930283398410401,"1a","Rainout",0.952433003134458
"4","ASV_62","1a - Rainout",0.735851114581886,1.76159468192811,Inf,0.417718742075493,0.676152767606376,"1a","Rainout",0.785799162353355
"5","ASV_27","1a - Rainout",-0.525653331476827,0.988674541761721,Inf,-0.531674792131458,0.594951253796402,"1a","Rainout",0.752438350389567
"6","ASV_103","1a - Rainout",-1.22160094363241,1.88646298956647,Inf,-0.647561574432554,0.517268557066427,"1a","Rainout",0.740542575505046
"7","ASV_58","1a - Rainout",-4.17394157300582,2.4170229738923,Inf,-1.72689362827373,0.0841867689708927,"1a","Rainout",0.554979162137152
"8","ASV_17","1a - Rainout",-1.81123881650991,2.20276500813047,Inf,-0.82225694062897,0.410930677820356,"1a","Rainout",0.740542575505046
"9","ASV_8","1a - Rainout",-0.955557489743785,0.783154862676015,Inf,-1.22013861534189,0.222412332159407,"1a","Rainout",0.598114730157405
"10","ASV_12","1a - Rainout",0.182922594116187,0.320622932348099,Inf,0.570522491253335,0.568323371899222,"1a","Rainout",0.740542575505046
"11","ASV_57","1a - Rainout",0.515427116373442,1.018225756651,Inf,0.506201216190713,0.612715401322847,"1a","Rainout",0.752764635910926
"12","ASV_3","1a - Rainout",-1.31802575582953,0.812593448558775,Inf,-1.62199899367536,0.10480356360532,"1a","Rainout",0.554979162137152
"13","ASV_33","1a - Rainout",-1.39246937069951,1.77830079006648,Inf,-0.783033656891897,0.433607347914856,"1a","Rainout",0.740542575505046
"14","ASV_20","1a - Rainout",2.18309324300421,2.49355730975673,Inf,0.875493510601204,0.381305439633219,"1a","Rainout",0.740542575505046
"15","ASV_65","1a - Rainout",-1.25783349239002,2.69117953383989,Inf,-0.467391148220901,0.640220054484141,"1a","Rainout",0.764707287300502
"16","ASV_35","1a - Rainout",-1.11646796636732,1.04995863037911,Inf,-1.06334472050979,0.287625651704753,"1a","Rainout",0.650942264384441
"17","ASV_7","1a - Rainout",-0.242393524662738,1.76523823988595,Inf,-0.137314906954655,0.890781888001933,"1a","Rainout",0.934234663026417
"18","ASV_32","1a - Rainout",-1.19042191737959,1.54801901367663,Inf,-0.768996961188658,0.441895114513701,"1a","Rainout",0.740542575505046
"19","ASV_61","1a - Rainout",-1.25793902637532,1.8150580356342,Inf,-0.693057192485741,0.488273660495746,"1a","Rainout",0.740542575505046
"20","ASV_78","1a - Rainout",-0.419134181032305,2.24421501506088,Inf,-0.18676204295021,0.851847208556919,"1a","Rainout",0.915735749198688
"21","ASV_82","1a - Rainout",-0.0459160791169339,2.12934952662134,Inf,-0.0215634298375568,0.982796205506035,"1a","Rainout",0.982796205506035
"22","ASV_26","1a - Rainout",-1.20830552550978,2.04032710251559,Inf,-0.592211672344115,0.553708854187728,"1a","Rainout",0.740542575505046
"23","ASV_66","1a - Rainout",-1.22689692744787,1.84527577829202,Inf,-0.664885401890164,0.506123793437982,"1a","Rainout",0.740542575505046
