"","S5","S6","S7","S8","S17","S18","S19","S20"
"ASV_44",205,19,72,134,27,12,103,60
"ASV_1",501,351,650,1004,1031,532,874,3503
"ASV_47",86,69,0,28,33,0,10,19
"ASV_62",262,2,0,12,266,93,2,1
"ASV_27",84,29,0,77,255,128,39,27
"ASV_103",0,1,0,0,15,9,0,2
"ASV_58",0,23,0,0,16,39,0,64
"ASV_17",0,0,0,66,149,242,47,53
"ASV_8",136,76,0,132,112,30,62,247
"ASV_12",384,77,65,108,165,98,85,235
"ASV_57",111,1,0,8,42,6,1,18
"ASV_3",144,87,0,302,297,118,131,673
"ASV_33",0,0,0,3,90,63,5,85
"ASV_20",688,0,0,159,109,0,160,355
"ASV_65",309,30,0,36,60,54,0,0
"ASV_35",114,88,0,93,109,138,29,25
"ASV_7",484,0,0,373,244,366,132,330
"ASV_32",6,0,0,2,49,50,0,58
"ASV_61",51,17,0,41,49,0,0,58
"ASV_78",84,0,0,17,110,136,0,3
"ASV_82",47,0,0,42,89,22,0,1
"ASV_26",97,0,0,65,217,64,0,89
"ASV_66",26,0,0,2,31,164,0,43
"ASV_59",460,0,0,117,34,29,0,133
"ASV_2",420,184,353,560,397,408,217,760
"ASV_63",21,0,201,0,0,0,5,5
"ASV_30",1,0,35,53,0,0,21,16
"ASV_4",88,0,57,33,0,0,97,735
"ASV_9",48,0,33,36,0,9,55,176
"ASV_16",0,19,0,75,0,0,60,73
"ASV_141",6,0,34,0,0,0,1,2
"ASV_40",57,0,67,64,57,44,30,62
"ASV_87",0,21,0,63,9,39,1,35
"ASV_21",0,20,0,45,121,167,209,310
"ASV_23",0,23,0,38,127,31,168,211
"ASV_64",0,13,0,36,55,20,17,47
"ASV_77",0,0,0,79,9,166,19,18
"ASV_10",0,0,0,110,341,69,76,181
"ASV_52",0,99,0,88,145,21,28,44
"ASV_88",0,15,0,96,18,75,33,22
"ASV_274",0,21,0,24,0,0,23,4
"ASV_156",0,14,0,6,0,0,16,8
"ASV_158",0,0,0,29,2,13,0,3
