"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_44","1a - Rainout",0.858204707939701,1.39477117153811,Inf,0.615301438294931,0.538355667892407,"1a","Rainout",0.713182903191342
"2","ASV_1","1a - Rainout",-0.170304918626136,0.278618293341865,Inf,-0.611248158128553,0.541035305869294,"1a","Rainout",0.713182903191342
"3","ASV_47","1a - Rainout",0.871898467005605,1.11351916756426,Inf,0.783011637700694,0.433620278052199,"1a","Rainout",0.713182903191342
"4","ASV_62","1a - Rainout",3.431927864458,2.4317282340274,Inf,1.41131225785625,0.158152561696713,"1a","Rainout",0.62701047682722
"5","ASV_27","1a - Rainout",3.1998651207316,1.62802121941617,Inf,1.96549349760878,0.0493571475262813,"1a","Rainout",0.536758979348309
"6","ASV_103","1a - Rainout",-2.303359283529,2.83814699779884,Inf,-0.811571523714383,0.417037536664021,"1a","Rainout",0.713182903191342
"7","ASV_90","1a - Rainout",3.91941003378645,2.40334692282,Inf,1.63081326152762,0.102929728325202,"1a","Rainout",0.62701047682722
"8","ASV_58","1a - Rainout",-1.05317592819527,2.24145527550655,Inf,-0.469862566388821,0.638453210268989,"1a","Rainout",0.782329990047916
"9","ASV_17","1a - Rainout",1.09414082167118,1.26768354715314,Inf,0.863102486522219,0.38808112094998,"1a","Rainout",0.713182903191342
"10","ASV_8","1a - Rainout",-0.200726628056362,0.531651066559781,Inf,-0.377553325257538,0.705762443531458,"1a","Rainout",0.84040246054312
"11","ASV_110","1a - Rainout",-1.86117251306316,1.79099873777558,Inf,-1.03918136501578,0.298720395479027,"1a","Rainout",0.702396605585821
"12","ASV_12","1a - Rainout",0.13144054099578,0.27158695621378,Inf,0.483972215853829,0.628405587535845,"1a","Rainout",0.782329990047916
"13","ASV_57","1a - Rainout",1.54443154727346,0.689676948747726,Inf,2.23935503437913,0.025132824640694,"1a","Rainout",0.536758979348309
"14","ASV_207","1a - Rainout",-0.678013990097061,1.10839293597439,Inf,-0.611709050185363,0.540730273022372,"1a","Rainout",0.713182903191342
