"","S97","S98","S105","S106","S111","S112","S119","S120"
"ASV_1",721,961,548,748,302,657,984,1121
"ASV_47",0,3,100,47,124,43,196,31
"ASV_62",58,17,343,4,12,28,47,104
"ASV_27",1,31,305,128,69,38,137,17
"ASV_103",26,2,0,16,19,2,53,5
"ASV_69",125,216,0,0,14,0,245,175
"ASV_90",8,11,0,0,58,0,68,164
"ASV_171",0,0,62,0,33,0,5,0
"ASV_202",0,0,5,0,3,0,41,0
"ASV_101",0,64,0,58,0,0,78,208
"ASV_58",54,32,0,114,140,23,88,156
"ASV_17",42,10,1094,166,131,787,120,86
"ASV_8",56,25,202,413,265,454,640,574
"ASV_12",0,103,906,886,468,226,555,413
"ASV_57",0,28,66,60,67,21,210,90
"ASV_85",0,0,21,49,55,8,38,0
"ASV_3",92,162,214,377,790,580,1376,420
"ASV_33",1,15,123,78,117,342,360,103
"ASV_53",0,16,190,32,209,48,270,88
"ASV_56",29,0,255,0,132,36,223,157
"ASV_20",0,41,175,258,365,501,208,51
"ASV_35",57,11,334,51,84,9,220,6
"ASV_7",0,180,1402,502,261,77,145,7
"ASV_51",0,0,427,0,144,835,4,0
"ASV_13",0,32,114,21,143,482,26,101
"ASV_32",0,2,179,42,14,96,115,137
"ASV_151",0,4,16,40,4,23,7,0
"ASV_43",157,42,122,43,59,30,252,201
"ASV_61",0,85,34,110,124,48,485,161
"ASV_78",0,8,203,47,10,77,9,10
"ASV_82",0,2,43,12,25,92,58,65
"ASV_134",0,0,21,15,31,13,16,0
"ASV_253",0,0,4,0,2,3,2,0
"ASV_55",0,0,134,0,45,64,35,0
"ASV_26",179,56,534,3,183,76,42,108
"ASV_66",0,23,215,28,17,27,40,0
"ASV_71",52,0,0,0,45,0,98,21
"ASV_28",0,62,46,111,0,95,202,276
"ASV_2",583,504,361,622,543,1391,601,1499
"ASV_63",9,7,0,1,0,0,5,4
"ASV_4",299,76,0,119,14,0,114,197
"ASV_16",66,52,0,61,0,0,145,384
"ASV_11",219,68,39,29,0,0,47,94
"ASV_40",0,0,37,48,115,39,87,45
"ASV_400",2,12,1,1,5,0,1,0
"ASV_275",0,2,3,0,13,5,15,0
"ASV_306",0,1,1,0,4,7,2,1
"ASV_459",0,1,2,2,5,1,0,0
"ASV_556",0,0,3,0,13,2,5,0
"ASV_587",1,2,0,1,7,2,0,1
"ASV_87",8,0,8,0,64,0,10,0
"ASV_64",21,0,0,0,15,0,14,0
"ASV_77",62,0,28,0,59,0,0,0
"ASV_10",116,0,87,0,100,0,667,0
"ASV_52",22,0,101,0,63,0,0,0
"ASV_6",228,138,85,0,0,0,643,405
"ASV_46",0,0,0,16,0,30,186,30
"ASV_427",17,0,24,0,0,0,2,0
"ASV_140",0,0,0,21,0,43,16,20
