,RR_M_042822,RR_M_060122,RR_M_070522,RR_M_072022,RR_M_091322,RR_D_042822,RR_D_060122,RR_D_070522,RR_D_072022,RR_D_091322,RR_K_042822,RR_K_060122,RR_K_070522,RR_K_072022,RR_K_091322
AOB_ASV 1,0,0,0,1.208752745,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.938599455
AOB_ASV 12,0,-1.764070824,0,0,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 28,0,0,0,0,2.517848305,0,0,0,0,0,0,0,0,0,0
AOB_ASV 33,0,0,0,-1.94753258,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 35,0,0,0,0,-2.765534746,0,0,0,0,0,0,0,0,0,0
AOB_ASV 44,0,0,0,0,0,0,0,-1.784271309,0,0,0,0,0,0,0
AOB_ASV 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.169925001
AOB_ASV 53,0,0,0,-3.108524457,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 54,0,0,0,0,0,0,0,0,0,0,0,0,-2.502500341,0,0
AOB_ASV 59,0,0,0,0,0,0,0,0,0,0,0,0,4.297680549,0,0
AOB_ASV 64,0,0,0,0,0,0,0,-3.392317423,0,0,0,-2.157541277,-2.321928095,0,-3
AOB_ASV 71,0,0,1.688055994,0,0,0,0,0,0,0,0,0,0,1.710493383,0
AOB_ASV 87,0,0,0,0,0,0,0,0,0,0,5.247927513,0,0,0,0
AOB_ASV 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA_ASV 106,0,0,0,0,0,-1.819427754,0,0,0,0,0,0,0,0,0
AOA_ASV 111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA_ASV 18,0,0,0,0,0,0,0.795415309,0,0,0,0,0,0,0,0
AOA_ASV 38,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.309855263,0
AOA_ASV 49,0,0,0,0,2.338801913,0,0,0,0,0,0,0,0,0,0
COM_ASV 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414131875
COM_ASV 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 119,0,0,0,0,0,0,-2.321928095,0,0,0,0,0,0,0,0
COM_ASV 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 3,0,-0.836038442,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 93,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.712718048,0
