,Taxonomy
AOB_ASV 10,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 21,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 52,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 64,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 87,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 44,Nitrosomonas-communis-Nm44_2676397764
AOB_ASV 1,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 28,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 54,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 71,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 59,Nitrosospira-sp_2630434854
AOB_ASV 12,Nitrosospira-sp_2636913388
AOB_ASV 17,Nitrosospira-sp_2636913388
AOB_ASV 33,Nitrosospira-sp_2636913388
AOB_ASV 35,Nitrosospira-sp_2636913388
AOB_ASV 53,Nitrosospira-sp_2636913388
AOB_ASV 7,Nitrosospira-sp_2636913388
AOA_ASV 38,Ca.Nitrosotaleales (NT-Alpha-1.1.2.2)
AOA_ASV 106,Nitrososphaerales (NS-Delta-1.Incertae_sedis)
AOA_ASV 111,Nitrososphaerales (NS-Delta-1.Incertae_sedis)
AOA_ASV 18,Nitrososphaerales (NS-Gamma-1.2)
AOA_ASV 49,Nitrososphaerales (NS-Gamma-2.3.1)
COM_ASV 18,Clade B Nitrospira-sp.GGF-bin22
COM_ASV 93,Clade B Nitrospira-sp.GGF-bin22
COM_ASV 119,Clade B Nitrospira-sp.LM-bin98
COM_ASV 1,Clade B Nitrospira-sp.LPPL-bin249
COM_ASV 24,Clade B Nitrospira-sp.LPPL-bin249
COM_ASV 3,Clade B Nitrospira-sp.LPPL-bin249
