,RA
AOB_ASV 1,0.166424353
AOB_ASV 10,0.014436703
AOB_ASV 12,0.014661319
AOB_ASV 17,0.011773979
AOB_ASV 21,0.010222084
AOB_ASV 28,0.007003945
AOB_ASV 33,0.005541897
AOB_ASV 35,0.006150403
AOB_ASV 44,0.006207578
AOB_ASV 52,0.004022674
AOB_ASV 53,0.003173216
AOB_ASV 54,0.003589777
AOB_ASV 59,0.003201804
AOB_ASV 64,0.002960851
AOB_ASV 71,0.002503451
AOB_ASV 87,0.001841854
AOB_ASV 7,0.018377699
AOA_ASV 106,8.55E-04
AOA_ASV 111,6.99E-04
AOA_ASV 18,0.015532577
AOA_ASV 38,0.005440751
AOA_ASV 49,0.003491704
COM_ASV 1,0.173954296
COM_ASV 18,0.014880821
COM_ASV 119,0.000627523
COM_ASV 24,0.008462017
COM_ASV 3,0.079642162
COM_ASV 93,0.000961867
