,RR_M_042822,RR_M_060122,RR_M_070522,RR_D_042822,RR_D_060122,RR_D_070522,RR_K_042822,RR_K_060122,RR_K_070522
AOB_ASV 1,0,0,0,-0.729167224,0,0,0,0,0
AOB_ASV 10,0,0,0,0,0,0,0,0,0
AOB_ASV 12,0,0,0,0,0,0,0,0,0
AOB_ASV 17,0,0,0,0,0,0,0,0,0.807354922
AOB_ASV 21,0,0,0,0,0,0,0,-1.073462162,0
AOB_ASV 28,0,0,0,0,0,0,0,0,0
AOB_ASV 33,0,0,0,0,0,0,0,0,0
AOB_ASV 35,0,0,0,0,0,0,0,0,0
AOB_ASV 44,0,0,0,0,0,0,0,0,0
AOB_ASV 52,0,0,0,0,0,0,-1.893084796,0,0
AOB_ASV 53,0,0,0,0,0,0,4.754887502,0,0
AOB_ASV 54,0,0,0,0,0,0,0,0,0
AOB_ASV 59,0,0,0,0,0,0,0,0,0
AOB_ASV 64,0,0,0,0,0,0,0,0,0
AOB_ASV 71,0,0,0,0,0,0,0,0,0
AOB_ASV 87,0,0,0,0,0,0,0,0,0
AOB_ASV 7,0,0,0,0,0,0,1.126912112,0,0
AOA_ASV 106,0,0,0,0,0,0,0,0,0
AOA_ASV 111,0,0,0,0,0,4.807354922,0,0,0
AOA_ASV 18,0,0,0,0,0,0,0,0,0
AOA_ASV 38,0,0,0,0,0,0,0,0,0
AOA_ASV 49,0,0,0,0,0,0,0,0,0
COM_ASV 1,0,0,0,0,0,0,0,0,0
COM_ASV 18,0,0,0,0,0,0.85010457,0,0,0
COM_ASV 119,0,0,0,0,0,0,0,0,0
COM_ASV 24,0,0,0,-0.870192653,0,0,0,0,0
COM_ASV 3,0,0,0,0,0,0,0,0,0
COM_ASV 93,0,0,0,0,0,0,0,0,0
