"","S51","S52","S59","S60","S61","S62","S69","S70"
"ASV_8",130,118,139,76,167,168,127,96
"ASV_58",12,0,5,49,22,5,3,11
"ASV_21",113,69,50,119,114,88,16,68
"ASV_13",63,164,73,46,28,58,113,119
"ASV_4",91,0,164,80,101,163,246,195
"ASV_2",77,0,206,102,73,145,323,233
"ASV_6",85,215,91,81,99,137,184,146
"ASV_80",8,0,17,0,9,13,9,3
"ASV_37",44,61,21,58,66,31,8,22
"ASV_85",11,0,10,10,11,11,11,7
"ASV_44",39,78,26,43,47,29,27,38
"ASV_15",46,63,73,23,26,67,93,26
"ASV_32",15,0,25,16,38,24,57,68
"ASV_53",36,0,21,21,52,0,16,0
"ASV_18",63,0,54,52,73,62,51,88
"ASV_10",17,0,89,21,6,8,6,0
"ASV_51",11,0,23,9,15,20,36,30
"ASV_30",70,0,39,78,82,42,21,23
"ASV_47",30,0,20,30,37,27,32,57
"ASV_11",162,380,131,114,161,106,155,371
"ASV_93",4,0,2,6,19,14,1,4
"ASV_22",88,91,141,96,67,46,55,68
"ASV_19",86,0,163,116,67,43,39,41
"ASV_41",51,0,21,120,90,37,16,29
"ASV_55",7,0,6,12,35,11,12,68
"ASV_24",175,0,29,125,161,74,12,59
"ASV_59",31,0,21,33,49,18,4,8
"ASV_33",97,59,18,112,114,45,4,39
"ASV_14",261,504,73,192,322,199,24,74
"ASV_29",117,104,38,102,223,168,22,105
"ASV_86",20,0,11,10,15,5,8,0
"ASV_63",22,0,18,16,15,10,10,0
"ASV_17",90,222,140,66,56,95,78,58
"ASV_23",34,102,114,42,21,46,83,46
"ASV_70",12,0,14,9,5,15,13,16
"ASV_1",82,441,367,155,105,447,222,47
"ASV_5",20,0,104,47,26,100,61,0
"ASV_9",199,456,191,130,138,157,146,161
"ASV_27",77,0,68,68,47,60,59,46
"ASV_45",42,0,23,30,29,34,36,54
"ASV_28",60,0,58,56,28,33,46,87
"ASV_36",31,0,19,17,33,35,40,38
"ASV_35",58,109,21,39,22,21,37,58
"ASV_48",19,0,19,18,16,26,38,47
"ASV_83",1,0,3,3,2,5,24,18
"ASV_64",9,0,2,12,13,9,46,41
"ASV_84",10,0,8,19,8,7,4,1
"ASV_12",171,273,86,84,75,96,145,208
"ASV_89",3,52,6,0,2,0,8,5
"ASV_31",10,0,14,9,21,58,121,85
