"","S77","S78","S79","S80","S89","S90","S91","S92"
"ASV_38",6,0,12,3,95,3,6,0
"ASV_8",125,114,152,143,103,67,163,148
"ASV_13",86,121,75,69,47,52,77,69
"ASV_4",143,166,244,179,120,143,157,167
"ASV_2",241,312,256,241,247,321,173,192
"ASV_6",164,122,156,193,213,207,141,143
"ASV_80",8,3,18,4,0,7,10,20
"ASV_39",42,40,18,19,36,31,17,13
"ASV_34",59,54,16,24,26,36,7,18
"ASV_7",99,16,23,63,335,433,4,3
"ASV_49",16,5,3,10,10,8,0,25
"ASV_15",57,87,84,78,50,65,48,78
"ASV_10",102,89,45,122,205,217,4,23
"ASV_19",20,47,52,17,5,5,70,78
"ASV_17",57,92,79,47,16,21,97,127
"ASV_23",43,53,69,39,29,41,24,29
"ASV_70",4,19,13,6,6,7,9,16
"ASV_3",682,280,385,330,402,392,31,94
"ASV_26",106,40,61,80,87,81,14,40
"ASV_54",23,14,15,32,38,24,18,30
"ASV_1",766,638,874,1048,943,908,491,885
"ASV_16",63,45,86,138,84,60,44,103
"ASV_5",366,277,244,301,263,265,95,190
"ASV_9",67,101,112,79,42,26,158,167
"ASV_36",8,18,21,15,13,0,83,65
"ASV_12",40,127,68,52,17,0,77,73
"ASV_31",9,16,8,7,15,14,15,31
