"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_95","1a - Rainout",1.84127706363075,0.640508172025301,Inf,2.87471283591682,0.00404395111784267,"1a","Rainout",0.117274582417437
"2","ASV_38","1a - Rainout",0.599597303324461,0.230715599352512,Inf,2.59885896318754,0.00935341940186743,"1a","Rainout",0.135624581327078
"3","ASV_8","1a - Rainout",0.257678351137274,0.263900482343957,Inf,0.976422433367992,0.328855169027567,"1a","Rainout",0.830839866304095
"4","ASV_13","1a - Rainout",0.0742600424745329,0.301771978919338,Inf,0.246079979792896,0.805620320452061,"1a","Rainout",0.973457887212907
"5","ASV_4","1a - Rainout",0.115112281299113,0.216438764255675,Inf,0.531846879162241,0.594832051240674,"1a","Rainout",0.830839866304095
"6","ASV_2","1a - Rainout",0.0813928555329931,0.100238149329257,Inf,0.811994795171627,0.416794618063014,"1a","Rainout",0.830839866304095
"7","ASV_6","1a - Rainout",0.0471151819833283,0.052396557389682,Inf,0.899203770830301,0.368544132183854,"1a","Rainout",0.830839866304095
"8","ASV_39","1a - Rainout",0.00786392172824577,0.171415212015607,Inf,0.0458764518958198,0.963408723075972,"1a","Rainout",0.982766956325706
"9","ASV_34","1a - Rainout",-0.587883169208804,0.468694274264171,Inf,-1.25429987411678,0.209733029682151,"1a","Rainout",0.830839866304095
"10","ASV_7","1a - Rainout",-0.0493085757671739,1.10434011846183,Inf,-0.044649809368379,0.964386440086502,"1a","Rainout",0.982766956325706
"11","ASV_49","1a - Rainout",-0.616978952123528,0.646248440523208,Inf,-0.954708612718689,0.33972507316336,"1a","Rainout",0.830839866304095
"12","ASV_15","1a - Rainout",-0.218994530021729,0.19512160459234,Inf,-1.12234896017417,0.261714096679267,"1a","Rainout",0.830839866304095
"13","ASV_18","1a - Rainout",-0.584486445626321,1.11962059835827,Inf,-0.52203973960766,0.601642661806414,"1a","Rainout",0.830839866304095
"14","ASV_10","1a - Rainout",-0.169842944542386,0.597228555124476,Inf,-0.284385170610248,0.776115222199231,"1a","Rainout",0.973457887212907
"15","ASV_22","1a - Rainout",-0.450604371425447,0.831098430006056,Inf,-0.542179307717094,0.587694988553271,"1a","Rainout",0.830839866304095
"16","ASV_17","1a - Rainout",0.0216613357889614,0.48725652503133,Inf,0.0444557120862949,0.964541153685443,"1a","Rainout",0.982766956325706
"17","ASV_23","1a - Rainout",-0.14696506052269,0.205995861683628,Inf,-0.713436956070514,0.475575411571689,"1a","Rainout",0.830839866304095
"18","ASV_70","1a - Rainout",-0.229215827792913,0.432279116853997,Inf,-0.530249597669857,0.595938887326562,"1a","Rainout",0.830839866304095
"19","ASV_3","1a - Rainout",0.0102602169821557,0.475007917016776,Inf,0.0216000967870044,0.982766956325706,"1a","Rainout",0.982766956325706
"20","ASV_26","1a - Rainout",-0.194454107845343,0.228540108704267,Inf,-0.850853309503623,0.394850844020384,"1a","Rainout",0.830839866304095
"21","ASV_125","1a - Rainout",-0.983570429743204,0.94013334868993,Inf,-1.04620310630806,0.295467269050435,"1a","Rainout",0.830839866304095
"22","ASV_1","1a - Rainout",-0.131695354574,0.130637343880244,Inf,-1.00809883806828,0.313407015404281,"1a","Rainout",0.830839866304095
"23","ASV_16","1a - Rainout",-0.23242355929191,0.116729970418154,Inf,-1.99112154709981,0.0464675261284818,"1a","Rainout",0.449186085908657
"24","ASV_5","1a - Rainout",-0.200291285799792,0.113348494594462,Inf,-1.76703966397077,0.0772215859082178,"1a","Rainout",0.559856497834579
"25","ASV_9","1a - Rainout",0.0945568565637827,0.517839806294401,Inf,0.18259866355277,0.855112933043582,"1a","Rainout",0.982766956325706
"26","ASV_36","1a - Rainout",0.664717109296281,0.957419618437678,Inf,0.694279808451147,0.487506751076562,"1a","Rainout",0.830839866304095
"27","ASV_25","1a - Rainout",-0.258027133645237,0.380809533654218,Inf,-0.677575299045769,0.49804101203509,"1a","Rainout",0.830839866304095
"28","ASV_12","1a - Rainout",0.2079424266042,0.538284777631959,Inf,0.386305604849142,0.699270350016264,"1a","Rainout",0.921765461385075
"29","ASV_31","1a - Rainout",-0.319453767678894,0.286887821700397,Inf,-1.1135145639347,0.26548749691159,"1a","Rainout",0.830839866304095
