"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_38","1a - Rainout",-0.000986139438760998,1.23517836752712,Inf,-0.000798378165199972,0.999362986455978,"1a","Rainout",0.999362986455978
"2","ASV_8","1a - Rainout",0.199320428105027,0.224849763037449,Inf,0.886460476597566,0.375369442891305,"1a","Rainout",0.986806759971859
"3","ASV_13","1a - Rainout",0.666707936546378,1.28908004276409,Inf,0.517196694098841,0.605018859550457,"1a","Rainout",0.986806759971859
"4","ASV_4","1a - Rainout",0.0225069244553673,0.51340177131749,Inf,0.0438388134065259,0.96503288818571,"1a","Rainout",0.999362986455978
"5","ASV_2","1a - Rainout",-0.0684613092156549,0.17131397696084,Inf,-0.399624773355791,0.689432907051963,"1a","Rainout",0.986806759971859
"6","ASV_6","1a - Rainout",0.0744450112079715,0.277689384975407,Inf,0.268087349520273,0.788632083159171,"1a","Rainout",0.986806759971859
"7","ASV_39","1a - Rainout",0.157105964001063,0.318049148135089,Inf,0.493967567346961,0.621329084695005,"1a","Rainout",0.986806759971859
"8","ASV_34","1a - Rainout",-0.365754736647597,0.468426932709489,Inf,-0.780814917135501,0.434911359215666,"1a","Rainout",0.986806759971859
"9","ASV_7","1a - Rainout",0.170731627006405,1.06172367489705,Inf,0.160806084523792,0.872246132850748,"1a","Rainout",0.986806759971859
"10","ASV_49","1a - Rainout",-1.50681060458947,0.265426872598015,Inf,-5.67693312225969,1.37131053790803e-08,"1a","Rainout",3.56540739856088e-07
"11","ASV_20","1a - Rainout",-0.365094564987925,0.756744971716351,Inf,-0.482453902745948,0.629483537509218,"1a","Rainout",0.986806759971859
"12","ASV_15","1a - Rainout",0.0257453487094456,0.230063850594115,Inf,0.111905232582003,0.910898547666331,"1a","Rainout",0.986806759971859
"13","ASV_10","1a - Rainout",-0.495999335807464,1.07749800453128,Inf,-0.460325062061927,0.645282914712159,"1a","Rainout",0.986806759971859
"14","ASV_51","1a - Rainout",-0.358442929317624,1.05168806796898,Inf,-0.340826277519577,0.733234367011808,"1a","Rainout",0.986806759971859
"15","ASV_11","1a - Rainout",-1.73181577061945,2.19776545524884,Inf,-0.787989349128874,0.430702935922498,"1a","Rainout",0.986806759971859
"16","ASV_19","1a - Rainout",0.680497784551969,1.15408290178833,Inf,0.589643762590616,0.555429505565944,"1a","Rainout",0.986806759971859
"17","ASV_17","1a - Rainout",-0.285107563334599,0.455950994010327,Inf,-0.625303085375313,0.531772155359319,"1a","Rainout",0.986806759971859
"18","ASV_23","1a - Rainout",-0.130982701330328,0.554536126780605,Inf,-0.236202286928999,0.813275705009672,"1a","Rainout",0.986806759971859
"19","ASV_3","1a - Rainout",0.123585368473486,0.435793328615565,Inf,0.283587105075917,0.776726820243924,"1a","Rainout",0.986806759971859
"20","ASV_1","1a - Rainout",0.184496767997866,0.400396860701885,Inf,0.460784751594826,0.644953042757674,"1a","Rainout",0.986806759971859
"21","ASV_16","1a - Rainout",0.848018254341987,0.921208211267257,Inf,0.920550038492833,0.357285396910448,"1a","Rainout",0.986806759971859
"22","ASV_5","1a - Rainout",0.253910152027648,0.377484662423603,Inf,0.672637003043892,0.501178254661178,"1a","Rainout",0.986806759971859
"23","ASV_9","1a - Rainout",-0.151440614556619,0.542731707871182,Inf,-0.279034027974212,0.780218710900696,"1a","Rainout",0.986806759971859
"24","ASV_28","1a - Rainout",-0.655540313731173,0.865942008063598,Inf,-0.757025652557356,0.449034493991838,"1a","Rainout",0.986806759971859
"25","ASV_12","1a - Rainout",0.111535864914288,0.913380481221661,Inf,0.122113256422019,0.902809323344546,"1a","Rainout",0.986806759971859
"26","ASV_31","1a - Rainout",-0.342032686363269,0.888425956803213,Inf,-0.384987272990078,0.700246844861057,"1a","Rainout",0.986806759971859
