"","RR_M_042822","RR_M_060122","RR_M_070522","RR_M_072022","RR_M_091322","RR_D_042822","RR_D_060122","RR_D_070522","RR_D_072022","RR_D_091322","RR_K_042822","RR_K_060122","RR_K_070522","RR_K_072022","RR_K_091322"
"ASV_18",0,0,0,0,0,0.272433103836043,0.795415308746079,0,0,0,0,0,0,0,0
"ASV_106",0,0,0,0,0,-1.81942775435818,0,0,0,0,0,0,0,0,0
"ASV_1",0,0,0,0,0,0,0,0,0,0,0.387913345919728,0,0,0,0
"ASV_29",0,0,0,0,0,0,0.917537839808027,0,0,0,0,0,0,0,0
"ASV_27",0,0,0,0,0,0,-0.468725370172832,0,0,0,0,0,0,0,0
"ASV_49",0,0,0,0,2.33880191345176,0,0,0,0,0,0,2.24792751344359,0,0,0
"ASV_80",0,0,0,0,0,0,0,-1.4262647547021,0,0,0,0,0,0,0
"ASV_53",0,0,0,0,0,0,0,-2.57346686188333,0,1.57115670119613,0,0,0,0,0
"ASV_86",0,0,0,0,0,0,0,-1.84799690655495,0,0,0,0,0,0,0
"ASV_125",0,0,0,0,0,0,0,0,0,0,0,0,2.32192809488736,0,0
"ASV_61",0,0,0,0,0,0,0,0,-1.70781924850669,-1.58496250072116,0,0,0,0,0
"ASV_93",0,0,0,0,0,0,0,0,2.52356195605701,0,0,0,0,0,0
"ASV_38",0,0,0,0,0,0,0,0,0,0,0,0,0,-4.30985526258679,-0.774118592583672
"ASV_84",0,0,0,0,0,0,0,0,0,1.8073549220576,0,0,0,0,0
"ASV_95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.02748073642211
"ASV_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416473731394363
