"","S123","S124","S131","S132","S133","S134","S141","S142"
"ASV_8",121,168,120,92,119,168,138,115
"ASV_62",19,5,8,44,25,12,0,5
"ASV_58",20,11,5,51,31,7,0,15
"ASV_21",109,77,63,103,162,97,25,71
"ASV_120",0,1,8,1,0,2,0,8
"ASV_13",63,95,90,80,35,66,112,135
"ASV_4",103,94,140,85,91,198,202,251
"ASV_2",82,86,185,138,78,153,397,278
"ASV_6",122,107,145,92,95,108,223,146
"ASV_80",10,22,12,9,17,14,4,0
"ASV_39",9,28,16,19,11,26,24,22
"ASV_37",57,43,19,63,53,30,14,19
"ASV_85",15,17,15,13,10,17,11,11
"ASV_44",39,45,36,75,48,48,40,42
"ASV_34",25,65,67,24,0,7,5,3
"ASV_7",1,0,46,3,3,6,6,0
"ASV_49",0,20,4,54,8,18,19,16
"ASV_15",56,105,75,41,15,82,100,38
"ASV_32",0,25,37,39,50,41,94,125
"ASV_18",97,81,88,81,121,92,75,112
"ASV_40",61,37,32,34,48,34,24,36
"ASV_10",18,20,130,24,2,12,21,0
"ASV_51",17,17,20,21,20,32,28,32
"ASV_30",65,53,48,74,97,60,21,38
"ASV_47",52,40,27,42,47,36,35,85
"ASV_11",191,164,113,187,161,163,170,374
"ASV_56",35,34,42,32,0,17,33,66
"ASV_93",1,3,0,1,21,1,5,13
"ASV_22",120,125,159,103,127,84,67,68
"ASV_19",112,131,141,126,113,49,26,34
"ASV_41",63,25,13,108,74,23,14,44
"ASV_75",19,15,4,54,42,7,0,8
"ASV_55",25,8,9,15,41,23,24,66
"ASV_24",90,38,17,109,153,64,13,47
"ASV_59",20,8,6,38,28,14,1,4
"ASV_106",5,4,0,8,8,4,0,1
"ASV_46",66,33,0,50,67,49,0,23
"ASV_33",65,35,12,70,82,48,0,33
"ASV_14",233,163,76,123,244,140,17,59
"ASV_29",57,65,17,58,170,105,26,47
"ASV_63",43,29,18,13,18,19,8,0
"ASV_17",85,105,107,67,46,67,69,47
"ASV_23",26,37,95,59,21,40,70,38
"ASV_70",11,9,9,12,10,8,6,17
"ASV_1",83,247,326,190,100,307,234,45
"ASV_5",45,57,101,42,19,72,86,0
"ASV_9",185,207,169,128,104,142,130,89
"ASV_27",95,103,72,42,43,48,59,21
"ASV_45",46,33,35,0,25,22,51,43
"ASV_28",64,47,47,59,30,37,46,82
"ASV_36",41,30,38,43,44,51,16,18
"ASV_35",61,44,15,32,32,35,27,44
"ASV_48",15,8,17,18,30,35,22,22
"ASV_83",0,1,2,2,3,2,25,21
"ASV_64",0,4,10,5,4,10,46,40
"ASV_84",0,4,3,4,2,15,3,1
"ASV_42",29,18,13,16,15,13,52,55
"ASV_12",170,141,62,57,72,77,115,136
"ASV_89",2,0,1,0,3,0,8,9
"ASV_31",3,10,5,3,28,59,112,88
