"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_8","1a - Rainout",0.0470642647557714,0.173441804810656,Inf,0.271354791350048,0.786118169235856,"1a","Rainout",0.985708457578853
"2","ASV_21","1a - Rainout",-0.213123155586383,0.304048307436129,Inf,-0.70095162635021,0.483333204292378,"1a","Rainout",0.985708457578853
"3","ASV_13","1a - Rainout",0.931992964181043,0.95932093183202,Inf,0.971513216542885,0.331292774897401,"1a","Rainout",0.943213240690806
"4","ASV_4","1a - Rainout",0.0339760141983465,0.231671461098149,Inf,0.146656018990411,0.883403534906394,"1a","Rainout",0.985708457578853
"5","ASV_2","1a - Rainout",0.066296335839356,0.406868243069816,Inf,0.162943009115558,0.870563306946133,"1a","Rainout",0.985708457578853
"6","ASV_6","1a - Rainout",0.0911124657508231,0.208786161460537,Inf,0.436391306365602,0.662552845453937,"1a","Rainout",0.985708457578853
"7","ASV_80","1a - Rainout",2.72280650342613,1.31283467057529,Inf,2.07399039989778,0.0380802024528138,"1a","Rainout",0.485522581273375
"8","ASV_39","1a - Rainout",0.0750039489284251,0.695288666986192,Inf,0.107874545479848,0.914095209035328,"1a","Rainout",0.985708457578853
"9","ASV_37","1a - Rainout",0.0301517958535132,0.375653541499073,Inf,0.080264905085655,0.936026569811789,"1a","Rainout",0.985708457578853
"10","ASV_44","1a - Rainout",-0.0338412286971009,0.195774270535049,Inf,-0.172858407821483,0.862762725182551,"1a","Rainout",0.985708457578853
"11","ASV_34","1a - Rainout",-0.551597295645225,1.15880978367449,Inf,-0.476003312550707,0.634072017957954,"1a","Rainout",0.985708457578853
"12","ASV_7","1a - Rainout",1.0608119552418,0.54439064377796,Inf,1.94862267999314,0.051340501601671,"1a","Rainout",0.523673116337044
"13","ASV_15","1a - Rainout",-0.102892202137621,0.255030959254153,Inf,-0.403449849534083,0.686617321045475,"1a","Rainout",0.985708457578853
"14","ASV_18","1a - Rainout",-0.207481101240544,0.166685040585743,Inf,-1.24474938189679,0.213223887772407,"1a","Rainout",0.938804600839129
"15","ASV_40","1a - Rainout",0.976768071136207,0.736710878566634,Inf,1.32584993591602,0.184889408695879,"1a","Rainout",0.938804600839129
"16","ASV_10","1a - Rainout",1.31735880612164,0.93773765506025,Inf,1.40482660476826,0.160072845766457,"1a","Rainout",0.938804600839129
"17","ASV_51","1a - Rainout",0.490087301780031,0.674569201503128,Inf,0.72651894081138,0.467520700367934,"1a","Rainout",0.985708457578853
"18","ASV_30","1a - Rainout",0.0565365203596378,0.399999916281113,Inf,0.141341330481442,0.887600300323241,"1a","Rainout",0.985708457578853
"19","ASV_47","1a - Rainout",0.17817803304866,0.266530768171618,Inf,0.668508308706528,0.503809180012697,"1a","Rainout",0.985708457578853
"20","ASV_11","1a - Rainout",0.000173797136646261,0.296617456809796,Inf,0.000585930236593283,0.999532495337265,"1a","Rainout",0.999532495337265
"21","ASV_56","1a - Rainout",0.314417703212963,0.743293835088013,Inf,0.423005934356677,0.672290931344082,"1a","Rainout",0.985708457578853
"22","ASV_93","1a - Rainout",-1.87623123258866,0.825852485449017,Inf,-2.27187211475008,0.0230942355893451,"1a","Rainout",0.474150897638767
"23","ASV_22","1a - Rainout",0.206467711228096,0.184068760074349,Inf,1.1216879558742,0.261995139287082,"1a","Rainout",0.943213240690806
"24","ASV_19","1a - Rainout",0.192735564555961,0.345772539385573,Inf,0.557405642733937,0.577250311038214,"1a","Rainout",0.985708457578853
"25","ASV_41","1a - Rainout",-0.0407609843036863,0.645315547449619,Inf,-0.0631644231489225,0.949635574399179,"1a","Rainout",0.985708457578853
"26","ASV_75","1a - Rainout",-0.427762604734519,0.897252267355179,Inf,-0.476747309867971,0.633542069718718,"1a","Rainout",0.985708457578853
"27","ASV_55","1a - Rainout",-0.153238296301745,0.415042194920364,Inf,-0.369211367367472,0.711970183600182,"1a","Rainout",0.985708457578853
"28","ASV_24","1a - Rainout",-0.991019101501832,1.00027373713244,Inf,-0.990747897013534,0.321808696727899,"1a","Rainout",0.943213240690806
"29","ASV_59","1a - Rainout",-0.209744992256007,0.783172426908535,Inf,-0.267814577032476,0.788842049629908,"1a","Rainout",0.985708457578853
"30","ASV_106","1a - Rainout",-0.493205356319767,1.0051538267071,Inf,-0.490676494696854,0.623655273818912,"1a","Rainout",0.985708457578853
"31","ASV_33","1a - Rainout",-0.822370938181056,0.932728101675833,Inf,-0.881683458130512,0.377948008859608,"1a","Rainout",0.943213240690806
"32","ASV_14","1a - Rainout",-0.113258597228275,0.359068330861574,Inf,-0.315423521078885,0.752440110409554,"1a","Rainout",0.985708457578853
"33","ASV_29","1a - Rainout",-1.09295421974946,0.928805976107296,Inf,-1.17673039134624,0.239303133547229,"1a","Rainout",0.938804600839129
"34","ASV_111","1a - Rainout",-3.29988978112935,0.881378740307468,Inf,-3.74400882414997,0.000181107288115691,"1a","Rainout",0.00923647169390022
"35","ASV_133","1a - Rainout",-0.609152005871796,0.46880719201398,Inf,-1.29936574405973,0.193818441895976,"1a","Rainout",0.938804600839129
"36","ASV_17","1a - Rainout",0.0658614958816636,0.311566221635633,Inf,0.211388434650938,0.832584180658431,"1a","Rainout",0.985708457578853
"37","ASV_23","1a - Rainout",0.0554663726041918,0.435959971689563,Inf,0.127228131493889,0.898759840588199,"1a","Rainout",0.985708457578853
"38","ASV_70","1a - Rainout",-0.10091687997263,0.336049964462528,Inf,-0.300303200847036,0.763945891926306,"1a","Rainout",0.985708457578853
"39","ASV_1","1a - Rainout",0.0609635259440308,0.543262617127072,Inf,0.112217413865919,0.910651022111004,"1a","Rainout",0.985708457578853
"40","ASV_9","1a - Rainout",0.178204601494206,0.280992758463272,Inf,0.634196420109877,0.525952643570074,"1a","Rainout",0.985708457578853
"41","ASV_27","1a - Rainout",0.363376259110454,0.367881483651912,Inf,0.987753597988311,0.323273337893757,"1a","Rainout",0.943213240690806
"42","ASV_45","1a - Rainout",0.551455952324096,0.637267995371651,Inf,0.865343868402633,0.386850079731111,"1a","Rainout",0.943213240690806
"43","ASV_28","1a - Rainout",-0.302391515846077,0.184112842567357,Inf,-1.64242489350219,0.100501979480247,"1a","Rainout",0.854266825582096
"44","ASV_36","1a - Rainout",0.59167310378482,0.685953685926312,Inf,0.862555469741116,0.388381922637391,"1a","Rainout",0.943213240690806
"45","ASV_35","1a - Rainout",-0.115666229904292,0.2670360202016,Inf,-0.433148418767509,0.664906949110692,"1a","Rainout",0.985708457578853
"46","ASV_48","1a - Rainout",0.17735611719735,0.522378502211866,Inf,0.339516493206335,0.734220674396003,"1a","Rainout",0.985708457578853
"47","ASV_64","1a - Rainout",-1.15550360909112,0.947010523377537,Inf,-1.22015920685863,0.222404527615261,"1a","Rainout",0.938804600839129
"48","ASV_84","1a - Rainout",-1.03519358819597,0.470796578880409,Inf,-2.19881289421802,0.0278912292728686,"1a","Rainout",0.474150897638767
"49","ASV_12","1a - Rainout",-0.30090695542589,0.25422869677275,Inf,-1.1836073552895,0.236568527446504,"1a","Rainout",0.938804600839129
