"","S149","S150","S151","S152","S161","S162","S163","S164"
"ASV_38",7,1,9,38,9,13,0,3
"ASV_8",126,74,130,115,97,101,149,192
"ASV_13",80,131,63,79,54,80,76,67
"ASV_4",180,181,249,197,155,159,189,225
"ASV_43",25,28,20,15,16,0,23,14
"ASV_2",282,306,272,274,239,284,215,247
"ASV_6",198,114,196,194,172,158,161,153
"ASV_80",12,8,9,15,0,11,11,27
"ASV_39",22,21,25,23,33,26,21,17
"ASV_34",77,73,17,37,29,34,3,21
"ASV_7",132,24,18,63,491,517,3,5
"ASV_49",25,30,3,23,10,7,0,18
"ASV_15",104,80,145,88,65,52,51,101
"ASV_32",37,40,27,18,0,13,34,36
"ASV_18",58,72,63,70,14,0,124,130
"ASV_10",208,101,49,139,277,172,21,27
"ASV_19",41,60,38,22,0,10,72,76
"ASV_17",73,84,61,36,15,19,81,99
"ASV_23",46,51,43,46,38,43,21,18
"ASV_3",470,297,336,232,341,308,27,82
"ASV_26",89,56,65,74,68,70,20,42
"ASV_1",599,653,845,1052,938,884,358,759
"ASV_16",56,49,64,89,73,67,50,99
"ASV_5",299,293,194,258,199,240,70,174
"ASV_9",85,117,86,78,18,41,151,151
"ASV_27",40,76,32,38,7,0,72,64
"ASV_28",20,36,25,34,10,0,75,44
"ASV_84",2,5,1,3,0,2,15,5
"ASV_12",50,131,80,50,11,17,84,49
"ASV_31",11,18,6,10,14,18,6,15
