"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_38","1a - Rainout",-0.41940847026211,0.80314042216654,Inf,-0.522210635508445,0.601523681748975,"1a","Rainout",0.972138496841934
"2","ASV_8","1a - Rainout",0.157509369613374,0.249722183628174,Inf,0.630738396264783,0.528211589089498,"1a","Rainout",0.972138496841934
"3","ASV_13","1a - Rainout",-0.178066307992471,0.190446461193574,Inf,-0.934994049647792,0.349791365964762,"1a","Rainout",0.972138496841934
"4","ASV_4","1a - Rainout",0.0807684788279274,0.158258378803581,Inf,0.510358310495341,0.609800458222035,"1a","Rainout",0.972138496841934
"5","ASV_43","1a - Rainout",0.716494163816361,0.528921226940682,Inf,1.35463302911969,0.175534504779419,"1a","Rainout",0.802627122704224
"6","ASV_2","1a - Rainout",-0.0324451002685468,0.0652434164373906,Inf,-0.497293091628365,0.618982382718266,"1a","Rainout",0.972138496841934
"7","ASV_6","1a - Rainout",0.237935216447593,0.107846212945672,Inf,2.20624544848371,0.0273668186586083,"1a","Rainout",0.507205335865899
"8","ASV_80","1a - Rainout",-0.639363843122194,0.503995908571358,Inf,-1.2685893521131,0.204587563965573,"1a","Rainout",0.802627122704224
"9","ASV_39","1a - Rainout",0.206935269434182,0.14627111617876,Inf,1.41473774754875,0.15714540244805,"1a","Rainout",0.802627122704224
"10","ASV_34","1a - Rainout",-0.515233705007502,0.49759043074552,Inf,-1.03545742275539,0.300455340601824,"1a","Rainout",0.972138496841934
"11","ASV_7","1a - Rainout",0.061254761147655,1.21823003106253,Inf,0.0502817691123812,0.959897851531902,"1a","Rainout",0.996564119106404
"12","ASV_49","1a - Rainout",-1.02878906024983,0.618835163377917,Inf,-1.66246057291601,0.096420462395437,"1a","Rainout",0.802627122704224
"13","ASV_15","1a - Rainout",0.152653608178339,0.216553493207021,Inf,0.704923323644591,0.480857954538999,"1a","Rainout",0.972138496841934
"14","ASV_32","1a - Rainout",-0.373452318844846,0.776270721255745,Inf,-0.481085153180485,0.630455979597573,"1a","Rainout",0.972138496841934
"15","ASV_18","1a - Rainout",0.636511526164595,1.1380741433904,Inf,0.559288276481164,0.575964995031294,"1a","Rainout",0.972138496841934
"16","ASV_10","1a - Rainout",0.0567308695066624,0.556673336396897,Inf,0.101910520582603,0.918827699225973,"1a","Rainout",0.996564119106404
"17","ASV_19","1a - Rainout",-0.447840785381793,1.02233226943447,Inf,-0.438057957056886,0.66134427054663,"1a","Rainout",0.972138496841934
"18","ASV_17","1a - Rainout",0.0673099136045403,0.521469053517227,Inf,0.129077484369486,0.897296337822367,"1a","Rainout",0.996564119106404
"19","ASV_23","1a - Rainout",0.000723306374190497,0.167966592243208,Inf,0.00430625140708448,0.996564119106404,"1a","Rainout",0.996564119106404
"20","ASV_3","1a - Rainout",0.0456151211151149,0.531048382824177,Inf,0.0858963563216752,0.93154880804115,"1a","Rainout",0.996564119106404
"21","ASV_26","1a - Rainout",0.0122260285607512,0.182003979840558,Inf,0.0671745121807868,0.946442775615033,"1a","Rainout",0.996564119106404
"22","ASV_1","1a - Rainout",-0.174446242039162,0.140393800005398,Inf,-1.24254947178903,0.214033899387793,"1a","Rainout",0.802627122704224
"23","ASV_16","1a - Rainout",-0.145539451610946,0.161045843564865,Inf,-0.903714423106652,0.366146849193475,"1a","Rainout",0.972138496841934
"24","ASV_5","1a - Rainout",-0.252576346678388,0.187189673387932,Inf,-1.34930705367998,0.177238360928578,"1a","Rainout",0.802627122704224
"25","ASV_9","1a - Rainout",-0.17021604928431,0.524008209301239,Inf,-0.32483469965345,0.745306180912149,"1a","Rainout",0.972138496841934
"26","ASV_27","1a - Rainout",0.375471610082733,1.0635845590468,Inf,0.353024690786443,0.72406993018693,"1a","Rainout",0.972138496841934
"27","ASV_28","1a - Rainout",0.507416547619629,0.926579512747702,Inf,0.547623318494193,0.583950574577206,"1a","Rainout",0.972138496841934
"28","ASV_84","1a - Rainout",-0.288609489218292,0.884895968197427,Inf,-0.32615075623658,0.744310296765571,"1a","Rainout",0.972138496841934
"29","ASV_12","1a - Rainout",-0.00797843357688065,0.585470469659905,Inf,-0.0136273885538843,0.9891272535917,"1a","Rainout",0.996564119106404
"30","ASV_31","1a - Rainout",-0.442233088320387,0.208375775274978,Inf,-2.12228646893722,0.0338136890577266,"1a","Rainout",0.507205335865899
