"","S145","S146","S153","S154","S159","S160","S167","S168"
"ASV_8",68,103,73,87,60,43,70,70
"ASV_21",118,53,0,7,0,2,18,63
"ASV_13",35,100,20,48,27,15,154,139
"ASV_4",116,207,55,108,113,74,328,213
"ASV_43",17,30,0,19,37,24,36,32
"ASV_2",140,236,239,271,291,317,374,286
"ASV_6",166,208,205,195,157,125,248,190
"ASV_39",15,30,18,17,13,12,23,26
"ASV_34",4,15,36,48,12,34,5,0
"ASV_7",0,6,573,377,204,306,40,6
"ASV_49",0,6,5,16,17,3,22,13
"ASV_20",0,20,100,108,71,96,81,28
"ASV_15",28,80,46,84,150,120,114,31
"ASV_18",65,74,11,19,5,0,92,139
"ASV_10",7,39,374,391,153,397,20,3
"ASV_17",45,94,34,42,30,26,51,42
"ASV_23",15,29,31,38,23,20,120,56
"ASV_3",14,108,217,274,266,183,53,19
"ASV_1",113,600,899,818,1258,974,387,81
"ASV_5",20,167,242,247,311,252,135,23
"ASV_9",73,116,42,72,32,36,79,51
"ASV_27",26,51,17,27,0,12,21,11
"ASV_28",38,50,11,28,0,20,43,59
"ASV_36",35,50,12,12,20,0,12,20
"ASV_25",0,23,4,22,23,20,206,132
"ASV_12",98,200,22,41,10,17,121,159
"ASV_31",3,17,12,6,9,19,70,95
