"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_8","1a - Rainout",0.0225478398734752,0.264198143127174,Inf,0.0853444297775461,0.931987570501526,"1a","Rainout",0.959667389637598
"2","ASV_4","1a - Rainout",0.0277607710748171,0.488328023809058,Inf,0.0568486134755844,0.954665788570767,"1a","Rainout",0.959667389637598
"3","ASV_43","1a - Rainout",-1.67169980601975,1.11298394883084,Inf,-1.50199812654606,0.13309759266523,"1a","Rainout",0.959667389637598
"4","ASV_2","1a - Rainout",-0.00978999908885421,0.193589278432049,Inf,-0.0505709777325843,0.959667389637598,"1a","Rainout",0.959667389637598
"5","ASV_6","1a - Rainout",0.191794241683946,0.27029015964778,Inf,0.709586475267455,0.477960609014079,"1a","Rainout",0.959667389637598
"6","ASV_39","1a - Rainout",-0.115083955245319,0.458849449490052,Inf,-0.250809836152619,0.801961136455797,"1a","Rainout",0.959667389637598
"7","ASV_34","1a - Rainout",-0.411420841008112,0.695001752399902,Inf,-0.591970940486754,0.553870047811935,"1a","Rainout",0.959667389637598
"8","ASV_7","1a - Rainout",-0.328760337254268,1.44236539929418,Inf,-0.227931380921329,0.819699586312901,"1a","Rainout",0.959667389637598
"9","ASV_49","1a - Rainout",0.367477494683103,0.497066436598536,Inf,0.739292512280209,0.459729395073532,"1a","Rainout",0.959667389637598
"10","ASV_15","1a - Rainout",-0.475044843363184,0.156389091790259,Inf,-3.03758297925466,0.00238483734794163,"1a","Rainout",0.057236096350599
"11","ASV_18","1a - Rainout",-0.703791964604934,1.3954907271279,Inf,-0.504332956803967,0.614027421819527,"1a","Rainout",0.959667389637598
"12","ASV_10","1a - Rainout",-0.385568243477151,0.983929062337523,Inf,-0.391865895861593,0.695157302915478,"1a","Rainout",0.959667389637598
"13","ASV_19","1a - Rainout",-1.94093799342487,1.77973773460127,Inf,-1.09057528853245,0.275459808034691,"1a","Rainout",0.959667389637598
"14","ASV_17","1a - Rainout",-0.310553756652448,0.356140950450813,Inf,-0.871996764930684,0.383210142405733,"1a","Rainout",0.959667389637598
"15","ASV_23","1a - Rainout",-0.441281062732453,0.844432964683647,Inf,-0.522576783697415,0.601268800132376,"1a","Rainout",0.959667389637598
"16","ASV_3","1a - Rainout",-0.0242894772745567,0.451433776930175,Inf,-0.0538051836522494,0.95709037954696,"1a","Rainout",0.959667389637598
"17","ASV_1","1a - Rainout",0.0332921195406944,0.395352820506684,Inf,0.0842086304026547,0.932890556493956,"1a","Rainout",0.959667389637598
"18","ASV_5","1a - Rainout",0.156743647590242,0.359830120762605,Inf,0.435604577121136,0.663123649331109,"1a","Rainout",0.959667389637598
"19","ASV_9","1a - Rainout",-0.0679723766370685,0.470510833987675,Inf,-0.144465061645847,0.885133243771147,"1a","Rainout",0.959667389637598
"20","ASV_27","1a - Rainout",-1.8159372155992,1.37649280546122,Inf,-1.31924933308368,0.18708577040439,"1a","Rainout",0.959667389637598
"21","ASV_28","1a - Rainout",-1.08335314970527,1.00555130433133,Inf,-1.0773723280342,0.281313961447799,"1a","Rainout",0.959667389637598
"22","ASV_36","1a - Rainout",0.669087582843086,0.726243066529753,Inf,0.921299787466783,0.356893932053904,"1a","Rainout",0.959667389637598
"23","ASV_12","1a - Rainout",-0.159288271711207,0.801563462909539,Inf,-0.198721971599126,0.842480235940671,"1a","Rainout",0.959667389637598
"24","ASV_31","1a - Rainout",-0.473080903607089,1.10069167006148,Inf,-0.429803292306794,0.667338737768404,"1a","Rainout",0.959667389637598
