"","RR_M_042822","RR_M_060122","RR_M_070522","RR_D_042822","RR_D_060122","RR_D_070522","RR_K_042822","RR_K_060122","RR_K_070522"
"ASV_39",0,0,0,0.662965012722429,0,0,0,0,0
"ASV_49",0,0,0,1.80069119177659,0,0,0,0,0
"ASV_61",0,0,0,0,1.33786963875638,0,0,0,0
"ASV_6",0,0,0,0,0,0,0,-0.23201595470533,-0.282933963271499
"ASV_31",0,0,0,0,0,0,0,0.721283971933936,0
"ASV_15",0,0,0.680485111765447,0,0,0,0,0,0.643408773104713
"ASV_80",0,0,0,0,0,-1.69389687227432,0,0,0
"ASV_93",0,0,0,0,0,3.13750352374994,0,0,0
"ASV_111",0,0,0,0,0,4.8073549220576,0,0,0
"ASV_84",0,0,0,0,0,1.50250034052918,0,0,0
"ASV_43",0,0,0,0,0,0,0,0,2.01495034146597
"ASV_5",0,0,0,0,0,0,0,0,0.386124807363605
