,Taxonomy
ASV_93,NS-Beta-1.3_OTU1_1-EU885554
ASV_106,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_80,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_86,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_84,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_39,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_6,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_31,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_111,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_43,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_5,NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_1,NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_125,NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_16,NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_18,NS-Gamma-1.2_OTU1_1-EU671146
ASV_27,NS-Gamma-1.2_OTU1_1-EU671146
ASV_53,NS-Gamma-1.2_OTU1_1-EU671146
ASV_61,NS-Gamma-1.2_OTU1_1-EU671146
ASV_29,NS-Gamma-1.Incertae_sedis_OTU1_1-EU651089
ASV_49,NS-Gamma-2.3.1_OTU2_1-KC469632
ASV_15,NS-Gamma-2.3.1_OTU2_1-KC469632
ASV_38,NT-Alpha-1.1.2.2-JN179533
ASV_95,NT-Alpha-1.1.2.2-JN179533
