,Taxonomy
ASV 10,Nitrosolobus-multiformis-Nl1_2667636517
ASV 21,Nitrosolobus-multiformis-Nl1_2667636517
ASV 52,Nitrosolobus-multiformis-Nl1_2667636517
ASV 64,Nitrosolobus-multiformis-Nl1_2667636517
ASV 87,Nitrosolobus-multiformis-Nl1_2667636517
ASV 44,Nitrosomonas-communis-Nm44_2676397764
ASV 1,Nitrosospira-sp-17Nsp14_2671457573
ASV 28,Nitrosospira-sp-17Nsp14_2671457573
ASV 54,Nitrosospira-sp-17Nsp14_2671457573
ASV 71,Nitrosospira-sp-17Nsp14_2671457573
ASV 59,Nitrosospira-sp_2630434854
ASV 12,Nitrosospira-sp_2636913388
ASV 17,Nitrosospira-sp_2636913388
ASV 33,Nitrosospira-sp_2636913388
ASV 35,Nitrosospira-sp_2636913388
ASV 53,Nitrosospira-sp_2636913388
ASV 7,Nitrosospira-sp_2636913388
