,Taxonomy
ASV_40,Nitrosolobus-multiformis-Nl1_2667636517
ASV_87,Nitrosolobus-multiformis-Nl1_2667636517
ASV_64,Nitrosolobus-multiformis-Nl1_2667636517
ASV_21,Nitrosolobus-multiformis-Nl1_2667636517
ASV_23,Nitrosolobus-multiformis-Nl1_2667636517
ASV_72,Nitrosolobus-multiformis-Nl1_2667636517
ASV_10,Nitrosolobus-multiformis-Nl1_2667636517
ASV_52,Nitrosolobus-multiformis-Nl1_2667636517
ASV_44,Nitrosomonas-communis-Nm44_2676397764
ASV_63,Nitrosospira-sp-17Nsp14_2671457573
ASV_71,Nitrosospira-sp-17Nsp14_2671457573
ASV_1,Nitrosospira-sp-17Nsp14_2671457573
ASV_5,Nitrosospira-sp-17Nsp14_2671457573
ASV_54,Nitrosospira-sp-17Nsp14_2671457573
ASV_86,Nitrosospira-sp-17Nsp14_2671457573
ASV_117,Nitrosospira-sp-17Nsp14_2671457573
ASV_28,Nitrosospira-sp-17Nsp14_2671457573
ASV_2,Nitrosospira-sp-17Nsp14_2671457573
ASV_59,Nitrosospira-sp_2630434854
ASV_8,Nitrosospira-sp_2636913388
ASV_12,Nitrosospira-sp_2636913388
ASV_20,Nitrosospira-sp_2636913388
ASV_57,Nitrosospira-sp_2636913388
ASV_3,Nitrosospira-sp_2636913388
ASV_33,Nitrosospira-sp_2636913388
ASV_53,Nitrosospira-sp_2636913388
ASV_56,Nitrosospira-sp_2636913388
ASV_35,Nitrosospira-sp_2636913388
ASV_43,Nitrosospira-sp_2636913388
ASV_134,Nitrosospira-sp_2636913388
