"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_73","1a - Rainout",-1.22816535682293,1.24018082158038,Inf,-0.990311521877799,0.322021876619555,"1a","Rainout",0.624562928282848
"2","ASV_44","1a - Rainout",1.19840328275293,0.378641191642988,Inf,3.16501032957577,0.00155077445544619,"1a","Rainout",0.055371686794345
"3","ASV_549","1a - Rainout",1.57107854030173,1.09544500860771,Inf,1.43419206619832,0.151517460502839,"1a","Rainout",0.3896163270073
"4","ASV_112","1a - Rainout",-23.6303417180187,24444.4694275567,Inf,-0.00096669480955802,0.999228689256577,"1a","Rainout",0.999303624009726
"5","ASV_54","1a - Rainout",0.548693606165985,0.591699117980456,Inf,0.92731861429631,0.353761132472934,"1a","Rainout",0.624562928282848
"6","ASV_1","1a - Rainout",-0.160707493086084,0.0850013791949943,Inf,-1.89064571196449,0.0586716538348034,"1a","Rainout",0.234686615339214
"7","ASV_27","1a - Rainout",-1.90662653382801,1.1350117631787,Inf,-1.67982975655541,0.0929904438017751,"1a","Rainout",0.276658843533565
"8","ASV_36","1a - Rainout",-0.490168655557945,0.581208265378208,Inf,-0.843361467406144,0.399026315291819,"1a","Rainout",0.624562928282848
"9","ASV_2","1a - Rainout",0.246259265894124,0.202787832453878,Inf,1.21436904233459,0.224606831542763,"1a","Rainout",0.53905639570263
"10","ASV_30","1a - Rainout",0.0655766116214614,0.511608613319149,Inf,0.128177301777665,0.898008662441724,"1a","Rainout",0.970137996889647
"11","ASV_5","1a - Rainout",-0.3901054922254,0.196231654029292,Inf,-1.98798452856728,0.0468134010914691,"1a","Rainout",0.234686615339214
"12","ASV_4","1a - Rainout",-0.0956665656347238,0.25218080494618,Inf,-0.379357047635488,0.704422741955774,"1a","Rainout",0.865585490079999
"13","ASV_9","1a - Rainout",1.16345959399468,0.683849633231103,Inf,1.70133833149472,0.0888794740626452,"1a","Rainout",0.276658843533565
"14","ASV_29","1a - Rainout",0.598290867666247,0.690959356805514,Inf,0.865884312548139,0.386553606758159,"1a","Rainout",0.624562928282848
"15","ASV_16","1a - Rainout",0.65237427492086,0.73245372436968,Inf,0.890669612585104,0.373106441524155,"1a","Rainout",0.624562928282848
"16","ASV_18","1a - Rainout",-0.04892509370438,0.20680818163091,Inf,-0.23657233151296,0.812988587188698,"1a","Rainout",0.914612160587285
"17","ASV_11","1a - Rainout",-0.399556810186157,0.425249744698535,Inf,-0.939581540417875,0.34743224863357,"1a","Rainout",0.624562928282848
"18","ASV_14","1a - Rainout",0.250990435679367,0.703658483012426,Inf,0.356693540600625,0.721321241733332,"1a","Rainout",0.865585490079999
"19","ASV_39","1a - Rainout",-0.476998150603857,0.624574625754588,Inf,-0.763716825715687,0.445036011674216,"1a","Rainout",0.667554017511324
"20","ASV_50","1a - Rainout",-1.13256334774795,1.71658315239277,Inf,-0.65977773705238,0.509396472073247,"1a","Rainout",0.733530919785476
"21","ASV_49","1a - Rainout",0.271797013963501,0.886567718331687,Inf,0.306572197863193,0.759169018114651,"1a","Rainout",0.881615633939595
"22","ASV_117","1a - Rainout",1.2237638028537,1.09314141748115,Inf,1.11949266882004,0.262930016752791,"1a","Rainout",0.59159253769378
"23","ASV_38","1a - Rainout",0.301762915131032,0.740088875283241,Inf,0.407738753018742,0.683465483152848,"1a","Rainout",0.865585490079999
"24","ASV_40","1a - Rainout",1.10107493883552,0.406201886615715,Inf,2.71065934235108,0.00671495756604351,"1a","Rainout",0.0805794907925221
"25","ASV_87","1a - Rainout",1.99736782362863,1.1195690201308,Inf,1.78405063708825,0.0744154373504162,"1a","Rainout",0.267895574461498
"26","ASV_21","1a - Rainout",3.21820646400349,1.47101743977221,Inf,2.18774188326539,0.0286884093526242,"1a","Rainout",0.206556547338894
"27","ASV_23","1a - Rainout",3.26420556335443,1.40488253630749,Inf,2.32347223272763,0.0201537976505345,"1a","Rainout",0.18138417885481
"28","ASV_64","1a - Rainout",2.3147685647791,0.782011496446426,Inf,2.96001858706393,0.00307620482190806,"1a","Rainout",0.055371686794345
"29","ASV_77","1a - Rainout",23.150283109916,26524.8247850779,Inf,0.000872777984303203,0.999303624009726,"1a","Rainout",0.999303624009726
"30","ASV_72","1a - Rainout",2.61125497147038,1.2832825262431,Inf,2.03482469220165,0.0418685156045644,"1a","Rainout",0.234686615339214
"31","ASV_10","1a - Rainout",3.4455445155494,1.7945888192455,Inf,1.91996321307631,0.0548625462429881,"1a","Rainout",0.234686615339214
"32","ASV_169","1a - Rainout",0.694326669141053,1.52460385734897,Inf,0.4554144775341,0.648811081714759,"1a","Rainout",0.865081442286345
"33","ASV_188","1a - Rainout",0.122236763071625,1.16228519524555,Inf,0.105169336727033,0.916241441506889,"1a","Rainout",0.970137996889647
"34","ASV_88","1a - Rainout",1.53429820201319,0.932524719814101,Inf,1.64531638616406,0.0999045823871207,"1a","Rainout",0.276658843533565
"35","ASV_217","1a - Rainout",0.679034869809097,0.780060185817574,Inf,0.87049035722469,0.384032486608893,"1a","Rainout",0.624562928282848
"36","ASV_6","1a - Rainout",-1.32277862364845,2.17524863881735,Inf,-0.608104563332875,0.543118125860949,"1a","Rainout",0.752009712730545
