"","S75","S76","S83","S84","S85","S86","S93","S94"
"ASV_73",5,0,6,7,25,0,13,17
"ASV_44",4,3,18,0,19,30,4,0
"ASV_54",11,0,12,31,21,0,0,0
"ASV_94",7,0,7,10,0,0,8,0
"ASV_1",225,264,305,206,231,329,241,232
"ASV_20",1,0,0,0,33,0,7,0
"ASV_36",8,10,0,5,9,16,18,0
"ASV_2",97,105,139,101,55,121,89,0
"ASV_142",1,1,8,0,47,0,0,0
"ASV_30",15,3,40,27,32,15,25,45
"ASV_5",96,70,54,71,32,89,39,53
"ASV_4",92,64,52,90,32,69,51,74
"ASV_9",18,37,18,27,27,34,39,110
"ASV_29",13,20,18,3,24,25,12,0
"ASV_16",26,31,32,0,18,39,37,33
"ASV_18",36,20,23,44,5,25,54,55
"ASV_11",78,37,34,60,41,37,16,46
"ASV_14",28,27,22,29,58,26,28,50
"ASV_39",18,20,2,48,17,29,8,0
"ASV_70",0,10,0,3,19,14,0,11
"ASV_50",16,15,18,16,23,19,6,12
"ASV_86",3,1,53,2,105,0,3,6
"ASV_49",11,8,14,10,15,29,5,33
"ASV_117",3,5,7,4,3,11,0,7
"ASV_326",4,0,5,0,3,0,0,0
"ASV_38",25,11,0,47,6,6,5,9
"ASV_40",7,8,5,2,0,7,0,0
"ASV_21",0,27,31,5,0,22,45,0
"ASV_23",0,35,48,18,0,20,39,0
"ASV_64",0,6,3,1,0,6,8,0
"ASV_72",0,20,15,6,0,11,7,0
"ASV_10",0,22,26,12,0,24,71,0
"ASV_88",0,4,3,3,0,4,2,0
"ASV_89",1,4,9,1,0,5,7,0
"ASV_6",9,28,35,26,32,19,82,50
