"","S77","S78","S79","S80","S89","S90","S91","S92"
"ASV_44",2,19,12,0,7,0,3,0
"ASV_1",217,308,250,223,314,261,195,318
"ASV_47",9,6,1,0,0,4,3,0
"ASV_62",11,12,1,10,6,2,3,0
"ASV_27",43,15,8,23,27,29,21,0
"ASV_103",0,0,4,0,1,7,2,0
"ASV_17",19,7,10,49,25,35,5,27
"ASV_8",26,71,11,22,59,20,26,8
"ASV_12",57,20,10,37,26,49,58,11
"ASV_57",7,0,14,4,1,1,3,6
"ASV_3",46,43,9,51,52,3,145,29
"ASV_33",10,8,0,11,11,1,3,23
"ASV_20",16,20,19,9,0,15,21,0
"ASV_35",9,9,0,5,18,10,8,0
"ASV_7",56,18,15,12,45,50,16,2
"ASV_13",31,31,34,50,16,40,12,11
"ASV_76",10,4,0,3,13,25,0,0
"ASV_92",12,4,0,7,15,26,0,0
"ASV_32",26,18,4,33,16,61,3,13
"ASV_26",21,7,8,8,6,12,6,15
"ASV_66",9,1,0,1,10,15,6,3
"ASV_71",4,7,1,10,0,8,6,11
"ASV_28",23,44,18,13,28,18,0,0
"ASV_36",31,20,7,0,0,53,0,24
"ASV_2",85,132,112,169,156,191,63,70
"ASV_63",48,1,2,0,0,93,4,4
"ASV_30",4,0,14,6,0,0,5,6
"ASV_5",6,33,17,5,0,0,13,8
"ASV_4",7,23,39,12,7,0,29,103
"ASV_9",0,19,46,19,0,3,8,20
"ASV_16",8,31,27,14,0,0,14,12
"ASV_18",6,25,19,7,0,0,9,14
"ASV_11",5,9,12,0,0,0,22,25
"ASV_14",17,19,33,10,0,0,0,16
"ASV_38",0,6,0,4,0,0,8,9
"ASV_15",7,3,0,5,0,3,0,0
"ASV_40",14,4,8,18,15,19,16,6
"ASV_400",1,0,1,4,0,1,0,1
"ASV_87",11,14,0,7,0,0,11,7
"ASV_21",32,18,0,8,0,0,85,8
"ASV_23",36,21,0,5,0,0,127,19
"ASV_77",0,2,0,1,0,0,31,14
"ASV_104",0,2,0,3,0,0,18,5
"ASV_10",28,26,0,19,0,0,65,14
"ASV_88",3,14,0,5,0,0,36,10
"ASV_443",1,0,1,0,28,0,0,0
"ASV_96",12,0,13,0,25,0,0,0
"ASV_232",16,0,5,0,20,0,0,0
