,OTU,contrast,estimate,SE,df,z.ratio,p.value,a,b,p.adjust
11,ASV_85,1a - Rainout,3.024270529,1.327176446,Inf,2.278725288,0.022683401,1a,Rainout,0.725868816
29,ASV_9,1a - Rainout,-3.143936276,1.680824194,Inf,-1.870473002,0.061418163,1a,Rainout,0.82552184
16,ASV_35,1a - Rainout,-1.51930686,0.860300437,Inf,-1.766018933,0.077392673,1a,Rainout,0.82552184
25,ASV_82,1a - Rainout,1.835454734,1.365722653,Inf,1.343943977,0.178966504,1a,Rainout,0.95866527
1,ASV_1,1a - Rainout,-0.648357105,0.53030814,Inf,-1.222604475,0.221479122,1a,Rainout,0.95866527
9,ASV_12,1a - Rainout,1.024884408,0.955333213,Inf,1.072803074,0.283359481,1a,Rainout,0.95866527
19,ASV_13,1a - Rainout,3.032847519,2.860347314,Inf,1.060307433,0.289004759,1a,Rainout,0.95866527
6,ASV_58,1a - Rainout,-2.321911147,2.584669453,Inf,-0.898339687,0.369004481,1a,Rainout,0.95866527
4,ASV_69,1a - Rainout,1.150190068,1.3746223,Inf,0.83673171,0.402743391,1a,Rainout,0.95866527
31,ASV_14,1a - Rainout,1.337100915,1.649068763,Inf,0.810821807,0.417468009,1a,Rainout,0.95866527
10,ASV_57,1a - Rainout,-0.400017649,0.493994628,Inf,-0.809761132,0.418077475,1a,Rainout,0.95866527
30,ASV_18,1a - Rainout,-2.340612198,3.133363424,Inf,-0.746996719,0.455065541,1a,Rainout,0.95866527
15,ASV_20,1a - Rainout,-1.269981372,1.811704464,Inf,-0.700987052,0.483311096,1a,Rainout,0.95866527
12,ASV_3,1a - Rainout,-0.594700373,0.964228196,Inf,-0.616763101,0.537390993,1a,Rainout,0.95866527
21,ASV_32,1a - Rainout,0.893801504,1.494047355,Inf,0.59824175,0.549678637,1a,Rainout,0.95866527
28,ASV_2,1a - Rainout,0.221791294,0.381467338,Inf,0.58141621,0.560959975,1a,Rainout,0.95866527
26,ASV_134,1a - Rainout,0.629094097,1.403897982,Inf,0.448105279,0.654077218,1a,Rainout,0.95866527
3,ASV_27,1a - Rainout,-0.50679549,1.19540752,Inf,-0.423952068,0.67160077,1a,Rainout,0.95866527
8,ASV_8,1a - Rainout,0.479945707,1.401439073,Inf,0.342466338,0.731999973,1a,Rainout,0.95866527
2,ASV_47,1a - Rainout,-0.378775037,1.341619799,Inf,-0.28232666,0.777693045,1a,Rainout,0.95866527
18,ASV_51,1a - Rainout,-0.397309092,1.482613578,Inf,-0.267978857,0.788715594,1a,Rainout,0.95866527
20,ASV_76,1a - Rainout,-0.441093462,1.663894881,Inf,-0.265096952,0.790934775,1a,Rainout,0.95866527
24,ASV_78,1a - Rainout,-0.218602271,0.987192834,Inf,-0.221438268,0.824751199,1a,Rainout,0.95866527
22,ASV_43,1a - Rainout,-0.372964976,1.698799608,Inf,-0.219546187,0.826224606,1a,Rainout,0.95866527
17,ASV_7,1a - Rainout,0.28457427,1.524036101,Inf,0.186724101,0.851876959,1a,Rainout,0.95866527
27,ASV_37,1a - Rainout,-0.273091513,1.640558715,Inf,-0.166462505,0.867792988,1a,Rainout,0.95866527
7,ASV_17,1a - Rainout,-0.178269668,1.182746896,Inf,-0.15072512,0.880192557,1a,Rainout,0.95866527
14,ASV_56,1a - Rainout,-0.233276517,1.549572738,Inf,-0.150542476,0.880336641,1a,Rainout,0.95866527
13,ASV_33,1a - Rainout,0.117489567,0.939302454,Inf,0.125081721,0.900458854,1a,Rainout,0.95866527
23,ASV_61,1a - Rainout,-0.106891105,1.03331916,Inf,-0.103444423,0.917610257,1a,Rainout,0.95866527
5,ASV_90,1a - Rainout,-0.094937009,1.291276919,Inf,-0.073521805,0.941390893,1a,Rainout,0.95866527
32,ASV_40,1a - Rainout,-0.041506524,0.800842146,Inf,-0.051828596,0.95866527,1a,Rainout,0.95866527
