"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_1","1a - Rainout",-0.918151463407155,0.383274424793508,Inf,-2.3955458648247,0.0165956378256297,"1a","Rainout",0.164564114602886
"2","ASV_47","1a - Rainout",-0.1627956951058,0.641677934880448,Inf,-0.253703121545126,0.799724922303023,"1a","Rainout",0.913971339774883
"3","ASV_62","1a - Rainout",0.46744286939674,1.32827700084838,Inf,0.351916707959394,0.724900728593234,"1a","Rainout",0.87354297900765
"4","ASV_27","1a - Rainout",-2.05760613961476,1.5909156073125,Inf,-1.2933471330328,0.195891025968379,"1a","Rainout",0.642682661308797
"5","ASV_101","1a - Rainout",-2.6333938847485,1.26205291418603,Inf,-2.08659546295405,0.0369247177641813,"1a","Rainout",0.246164785094542
"6","ASV_17","1a - Rainout",-0.139080216927492,1.31745146953878,Inf,-0.105567620624524,0.915925416153078,"1a","Rainout",0.999282512406893
"7","ASV_8","1a - Rainout",-0.386534105848176,0.839753167695962,Inf,-0.460294906548211,0.6453045566671,"1a","Rainout",0.87354297900765
"8","ASV_12","1a - Rainout",-0.480836099923817,1.03008475417615,Inf,-0.466792754648995,0.640648160075788,"1a","Rainout",0.87354297900765
"9","ASV_57","1a - Rainout",0.750589179202044,0.324119971281783,Inf,2.3157757796711,0.0205705143253608,"1a","Rainout",0.164564114602886
"10","ASV_85","1a - Rainout",1.74309658019232,1.74937065798573,Inf,0.996413522906212,0.319049265203324,"1a","Rainout",0.708998367118499
"11","ASV_3","1a - Rainout",1.10119649995339,0.420611459165312,Inf,2.61808487609605,0.0088424807964177,"1a","Rainout",0.117899743952236
"12","ASV_33","1a - Rainout",1.36859941790252,0.425242965517545,Inf,3.21839402149041,0.00128910598491441,"1a","Rainout",0.0515642393965765
"13","ASV_53","1a - Rainout",2.83231309109785,1.04198064006728,Inf,2.71820126227583,0.00656378985837065,"1a","Rainout",0.117899743952236
"14","ASV_56","1a - Rainout",1.83399438296281,1.30804248040292,Inf,1.40209084218571,0.160888121398669,"1a","Rainout",0.642682661308797
"15","ASV_20","1a - Rainout",-0.237565789254427,0.723119141674409,Inf,-0.328529249971636,0.742511532156503,"1a","Rainout",0.87354297900765
"16","ASV_65","1a - Rainout",-24.8391264770485,27622.4328326655,Inf,-0.0008992374649808,0.999282512406893,"1a","Rainout",0.999282512406893
"17","ASV_35","1a - Rainout",0.236553395224977,0.391483333905082,Inf,0.604248954522112,0.545678138117333,"1a","Rainout",0.873085020987733
"18","ASV_7","1a - Rainout",-0.429678156466592,0.980231169691622,Inf,-0.438343698662192,0.661137152980093,"1a","Rainout",0.87354297900765
"19","ASV_13","1a - Rainout",-0.0335800822993485,0.920531167690734,Inf,-0.0364790280633172,0.97090040075891,"1a","Rainout",0.999282512406893
"20","ASV_76","1a - Rainout",-1.26476905148238,1.1806848617245,Inf,-1.07121645452036,0.284072114688474,"1a","Rainout",0.708998367118499
"21","ASV_32","1a - Rainout",-1.21341019135421,0.999926460196965,Inf,-1.21349943186341,0.224938931458079,"1a","Rainout",0.642682661308797
"22","ASV_43","1a - Rainout",0.505506027486766,1.25946290559923,Inf,0.40136634849619,0.688150421348092,"1a","Rainout",0.87354297900765
"23","ASV_78","1a - Rainout",0.103296180127755,1.22506208901719,Inf,0.0843191386410666,0.93280269615296,"1a","Rainout",0.999282512406893
