"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_44","1a - Rainout",1.18502380824173,0.5707382940001,Inf,2.07629980448012,0.0378662313872507,"1a","Rainout",0.265063619710755
"2","ASV_1","1a - Rainout",-0.0334010748076815,0.0965531951288865,Inf,-0.345934432963044,0.729391990635339,"1a","Rainout",0.850957322407895
"3","ASV_2","1a - Rainout",0.203212133124909,0.240246631238701,Inf,0.84584800243465,0.397637542906431,"1a","Rainout",0.618547288965559
"4","ASV_63","1a - Rainout",3.7581252669205,1.68493922500883,Inf,2.23042185210022,0.0257194501966091,"1a","Rainout",0.265063619710755
"5","ASV_30","1a - Rainout",0.233052895235235,0.426282811416053,Inf,0.54670957635159,0.584578274030496,"1a","Rainout",0.818409583642695
"6","ASV_5","1a - Rainout",-0.0939018854604695,0.0836073601250952,Inf,-1.12312941492198,0.261382535026958,"1a","Rainout",0.553841715131615
"7","ASV_4","1a - Rainout",0.0513142748622135,0.13642043177876,Inf,0.376148016782652,0.706806858820076,"1a","Rainout",0.850957322407895
"8","ASV_9","1a - Rainout",-1.09751896435799,0.704952015887952,Inf,-1.55687045305567,0.119501245817401,"1a","Rainout",0.553841715131615
"9","ASV_29","1a - Rainout",-0.597862443918283,0.54987870470802,Inf,-1.08726240678068,0.276920857565808,"1a","Rainout",0.553841715131615
"10","ASV_18","1a - Rainout",-0.53595627895328,0.439590443316142,Inf,-1.21921731261986,0.222761722645256,"1a","Rainout",0.553841715131615
"11","ASV_11","1a - Rainout",-0.00547105458860333,0.276071701362878,Inf,-0.0198175132097729,0.984188947105748,"1a","Rainout",0.984188947105748
"12","ASV_14","1a - Rainout",-0.0318551214385151,0.310626560249045,Inf,-0.102551183688141,0.918319188250517,"1a","Rainout",0.984188947105748
"13","ASV_49","1a - Rainout",-0.398190949058025,0.40214404875491,Inf,-0.990169941071803,0.322091062092732,"1a","Rainout",0.563659358662282
"14","ASV_38","1a - Rainout",-1.24642884821793,1.10873218734197,Inf,-1.1241928956767,0.260931202669738,"1a","Rainout",0.553841715131615
