"","S77","S78","S79","S80","S89","S90","S91","S92"
"ASV_44",2,19,12,0,7,0,3,0
"ASV_1",217,308,250,223,314,261,195,318
"ASV_62",11,12,1,10,6,2,3,0
"ASV_27",43,15,8,23,27,29,21,0
"ASV_17",19,7,10,49,25,35,5,27
"ASV_8",26,71,11,22,59,20,26,8
"ASV_12",57,20,10,37,26,49,58,11
"ASV_57",7,0,14,4,1,1,3,6
"ASV_3",46,43,9,51,52,3,145,29
"ASV_33",10,8,0,11,11,1,3,23
"ASV_7",56,18,15,12,45,50,16,2
"ASV_13",31,31,34,50,16,40,12,11
"ASV_32",26,18,4,33,16,61,3,13
"ASV_26",21,7,8,8,6,12,6,15
"ASV_66",9,1,0,1,10,15,6,3
"ASV_71",4,7,1,10,0,8,6,11
"ASV_2",85,132,112,169,156,191,63,70
"ASV_4",7,23,39,12,7,0,29,103
"ASV_9",0,19,46,19,0,3,8,20
"ASV_40",14,4,8,18,15,19,16,6
