"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_44","1a - Rainout",2.08868263035677,1.58427310026479,Inf,1.31838546650049,0.187374643461429,"1a","Rainout",0.67488867935114
"2","ASV_1","1a - Rainout",-0.0287436896266644,0.114336329135142,Inf,-0.251395946013715,0.801508001701878,"1a","Rainout",0.89056444633542
"3","ASV_62","1a - Rainout",0.0913187247909499,0.68872808208276,Inf,0.132590389685863,0.894517333230801,"1a","Rainout",0.914903637006994
"4","ASV_27","1a - Rainout",0.698510954457334,0.607044114621929,Inf,1.1506757707261,0.249865648014497,"1a","Rainout",0.67488867935114
"5","ASV_17","1a - Rainout",-0.567918150379008,0.423305156091648,Inf,-1.34162823723331,0.17971656584081,"1a","Rainout",0.67488867935114
"6","ASV_8","1a - Rainout",0.220903031539041,0.44602018474092,Inf,0.495275862161612,0.620405407020918,"1a","Rainout",0.775506758776148
"7","ASV_12","1a - Rainout",0.318521454227239,0.42659674093788,Inf,0.746657026790602,0.455270615857648,"1a","Rainout",0.67488867935114
"8","ASV_57","1a - Rainout",0.943655680108345,0.75038524379299,Inf,1.25756161640176,0.208550342194534,"1a","Rainout",0.67488867935114
"9","ASV_3","1a - Rainout",0.748431046042041,0.716585363751121,Inf,1.04444087739138,0.296281459529787,"1a","Rainout",0.67488867935114
"10","ASV_33","1a - Rainout",-0.536787942897315,0.729990346202361,Inf,-0.735335673533019,0.462135087381646,"1a","Rainout",0.67488867935114
"11","ASV_7","1a - Rainout",0.799217830953908,0.541450108620554,Inf,1.47606920421545,0.139925315099649,"1a","Rainout",0.67488867935114
"12","ASV_13","1a - Rainout",-0.21244629041048,0.342114857172985,Inf,-0.620979434117531,0.534613154782775,"1a","Rainout",0.712817539710367
"13","ASV_32","1a - Rainout",-0.932470466142035,0.484334861042557,Inf,-1.92525985871602,0.0541968568124046,"1a","Rainout",0.541968568124046
"14","ASV_26","1a - Rainout",0.0365080682589122,0.341658379235029,Inf,0.106855474584448,0.914903637006994,"1a","Rainout",0.914903637006994
"15","ASV_66","1a - Rainout",0.537722381414134,0.748350219830425,Inf,0.718543760882413,0.472422075545798,"1a","Rainout",0.67488867935114
"16","ASV_71","1a - Rainout",-1.0832576642768,0.344509578307769,Inf,-3.14434701524923,0.00166457920861069,"1a","Rainout",0.0332915841722138
"17","ASV_2","1a - Rainout",-0.185929945519559,0.212837186429157,Inf,-0.87357829070648,0.382347953039361,"1a","Rainout",0.67488867935114
"18","ASV_4","1a - Rainout",0.285204876480467,1.04763901913093,Inf,0.272235828632135,0.785440694531647,"1a","Rainout",0.89056444633542
"19","ASV_9","1a - Rainout",-1.36343134375778,1.33345149324648,Inf,-1.02248289545075,0.306552404106478,"1a","Rainout",0.67488867935114
"20","ASV_40","1a - Rainout",0.267168310097655,0.300855030767536,Inf,0.888030056921633,0.374524583597812,"1a","Rainout",0.67488867935114
