"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_1","1a - Rainout",-0.416307028440407,0.639169016959685,Inf,-0.651325420028401,0.51483644248374,"1a","Rainout",0.71285045882364
"2","ASV_47","1a - Rainout",0.327028501866813,0.424451717739617,Inf,0.770472796313269,0.441019485926935,"1a","Rainout",0.71285045882364
"3","ASV_69","1a - Rainout",1.99215815784091,1.35483052232256,Inf,1.47041133560069,0.141450383121439,"1a","Rainout",0.377168187613517
"4","ASV_58","1a - Rainout",-0.211543071040141,0.805734807547088,Inf,-0.262546769804006,0.792899932463048,"1a","Rainout",0.839541104960875
"5","ASV_17","1a - Rainout",0.779569028406305,1.04652827719105,Inf,0.744909665029522,0.456326331928355,"1a","Rainout",0.71285045882364
"6","ASV_8","1a - Rainout",0.587098692165381,0.290988387541999,Inf,2.01760179203249,0.043632750098049,"1a","Rainout",0.261796500588294
"7","ASV_12","1a - Rainout",1.25344915699667,0.249057957802213,Inf,5.03276092062108,4.83465918260506e-07,"1a","Rainout",8.70238652868911e-06
"8","ASV_57","1a - Rainout",1.02274453834008,0.571837023188038,Inf,1.78852452161665,0.0736914230467532,"1a","Rainout",0.320175205068193
"9","ASV_3","1a - Rainout",0.456343873018576,0.268275199755864,Inf,1.70102891893794,0.0889375569633869,"1a","Rainout",0.320175205068193
"10","ASV_33","1a - Rainout",-0.271571130342994,0.415061509379704,Inf,-0.654291289859298,0.512924156419634,"1a","Rainout",0.71285045882364
"11","ASV_20","1a - Rainout",0.66990882588731,0.308655333555794,Inf,2.17041065893719,0.0299757500430122,"1a","Rainout",0.261796500588294
"12","ASV_35","1a - Rainout",-0.014266756293487,0.785562388379146,Inf,-0.0181612008219025,0.985510254786491,"1a","Rainout",0.985510254786491
"13","ASV_7","1a - Rainout",-0.243134295711819,0.674631441103684,Inf,-0.360395737432657,0.71855121380539,"1a","Rainout",0.808370115531063
"14","ASV_13","1a - Rainout",0.493555873619073,0.882906667684022,Inf,0.559012511383263,0.57615318152754,"1a","Rainout",0.740768376249694
"15","ASV_32","1a - Rainout",0.491517120318351,0.522997162647775,Inf,0.939808387926905,0.347315855521415,"1a","Rainout",0.694631711042831
"16","ASV_43","1a - Rainout",0.5181551389766,0.39009261296528,Inf,1.32828749316183,0.184083149851933,"1a","Rainout",0.414187087166848
"17","ASV_2","1a - Rainout",-0.268727639936791,0.185154311315189,Inf,-1.45137122667014,0.146676517405257,"1a","Rainout",0.377168187613517
"18","ASV_40","1a - Rainout",-0.136574536780112,0.342945612598387,Inf,-0.398239638481833,0.690453549871977,"1a","Rainout",0.808370115531063
