,RR_M_042822,RR_M_060122,RR_M_070522,RR_M_072022,RR_M_091322,RR_D_042822,RR_D_060122,RR_D_070522,RR_D_072022,RR_D_091322,RR_K_042822,RR_K_060122,RR_K_070522,RR_K_072022,RR_K_091322
ASV_87,0,0,0,0,0,0,0,0,0,0,5.247927513,0,0,0,0
ASV_12,0,-1.764070824,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_64,0,0,0,0,0,0,0,-3.392317423,0,0,0,-2.157541277,-2.321928095,0,-3
ASV_71,0,0,1.688055994,0,0,0,0,0,0,0,0,0,0,1.710493383,0
ASV_44,0,0,0,0,0,0,0,-1.784271309,0,0,0,0,0,0,0
ASV_54,0,0,0,0,0,0,0,0,0,0,0,0,-2.502500341,0,0
ASV_59,0,0,0,0,0,0,0,0,0,0,0,0,4.297680549,0,0
ASV_1,0,0,0,1.208752745,0,0,0,0,0,0,0,0,0,0,0
ASV_33,0,0,0,-1.94753258,0,0,0,0,0,0,0,0,0,0,0
ASV_53,0,0,0,-3.108524457,0,0,0,0,0,0,0,0,0,0,0
ASV_35,0,0,0,0,-2.765534746,0,0,0,0,0,0,0,0,0,0
ASV_28,0,0,0,0,2.517848305,0,0,0,0,0,0,0,0,0,0
ASV_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.938599455
ASV_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.169925001
