"","RR_M_042822","RR_M_060122","RR_M_070522","RR_M_072022","RR_M_091322","RR_D_042822","RR_D_060122","RR_D_070522","RR_D_072022","RR_D_091322","RR_K_042822","RR_K_060122","RR_K_070522","RR_K_072022","RR_K_091322"
"ASV_40",0,0,0,0,0,0,0,-1.64385618977472,0,0,-1.42742122373468,0,0,0,0
"ASV_87",0,0,0,0,0,0,0,0,0,0,5.24792751344359,0,0,0,0
"ASV_8",0,-0.819918383521517,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12",0,-1.7640708243288,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_20",0,-0.939458458064949,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_44",0,0,0,0,0,0,-1.18844508941311,-1.78427130894456,0,0,0,0,0,0,0
"ASV_63",0,0,0,0,0,0,-6.44294349584873,0,0,0,0,0,0,0,0
"ASV_64",0,0,0,0,0,0,0,-3.39231742277876,0,-1.32192809488736,0,-2.15754127698648,-2.32192809488736,0,-3
"ASV_57",0,0,-1.89812038598079,-1.16992500144231,0,0,0,0,0,0,0,0,0,0,0
"ASV_71",0,0,1.68805599368526,0,0,0,0,0,0,0,0,0,0,1.71049338280502,0
"ASV_1",0,0,0,1.20875274479403,0,0,0,0.194999316277101,0,0,0,0,0,0,0
"ASV_5",0,0,0,0,0,0,0,0.522996747414764,0,0,0,0,0,0,0
"ASV_21",0,0,0,0,0,0,0,-1.92283213947754,0,0,0,0,0,0,0
"ASV_23",0,0,0,0,0,0,0,-2.12553088208386,0,0,0,0,0,0,0
"ASV_72",0,0,0,0,0,0,0,-1.75488750216347,0,0,0,0,0,0,0
"ASV_54",0,0,0,0,0,0,0,0,0,0,0,0,-2.50250034052918,0,0
"ASV_59",0,0,0,0,0,0,0,0,0,0,0,0,4.29768054864068,0,0
"ASV_3",0,0,0,-1.69054125707485,0,0,0,0,0,0,0,0,0,0,1.25873426840017
"ASV_33",0,0,0,-1.94753258010586,0,0,0,0,0,0,0,0,0,0,0
"ASV_53",0,0,0,-3.10852445677817,0,0,0,0,0,0,0,0,0,0,0
"ASV_86",0,0,0,0,0,0,0,0,-4.18762700317577,0,0,0,0,0,0
"ASV_117",0,0,0,0,0,0,0,0,1.05444778402238,0,0,0,0,0,0
"ASV_56",0,0,0,0,-1.72935241005633,0,0,0,0,0,0,0,0,0,0
"ASV_35",0,0,0,0,-2.76553474636298,0,0,0,0,0,0,0,0,0,0
"ASV_28",0,0,0,0,2.51784830486262,0,0,0,0,0,0,0,0,0,0
"ASV_2",0,0,0,0,0.880701071627656,0,0,0,0,0,0,0,0,0,0
"ASV_43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4594316186373
"ASV_134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8073549220576
"ASV_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93859945533586
"ASV_52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.16992500144231
