"","S99","S100","S107","S108","S109","S110","S117","S118"
"ASV_73",28,48,58,35,89,36,33,144
"ASV_44",106,66,85,62,89,67,0,44
"ASV_442",2,0,1,1,0,0,4,0
"ASV_54",134,0,89,94,0,80,0,29
"ASV_1",991,879,2183,671,1789,2818,1836,2030
"ASV_3",0,0,89,0,146,65,175,0
"ASV_71",0,0,43,0,23,75,30,4
"ASV_2",610,590,527,472,925,729,574,1307
"ASV_63",0,1,5,4,3,2,3,2
"ASV_95",1,283,0,4,11,5,0,0
"ASV_30",82,140,73,1,56,75,73,528
"ASV_5",149,135,65,279,517,599,354,750
"ASV_4",384,217,400,226,298,421,309,486
"ASV_9",0,101,164,44,151,279,330,747
"ASV_29",72,0,54,92,99,154,87,213
"ASV_16",115,134,172,91,159,97,253,661
"ASV_18",61,24,162,3,175,173,342,472
"ASV_11",332,145,175,55,325,338,90,592
"ASV_14",0,73,84,113,143,131,298,227
"ASV_39",95,0,37,132,51,90,53,404
"ASV_70",0,0,0,83,0,89,55,272
"ASV_50",50,40,0,56,281,104,0,0
"ASV_86",0,226,0,2,14,9,0,0
"ASV_49",45,0,105,56,0,128,131,270
"ASV_117",1,0,8,8,0,6,13,64
"ASV_38",105,23,44,333,92,0,16,197
"ASV_172",0,0,33,0,15,0,35,22
"ASV_87",6,12,5,0,12,27,3,7
"ASV_345",4,11,7,0,5,5,6,0
"ASV_121",89,35,59,0,36,54,27,0
"ASV_21",69,202,58,0,162,308,92,57
"ASV_23",45,128,24,0,112,272,172,32
"ASV_64",26,0,20,0,29,79,51,25
"ASV_10",72,144,153,0,106,267,174,49
"ASV_88",23,0,11,0,17,51,1,0
"ASV_211",1,4,0,0,6,2,2,1
"ASV_168",1,5,2,0,2,5,2,0
"ASV_6",207,353,180,0,283,310,300,401
"ASV_84",0,0,82,0,27,0,43,45
"ASV_156",22,8,28,0,0,19,6,19
"ASV_158",28,0,0,0,33,17,3,0
