"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_448","1a - Rainout",-0.535861630084493,1.47299484226279,Inf,-0.363790567834786,0.716014406537825,"1a","Rainout",0.999222689336966
"2","ASV_44","1a - Rainout",0.148370858494716,0.470411904721353,Inf,0.315406257804216,0.752453216103191,"1a","Rainout",0.999222689336966
"3","ASV_54","1a - Rainout",-1.12395866782836,0.742238326880502,Inf,-1.5142827136833,0.129954150922233,"1a","Rainout",0.510134379635841
"4","ASV_1","1a - Rainout",-0.0269568527590547,0.228247014795089,Inf,-0.118103856837976,0.905985367528045,"1a","Rainout",0.999222689336966
"5","ASV_47","1a - Rainout",-0.311931291527783,0.809257685094562,Inf,-0.385453604300753,0.699901374243934,"1a","Rainout",0.999222689336966
"6","ASV_62","1a - Rainout",0.738654910872939,0.721138695007835,Inf,1.02428966298212,0.30569847895191,"1a","Rainout",0.746733683073515
"7","ASV_27","1a - Rainout",0.502590419366781,0.516428320406474,Inf,0.973204604602626,0.330451622777586,"1a","Rainout",0.752695362993391
"8","ASV_69","1a - Rainout",2.28113520331665,2.29535001419628,Inf,0.993807127108407,0.320316775666893,"1a","Rainout",0.750456445848149
"9","ASV_90","1a - Rainout",23.93670152426,24570.2554589139,Inf,0.000974214597169599,0.999222689336966,"1a","Rainout",0.999222689336966
"10","ASV_58","1a - Rainout",-1.37302004226118,2.1872331313502,Inf,-0.627742887843694,0.530172385068407,"1a","Rainout",0.88722725664509
"11","ASV_17","1a - Rainout",-0.0201705122784425,0.347512972643514,Inf,-0.0580424728464277,0.953714797094012,"1a","Rainout",0.999222689336966
"12","ASV_8","1a - Rainout",-0.389199091398775,0.276265472793563,Inf,-1.40878658293141,0.158898283661221,"1a","Rainout",0.563116794395005
"13","ASV_12","1a - Rainout",0.137531449718821,0.511958879403899,Inf,0.268637688009155,0.78820850716626,"1a","Rainout",0.999222689336966
"14","ASV_57","1a - Rainout",0.202821138949304,0.56365821402504,Inf,0.359830006735772,0.718974262022016,"1a","Rainout",0.999222689336966
"15","ASV_85","1a - Rainout",1.45108358694059,1.42820795608442,Inf,1.01601701682078,0.309621283225604,"1a","Rainout",0.746733683073515
"16","ASV_3","1a - Rainout",0.950635401125561,0.69550919871248,Inf,1.36681930718583,0.171681949510672,"1a","Rainout",0.563116794395005
"17","ASV_33","1a - Rainout",-0.473109681185219,0.921540696290274,Inf,-0.513389894868186,0.607678612795085,"1a","Rainout",0.909273166410517
