"","S53","S54","S55","S56","S65","S66","S67","S68"
"ASV_44",30,24,17,0,12,38,24,0
"ASV_442",2,2,0,0,1,4,2,2
"ASV_54",70,0,37,19,72,0,62,33
"ASV_1",1808,1098,900,2115,820,1630,1637,1694
"ASV_47",0,0,3,85,29,47,21,33
"ASV_81",0,16,0,234,0,0,0,44
"ASV_62",7,4,1,25,43,17,7,1
"ASV_27",61,29,24,148,66,27,380,47
"ASV_103",17,2,9,13,14,27,1,0
"ASV_58",22,0,71,46,0,117,61,0
"ASV_17",86,25,0,1042,136,285,56,76
"ASV_8",111,105,106,225,54,267,121,33
"ASV_12",116,187,28,338,157,77,133,41
"ASV_57",29,48,0,36,13,4,37,1
"ASV_3",266,129,13,1155,283,148,642,429
"ASV_33",91,48,0,182,28,39,45,41
"ASV_20",0,0,71,452,131,33,132,215
"ASV_65",0,0,55,0,35,0,282,0
"ASV_35",26,38,29,78,58,8,61,29
"ASV_7",115,162,114,311,319,180,155,160
"ASV_51",0,0,0,551,0,18,0,32
"ASV_13",57,90,0,374,150,68,489,580
"ASV_92",0,0,0,40,83,30,0,12
"ASV_32",94,69,94,63,91,128,30,67
"ASV_43",46,21,41,97,11,0,0,34
"ASV_78",18,0,31,27,34,0,0,10
"ASV_82",1,0,13,146,14,0,0,20
"ASV_26",91,50,3,152,77,74,19,64
"ASV_66",21,18,1,27,17,11,61,0
"ASV_59",0,14,0,147,16,228,0,38
"ASV_71",28,0,24,33,42,46,0,46
"ASV_28",123,207,96,197,0,169,47,81
"ASV_36",88,0,0,261,163,66,79,137
"ASV_2",904,521,604,2040,756,1471,536,754
"ASV_108",28,120,0,45,76,85,0,0
"ASV_179",6,5,0,3,117,3,0,0
"ASV_63",4,17,338,1,0,290,11,9
"ASV_30",102,17,0,9,0,0,43,73
"ASV_5",165,76,29,94,0,0,154,92
"ASV_4",266,316,155,158,0,0,356,620
"ASV_9",84,80,49,84,0,64,173,84
"ASV_16",86,275,0,119,20,0,50,87
"ASV_18",45,110,62,98,0,0,53,51
"ASV_11",131,69,30,76,0,0,179,236
"ASV_14",85,297,58,176,0,16,43,81
"ASV_141",3,6,261,1,0,15,0,1
"ASV_15",35,11,26,0,93,96,0,0
"ASV_40",59,72,52,109,58,78,62,64
"ASV_550",2,3,1,0,0,0,2,1
"ASV_400",3,8,4,0,0,0,2,2
"ASV_348",0,3,0,5,2,1,0,0
"ASV_306",6,1,0,4,8,0,0,4
"ASV_244",4,0,0,18,2,1,4,4
"ASV_309",3,0,0,3,1,0,1,4
"ASV_266",3,2,0,8,2,5,3,6
"ASV_459",1,1,2,0,0,0,7,0
"ASV_87",57,0,62,44,9,57,7,52
"ASV_21",76,0,169,109,69,155,297,296
"ASV_23",107,0,81,202,139,135,395,229
"ASV_64",47,0,28,64,47,0,34,44
"ASV_77",48,0,0,88,53,60,10,240
"ASV_104",87,0,0,0,51,0,2,30
"ASV_160",15,0,0,23,10,0,2,0
"ASV_10",159,0,144,285,174,299,250,238
"ASV_52",26,0,0,109,88,52,34,27
"ASV_169",0,0,6,0,5,15,17,18
"ASV_188",0,0,7,0,4,7,28,19
"ASV_88",54,0,32,70,29,88,7,169
"ASV_156",30,0,0,14,4,24,0,14
"ASV_158",16,0,22,47,20,21,1,26
