"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_44","1a - Rainout",1.35128063462618,2.0799001205138,Inf,0.649685348492776,0.515895489873756,"1a","Rainout",0.93335424296771
"2","ASV_1","1a - Rainout",-0.530146421023814,0.567477037372417,Inf,-0.934216516457733,0.350192217634484,"1a","Rainout",0.93335424296771
"3","ASV_47","1a - Rainout",0.65375606933107,0.553720199428294,Inf,1.18066140625908,0.237737258932428,"1a","Rainout",0.838336649919615
"4","ASV_81","1a - Rainout",-5.05656682766588,3.64531193206108,Inf,-1.38714242344876,0.16539833806285,"1a","Rainout",0.651864038247703
"5","ASV_62","1a - Rainout",0.430482029763735,1.7795051942846,Inf,0.241911083567698,0.80884906172709,"1a","Rainout",0.950752405889738
"6","ASV_27","1a - Rainout",0.619097744449817,1.9016866684596,Inf,0.325551919103107,0.744763394907397,"1a","Rainout",0.941493348279162
"7","ASV_144","1a - Rainout",2.78648410971235,1.9351686179158,Inf,1.43991799159777,0.149890602250113,"1a","Rainout",0.627666896922347
"8","ASV_130","1a - Rainout",0.767636230200918,1.60264270855508,Inf,0.478981513535856,0.63195178009531,"1a","Rainout",0.93335424296771
"9","ASV_103","1a - Rainout",0.685503176590059,1.3523657442092,Inf,0.50689185194565,0.612230703091278,"1a","Rainout",0.93335424296771
"10","ASV_69","1a - Rainout",4.01268345911448,2.13629712973603,Inf,1.87833583786648,0.0603352368645876,"1a","Rainout",0.449162318880819
"11","ASV_90","1a - Rainout",4.31031750511672,1.5944595973663,Inf,2.70330932952859,0.00686528234251781,"1a","Rainout",0.114993479237173
"12","ASV_58","1a - Rainout",-0.689733883220538,1.15548313207611,Inf,-0.596922502867922,0.550559122523532,"1a","Rainout",0.93335424296771
"13","ASV_17","1a - Rainout",0.896937005462914,1.02186068947669,Inf,0.877748811261393,0.380080049140316,"1a","Rainout",0.93335424296771
"14","ASV_8","1a - Rainout",0.344480585963526,0.225182728990394,Inf,1.52978244605171,0.126070588057766,"1a","Rainout",0.627666896922347
"15","ASV_12","1a - Rainout",1.06451454601653,0.355883750433372,Inf,2.99118615199551,0.00277896032198356,"1a","Rainout",0.0930951707864494
"16","ASV_57","1a - Rainout",1.0433033651492,0.44763383603999,Inf,2.33070711181893,0.0197688089313762,"1a","Rainout",0.242866190069364
"17","ASV_85","1a - Rainout",0.118015499597186,1.27653813155144,Inf,0.0924496469633507,0.926340795715351,"1a","Rainout",0.99934239173891
"18","ASV_3","1a - Rainout",0.325687495965907,0.303999311446094,Inf,1.07134287382641,0.284015288755057,"1a","Rainout",0.864955652117673
"19","ASV_33","1a - Rainout",-0.246331025643414,0.434388085397528,Inf,-0.567075925708196,0.570662598316487,"1a","Rainout",0.93335424296771
"20","ASV_53","1a - Rainout",1.55562519395273,2.31976868786705,Inf,0.670594961510184,0.50247859313806,"1a","Rainout",0.93335424296771
"21","ASV_56","1a - Rainout",0.602941422563491,1.6645312329168,Inf,0.362228963109897,0.717180937641897,"1a","Rainout",0.941493348279162
"22","ASV_153","1a - Rainout",24.4959807563039,24892.5909152309,Inf,0.000984067140287742,0.999214828148696,"1a","Rainout",0.99934239173891
"23","ASV_133","1a - Rainout",24.3565257394661,26759.8843203224,Inf,0.000910188005594958,0.99927377514318,"1a","Rainout",0.99934239173891
"24","ASV_20","1a - Rainout",0.487995781871773,0.449610663434426,Inf,1.08537412823828,0.277755986273418,"1a","Rainout",0.864955652117673
"25","ASV_35","1a - Rainout",0.303435911488491,0.913746021898195,Inf,0.33207905065145,0.739829568539579,"1a","Rainout",0.941493348279162
"26","ASV_60","1a - Rainout",5.92420454241663,4.06366411990657,Inf,1.45784798339899,0.144882448939795,"1a","Rainout",0.627666896922347
"27","ASV_7","1a - Rainout",-0.11188321111424,0.72627294625037,Inf,-0.154051189283416,0.877569374063004,"1a","Rainout",0.996561831563072
"28","ASV_13","1a - Rainout",1.05656605197274,1.42222358569417,Inf,0.742897293084226,0.457543864681451,"1a","Rainout",0.93335424296771
"29","ASV_79","1a - Rainout",1.78066950065427,1.99387790708055,Inf,0.893068474419047,0.371820504322988,"1a","Rainout",0.93335424296771
"30","ASV_32","1a - Rainout",0.331327035083711,0.48128044007326,Inf,0.688428216682308,0.491183159996218,"1a","Rainout",0.93335424296771
"31","ASV_151","1a - Rainout",0.395649250810348,1.57176400920933,Inf,0.251723063062996,0.801255129151909,"1a","Rainout",0.950752405889738
"32","ASV_43","1a - Rainout",0.0593956214312402,0.448839253754523,Inf,0.132331610781361,0.894722005442659,"1a","Rainout",0.999106239410969
"33","ASV_61","1a - Rainout",1.32174379470629,2.08892103678448,Inf,0.632739951118917,0.526903476063197,"1a","Rainout",0.93335424296771
