"","S73","S74","S81","S82","S87","S88","S95","S96"
"ASV_44",39,5,0,0,3,6,29,0
"ASV_1",1008,1954,313,1413,109,243,910,1722
"ASV_47",43,41,62,63,0,12,61,40
"ASV_62",29,13,140,30,0,12,0,2
"ASV_27",24,22,416,115,0,293,0,16
"ASV_101",0,0,0,64,0,11,29,100
"ASV_17",134,0,243,236,0,95,63,82
"ASV_8",208,131,391,198,0,66,358,428
"ASV_12",58,31,523,230,0,82,64,54
"ASV_57",34,30,51,36,23,5,80,48
"ASV_85",16,0,26,37,20,0,0,6
"ASV_3",1274,193,350,323,405,47,920,768
"ASV_33",431,0,121,94,52,28,234,123
"ASV_53",103,0,130,87,19,0,228,0
"ASV_56",100,0,146,59,0,0,226,42
"ASV_20",131,44,248,188,0,79,288,113
"ASV_65",0,47,0,93,0,130,0,0
"ASV_35",58,47,76,129,39,44,85,13
"ASV_7",123,140,340,100,0,221,153,58
"ASV_13",263,151,676,142,0,79,606,169
"ASV_76",10,9,48,41,0,33,10,17
"ASV_32",35,54,78,195,0,82,59,0
"ASV_43",56,57,93,0,0,0,83,41
"ASV_78",11,0,33,9,0,30,35,0
"ASV_82",9,0,31,23,85,15,5,0
"ASV_26",20,84,229,122,77,53,62,0
"ASV_66",35,40,55,58,0,24,0,24
"ASV_71",22,0,38,7,0,24,141,0
"ASV_37",0,112,0,97,0,55,1118,329
"ASV_145",0,0,0,41,0,29,0,59
"ASV_2",492,444,744,1338,480,316,1356,873
"ASV_5",208,109,0,17,0,0,0,190
"ASV_4",210,127,0,49,0,0,118,344
"ASV_16",44,101,0,78,0,0,48,235
"ASV_18",103,171,0,59,0,0,187,549
"ASV_11",202,125,0,102,0,0,0,240
"ASV_15",0,35,263,150,415,424,0,0
"ASV_40",49,75,64,99,17,34,95,59
"ASV_400",4,13,0,2,0,0,0,4
"ASV_348",0,4,5,3,0,0,13,1
"ASV_275",16,0,0,5,5,10,9,4
"ASV_306",3,5,4,6,0,7,4,0
"ASV_244",7,5,13,5,0,0,20,4
"ASV_309",2,2,20,7,0,0,4,4
"ASV_266",1,3,16,13,0,0,2,0
"ASV_556",4,2,1,3,2,0,0,1
"ASV_241",1,100,2,2,0,0,17,15
"ASV_256",9,16,7,0,0,0,57,0
"ASV_168",2,55,1,2,0,0,67,42
"ASV_89",0,0,11,35,0,13,64,7
"ASV_6",218,213,191,91,0,61,433,451
"ASV_84",0,42,0,39,0,0,99,90
"ASV_347",0,14,0,2,0,0,39,17
