"","S3","S4","S12","S13","S14","S21","S22"
"ASV_470",6,2,5,0,1,0,0
"ASV_73",75,10,66,19,0,0,16
"ASV_44",49,49,63,8,22,10,0
"ASV_1",364,204,131,224,387,269,217
"ASV_2",106,134,125,143,65,148,162
"ASV_30",30,3,35,8,4,0,37
"ASV_5",0,54,83,61,124,16,0
"ASV_4",157,0,113,63,48,41,14
"ASV_9",0,51,40,38,29,64,48
"ASV_29",83,17,21,16,23,0,24
"ASV_16",0,21,26,49,57,75,55
"ASV_18",0,38,10,32,19,40,45
"ASV_11",65,23,22,26,51,15,77
"ASV_39",63,36,29,9,41,12,0
"ASV_70",0,0,30,9,26,0,27
"ASV_49",0,3,0,22,1,3,30
"ASV_117",0,1,0,3,5,0,13
"ASV_38",38,11,138,29,7,0,0
"ASV_211",20,0,35,12,0,1,0
"ASV_6",57,42,43,26,37,149,85
