"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_73","1a - Rainout",1.04344479373543,1.08969269261209,Inf,0.957558769375799,0.338285298293615,"1a","Rainout",0.707323805523013
"2","ASV_44","1a - Rainout",1.17034300847385,0.589039427363308,Inf,1.98686701450971,0.046937135834852,"1a","Rainout",0.515581839390096
"3","ASV_112","1a - Rainout",1.42147136794755,1.73313347889474,Inf,0.820174201962826,0.41211680647838,"1a","Rainout",0.766057309071495
"4","ASV_54","1a - Rainout",0.994083453534053,1.82015348141938,Inf,0.546153642361442,0.584960328982212,"1a","Rainout",0.766057309071495
"5","ASV_1","1a - Rainout",-0.0568368969117054,0.103689462512329,Inf,-0.548145351847566,0.583592102238645,"1a","Rainout",0.766057309071495
"6","ASV_36","1a - Rainout",-2.5075986436827,1.5457508983355,Inf,-1.62225274873393,0.104749241461655,"1a","Rainout",0.515581839390096
"7","ASV_2","1a - Rainout",0.180129691704897,0.245278997358962,Inf,0.73438693750562,0.462712945669652,"1a","Rainout",0.766057309071495
"8","ASV_63","1a - Rainout",3.75087921834034,1.69778781277438,Inf,2.20927443943126,0.0271555579480641,"1a","Rainout",0.515581839390096
"9","ASV_30","1a - Rainout",0.205661589920589,0.391671883935504,Inf,0.525086426562228,0.599523111447257,"1a","Rainout",0.766057309071495
"10","ASV_5","1a - Rainout",-0.115859092800086,0.0928339157139001,Inf,-1.24802548625812,0.212021723973528,"1a","Rainout",0.650358478513271
"11","ASV_4","1a - Rainout",0.0265668506930739,0.164586957053369,Inf,0.161415285686699,0.871766328299637,"1a","Rainout",0.907863029483231
"12","ASV_9","1a - Rainout",-1.1201707797489,0.704997732015063,Inf,-1.58889983453872,0.112083008563064,"1a","Rainout",0.515581839390096
"13","ASV_29","1a - Rainout",-0.621991781127969,0.545838684279297,Inf,-1.13951575628837,0.254488100287802,"1a","Rainout",0.650358478513271
"14","ASV_16","1a - Rainout",0.288362103673784,1.38326291032083,Inf,0.20846514536192,0.834865794754866,"1a","Rainout",0.907863029483231
"15","ASV_18","1a - Rainout",-0.556948387054564,0.442869951557459,Inf,-1.25758901703744,0.208540427410086,"1a","Rainout",0.650358478513271
"16","ASV_11","1a - Rainout",-0.0310854226607168,0.268592729207543,Inf,-0.115734416015025,0.907863029483231,"1a","Rainout",0.907863029483231
"17","ASV_14","1a - Rainout",-0.0508272359355832,0.308472344291303,Inf,-0.16477080320557,0.869124385562887,"1a","Rainout",0.907863029483231
"18","ASV_39","1a - Rainout",-0.599691909909277,0.962606995046632,Inf,-0.622987276214656,0.533292883201061,"1a","Rainout",0.766057309071495
"19","ASV_50","1a - Rainout",-1.05849726394748,1.47808418756072,Inf,-0.716127858518205,0.473912403299141,"1a","Rainout",0.766057309071495
"20","ASV_49","1a - Rainout",-0.417485166793345,0.392796464044811,Inf,-1.06285367870755,0.287848312152606,"1a","Rainout",0.662051117950993
"21","ASV_117","1a - Rainout",-2.13151561836548,1.337254645283,Inf,-1.5939489355181,0.110947472669667,"1a","Rainout",0.515581839390096
"22","ASV_38","1a - Rainout",-1.25661053037257,1.06927730272348,Inf,-1.17519611346088,0.239916264792203,"1a","Rainout",0.650358478513271
"23","ASV_40","1a - Rainout",0.161786484090348,0.627410080373548,Inf,0.25786401773147,0.796511855612424,"1a","Rainout",0.907863029483231
